region,method,view,cell_count,adj_precision,adj_recall,adj_f1,weighted_adj_f1,np2,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,invalid_polygon_count,overlap_ratio,gap_ratio,source_geojson
湖北,Direct Polar,annulus,130,0.6696428571428571,1.0,0.802139037433155,0.9987569182374623,0.6829594587757245,21.916415398832246,1.3235915164532714,0.9647735186879515,2.412799065221795,7,0.0014537244405329263,0.034117945699423814,results/spatial/湖北/direct_polar_annulus.geojson
湖北,Harmonic,annulus,130,0.5379746835443038,0.7555555555555555,0.6284658040665434,0.6947223619926629,0.5346873303331777,23.057950859626015,1.2931410608813152,0.8762129757336574,0.9130393474322818,0,0.0,2.0204719209927652e-15,results/spatial/湖北/harmonic_annulus.geojson
湖北,Area-balanced,annulus,130,0.49240121580547114,0.72,0.5848375451263538,0.6438445405102835,0.5167574305777243,22.94035659941012,1.7073360022687256,0.9856614182905679,0.7333134391208632,0,0.0,1.8367926554479684e-15,results/spatial/湖北/area_balanced_annulus.geojson
湖北,Regular Topology,annulus,130,0.4341317365269461,0.6444444444444445,0.5187835420393561,0.6081190106314056,0.41427942368569276,33.44601092595365,3.0806143839062683,0.9609444345819279,0.871925872497672,0,0.0006242644123524108,0.0009344727460296665,results/spatial/湖北/regular_topology_annulus.geojson
湖北,GeoDisk-Final,disk,130,0.6114285714285714,0.9511111111111111,0.7443478260869564,0.8332341867617826,0.6127335906333883,17.354597340481828,2.9824492259617763,0.9600431523030493,0.6958022276263262,0,1.1308765021062046e-15,5.654382510531023e-16,results/spatial_refined/湖北/final_refined_disk.geojson
湖北,GeoAnnulus-Final,annulus,130,0.5975609756097561,0.8711111111111111,0.7088607594936708,0.7787964383732897,0.5965785802050131,21.08649667080159,1.262302969434641,0.9529913012604296,0.9267175071141431,0,3.673585310895937e-16,0.0,results/spatial_refined/湖北/final_refined_annulus.geojson
湖南,Direct Polar,annulus,137,0.7038123167155426,0.9917355371900827,0.823327615780446,0.9999150911585752,0.7146751853701979,19.119706737086354,0.7082722797023392,0.9793902962644911,2.190723597866528,3,0.0032255121393101245,0.017653983889154786,results/spatial/湖南/direct_polar_annulus.geojson
湖南,Harmonic,annulus,137,0.6242603550295858,0.871900826446281,0.7275862068965517,0.7711049147385174,0.6257124398053416,18.59013332660348,1.3538418514255015,0.9405370843989769,0.5830571726814082,0,1.4694341243583748e-15,1.102075593268781e-15,results/spatial/湖南/harmonic_annulus.geojson
湖南,Area-balanced,annulus,137,0.5804597701149425,0.8347107438016529,0.6847457627118645,0.7304446350071534,0.5934783434484006,20.787812409780855,1.2811971873210342,0.9919633356357457,0.42499775306065996,0,9.183963277239842e-16,0.0,results/spatial/湖南/area_balanced_annulus.geojson
湖南,Regular Topology,annulus,137,0.5071225071225072,0.7355371900826446,0.6003372681281619,0.668883044472319,0.48915729885754144,28.96100003031945,2.4822473057736434,0.9608247615136183,0.6346204709093224,0,0.00023896816482045657,0.00038460126495503907,results/spatial/湖南/regular_topology_annulus.geojson
湖南,GeoDisk-Final,disk,137,0.6584699453551912,0.9958677685950413,0.7927631578947367,0.9124743985090883,0.6592319911826815,12.447515650650768,3.7329551610344,0.9785082233464633,0.3242384454847633,0,7.067978138163779e-16,2.8271912552655115e-15,results/spatial_refined/湖南/final_refined_disk.geojson
湖南,GeoAnnulus-Final,annulus,137,0.6491228070175439,0.9173553719008265,0.7602739726027398,0.8234051731560602,0.6511536841851411,18.258416429066227,1.505432933818234,0.9402990647226838,0.6094188751705556,0,0.0,5.510377966343905e-16,results/spatial_refined/湖南/final_refined_annulus.geojson
江西,Direct Polar,annulus,107,0.704119850187266,1.0,0.8263736263736264,0.999931356852003,0.7301873055573036,17.397848756846216,0.7878340999082742,0.9779286428025628,2.1698022376430255,1,0.0,0.029713849953191616,results/spatial/江西/direct_polar_annulus.geojson
江西,Harmonic,annulus,107,0.6168582375478927,0.8563829787234043,0.7171492204899778,0.8011923810839631,0.6193605544809245,19.208400570282183,1.587774335979467,0.9149375967397481,0.7008742366413182,0,0.0,1.6531133899031716e-15,results/spatial/江西/harmonic_annulus.geojson
江西,Area-balanced,annulus,107,0.5767790262172284,0.8191489361702128,0.676923076923077,0.7170844398143426,0.6067188713893092,19.903778318698127,1.497769527860294,0.9824252042555692,0.5546763432710796,0,1.8367926554479685e-16,7.347170621791874e-16,results/spatial/江西/area_balanced_annulus.geojson
江西,Regular Topology,annulus,107,0.46886446886446886,0.6808510638297872,0.5553145336225597,0.6599722247538626,0.4621996563350855,35.501192735798035,3.925667304766115,0.9561021963596466,0.8936037006197495,0,0.0015225926110494226,0.0020654187021395525,results/spatial/江西/regular_topology_annulus.geojson
江西,GeoDisk-Final,disk,107,0.6619718309859155,1.0,0.7966101694915254,0.9152984467664491,0.6708418718003222,13.827840377738845,3.112161758530374,0.9751366602010229,0.48738074812149185,0,0.0,0.0,results/spatial_refined/江西/final_refined_disk.geojson
江西,GeoAnnulus-Final,annulus,107,0.6518518518518519,0.9361702127659575,0.7685589519650656,0.8209529936516202,0.661353850626803,18.842949781038786,1.7362958465304268,0.9629401046258743,0.576338369055093,0,1.102075593268781e-15,1.4694341243583748e-15,results/spatial_refined/江西/final_refined_annulus.geojson
广东,Direct Polar,annulus,108,0.6988416988416989,1.0,0.8227272727272728,0.9998911771800413,0.7136013219873298,19.92634703633708,1.3643812731214595,0.9717339735345394,2.8113463086495485,4,0.0,0.2626602441038589,results/spatial/广东/direct_polar_annulus.geojson
广东,Harmonic,annulus,108,0.4785992217898833,0.6795580110497238,0.5616438356164384,0.5862250946446474,0.465050549028407,27.277869602414224,2.022555059475674,0.7539607686225194,2.2192709705404923,0,0.0,3.673585310895937e-16,results/spatial/广东/harmonic_annulus.geojson
广东,Area-balanced,annulus,108,0.48014440433212996,0.7348066298342542,0.5807860262008734,0.6273061379798781,0.5015127716690474,21.720682090046967,2.7563232736508074,0.982308725599474,1.7908902357892507,0,0.0,1.102075593268781e-15,results/spatial/广东/area_balanced_annulus.geojson
广东,Regular Topology,annulus,108,0.47101449275362317,0.7182320441988951,0.5689277899343546,0.6175101679698632,0.4519382114432854,32.44791168135755,5.191741984977325,0.9432297769775262,1.368395241764596,0,0.0018625812475914164,0.003418216251894744,results/spatial/广东/regular_topology_annulus.geojson
广东,GeoDisk-Final,disk,108,0.6137931034482759,0.9834254143646409,0.7558386411889597,0.8120453222596054,0.6015622665612943,16.970127063066045,6.139732532883931,0.9849190698028905,1.3675138725216784,0,0.0,5.654382510531023e-16,results/spatial_refined/广东/final_refined_disk.geojson
广东,GeoAnnulus-Final,annulus,108,0.568904593639576,0.8895027624309392,0.6939655172413793,0.7193683769408739,0.5705548936166841,20.59655880779655,2.505372510800638,0.9772785732658835,1.97006766822545,0,9.183963277239842e-16,0.0,results/spatial_refined/广东/final_refined_annulus.geojson
福建,Direct Polar,annulus,74,0.6906077348066298,1.0,0.8169934640522877,0.9999436367074297,0.7178546179219217,16.85839761466339,0.9137541376024272,0.9875009255831172,1.8310557502923792,0,5.64384997573927e-06,0.1018188305250015,results/spatial/福建/direct_polar_annulus.geojson
福建,Harmonic,annulus,74,0.615819209039548,0.872,0.7218543046357616,0.7873734327136903,0.626546128635912,17.741867487364967,1.430131323046665,0.9106405035172157,0.6254628998065886,0,0.0,7.347170621791874e-16,results/spatial/福建/harmonic_annulus.geojson
福建,Area-balanced,annulus,74,0.5625,0.792,0.6578073089700996,0.6757924039043549,0.5901363042423414,20.76800644356673,1.8680986454180426,0.9658200666419843,0.47257686553532297,0,1.8367926554479685e-16,0.0,results/spatial/福建/area_balanced_annulus.geojson
福建,Regular Topology,annulus,74,0.526595744680851,0.792,0.6325878594249202,0.7126411022887882,0.5016924128673692,30.390073095894845,5.118493987979122,0.9558089596445758,0.7152812557770781,0,0.0020354953031979884,0.0027954043027807528,results/spatial/福建/regular_topology_annulus.geojson
福建,GeoDisk-Final,disk,74,0.6578947368421053,1.0,0.7936507936507937,0.9122946527146039,0.6628024091259387,12.655822126839375,2.953860083474787,0.9574083672713808,0.4817032627071205,0,0.0,1.2722360648694803e-15,results/spatial_refined/福建/final_refined_disk.geojson
福建,GeoAnnulus-Final,annulus,74,0.6647398843930635,0.92,0.7718120805369127,0.8057583184309164,0.6841557268027857,17.37771444679543,1.2219708031771361,0.9606960385042574,0.6122162043052363,0,9.183963277239842e-16,7.347170621791874e-16,results/spatial_refined/福建/final_refined_annulus.geojson
广西,Direct Polar,annulus,142,0.6938202247191011,0.9959677419354839,0.8178807947019868,0.9998552513778373,0.7082875980011113,19.153371601486757,0.8101514395925092,0.9713489986190018,2.1897245902856497,5,0.0008927260061640539,0.03609925543542314,results/spatial/广西/direct_polar_annulus.geojson
广西,Harmonic,annulus,142,0.6096866096866097,0.8629032258064516,0.7145242070116861,0.8041199043349977,0.6020327614450451,18.39653039554694,1.0250692319284798,0.9335905329312583,0.5427813267533887,0,0.0,0.0,results/spatial/广西/harmonic_annulus.geojson
广西,Area-balanced,annulus,142,0.5482093663911846,0.8024193548387096,0.6513911620294599,0.7163446084477968,0.5663697309330785,21.454170773344003,1.151249798430538,0.9888556154663437,0.44222208517598965,0,7.347170621791874e-16,3.673585310895937e-16,results/spatial/广西/area_balanced_annulus.geojson
广西,Regular Topology,annulus,142,0.489010989010989,0.717741935483871,0.5816993464052287,0.6438494009191065,0.4576170203182659,31.24930776401716,2.614339996812524,0.9668183180319831,0.6966177621488359,0,0.0003157894913856254,0.0004765016730333157,results/spatial/广西/regular_topology_annulus.geojson
广西,GeoDisk-Final,disk,142,0.6447368421052632,0.9879032258064516,0.7802547770700636,0.9111596591152563,0.6412952409611155,14.097116593409682,1.8245990967043342,0.9743918053777209,0.3706854004237433,0,0.0,5.654382510531023e-16,results/spatial_refined/广西/final_refined_disk.geojson
广西,GeoAnnulus-Final,annulus,142,0.637883008356546,0.9233870967741935,0.7545304777594728,0.8113615076243947,0.6436849409785506,18.740651421017247,1.0829444894659257,0.9655064743467502,0.4492366723619121,0,0.0,1.4694341243583748e-15,results/spatial_refined/广西/final_refined_annulus.geojson
安徽,Direct Polar,annulus,96,0.6896551724137931,1.0,0.8163265306122449,0.9998771429657789,0.7050289900086728,20.27804376608145,1.3321843495484618,0.9485892566467715,1.9564614876818243,7,0.0006104751450793158,0.034497504002712,results/spatial/安徽/direct_polar_annulus.geojson
安徽,Harmonic,annulus,96,0.5956521739130435,0.85625,0.7025641025641024,0.7825310763192402,0.6094189470749553,20.640075848216828,1.978371276840643,0.9191399891481281,0.669529584027701,0,0.0,3.673585310895937e-16,results/spatial/安徽/harmonic_annulus.geojson
