dataset,dataset_family,method,view,cell_count,adj_precision,adj_recall,adj_f1,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
安徽,CEG,Area-balanced,annulus,96,0.5508474576271186,0.8125,0.6565656565656567,0.5795873222924307,0.6415247097780802,20.947774959659945,1.7527364578751972,0.9864894194248508,0.4671586195669975,9.183963277239842e-16,7.347170621791874e-16,0.0
安徽,CEG,Area-balanced,disk,96,0.5928853754940712,0.9375,0.7263922518159807,0.6055695523617897,0.6194218039857641,18.101332241970777,2.923011298166573,0.9931361909929464,0.348469929382213,4.240786882898267e-16,5.654382510531023e-16,0.0
安徽,CEG,Direct Polar,annulus,96,0.6896551724137931,1.0,0.8163265306122449,0.7050289900086728,0.7198289138247067,20.27804376608145,1.3321843495484618,0.9485892566467716,1.9564614876818245,0.0006104751450793,0.034497504002712,7.0
安徽,CEG,Direct Polar,disk,96,0.7079646017699115,1.0,0.8290155440414507,0.7035835532340466,0.6940698624284475,15.164250306867274,1.6819771561124206,0.949009766684753,0.7392371636898558,0.00105507917238,0.0447893061674898,6.0
安徽,CEG,GeoAnnulus-Final,annulus,96,0.6536796536796536,0.94375,0.772378516624041,0.6515721851695634,0.6693707768896445,19.44662078492942,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0.0
安徽,CEG,GeoDisk-Final,disk,96,0.6334661354581673,0.99375,0.7737226277372263,0.6292073427679562,0.6364366046962138,16.07762481020081,3.5550991217745493,0.9614080303852416,0.4013053208345216,4.240786882898267e-16,1.4135956276327555e-16,0.0
安徽,CEG,Harmonic,annulus,96,0.5956521739130435,0.85625,0.7025641025641024,0.6094189470749553,0.6432721032994076,20.640075848216828,1.978371276840643,0.919139989148128,0.669529584027701,0.0,3.673585310895937e-16,0.0
安徽,CEG,Harmonic,disk,96,0.6255144032921811,0.95,0.7543424317617866,0.6378051807243467,0.6473278103398433,16.278105658964883,3.1674049295716675,0.9160743353228432,0.658165739141948,0.0,9.89516939342929e-16,0.0
安徽,CEG,Regular Topology,annulus,96,0.4571428571428571,0.7,0.5530864197530864,0.466373072405355,0.4897637030063359,31.697616288803463,3.8196384230972256,0.9601871947911016,0.7461538380164268,0.0006034919213861,0.0010241936175718,0.0
安徽,CEG,Regular Topology,disk,96,0.4169491525423728,0.76875,0.5406593406593405,0.4402692565962637,0.449798598303462,33.341897036149945,3.819638423097224,0.9601871947911016,0.5550023985971928,0.0002983924110205,0.0006087787241072,0.0
广东,CEG,Area-balanced,annulus,108,0.4801444043321299,0.7348066298342542,0.5807860262008734,0.5015127716690474,0.5413127309437072,21.720682090046967,2.756323273650807,0.982308725599474,1.7908902357892509,0.0,1.102075593268781e-15,0.0
广东,CEG,Area-balanced,disk,108,0.5551724137931034,0.8895027624309392,0.6836518046709129,0.5546092960604503,0.5545486262747313,18.75461852350128,5.4691183459257315,0.9868053769279868,1.3949487997948804,1.696314753159307e-15,8.481573765796536e-16,0.0
广东,CEG,Direct Polar,annulus,108,0.6988416988416989,1.0,0.8227272727272728,0.7136013219873298,0.7244660443868683,19.92634703633708,1.3643812731214595,0.9717339735345394,2.8113463086495485,0.0,0.2626602441038589,4.0
广东,CEG,Direct Polar,disk,108,0.7637130801687764,1.0,0.8660287081339713,0.7679044539338656,0.7642559631074554,15.68737283106847,2.8651638186253563,0.9696380767288768,0.9177870724345925,0.0,0.2741797857883707,3.0
广东,CEG,GeoAnnulus-Final,annulus,108,0.568904593639576,0.8895027624309392,0.6939655172413793,0.5705548936166841,0.58964956874877,20.59655880779655,2.505372510800638,0.9772785732658836,1.97006766822545,9.183963277239842e-16,0.0,0.0
广东,CEG,GeoDisk-Final,disk,108,0.6137931034482759,0.9834254143646408,0.7558386411889597,0.6015622665612943,0.5918158613891107,16.970127063066045,6.139732532883931,0.9849190698028903,1.3675138725216784,0.0,5.654382510531023e-16,0.0
广东,CEG,Harmonic,annulus,108,0.4785992217898833,0.6795580110497238,0.5616438356164384,0.465050549028407,0.516877140310134,27.277869602414224,2.022555059475674,0.7539607686225194,2.2192709705404923,0.0,3.673585310895937e-16,0.0
广东,CEG,Harmonic,disk,108,0.460377358490566,0.6740331491712708,0.547085201793722,0.457609921936118,0.4997865368929119,27.80091221464386,2.2663231480675115,0.7380700601141311,2.2946014206116048,0.0,9.89516939342929e-16,0.0
广东,CEG,Regular Topology,annulus,108,0.4710144927536231,0.7182320441988951,0.5689277899343546,0.4519382114432854,0.4693862524089116,32.44791168135755,5.191741984977325,0.9432297769775262,1.368395241764596,0.0018625812475914,0.0034182162518947,0.0
广东,CEG,Regular Topology,disk,108,0.4114285714285714,0.7955801104972375,0.5423728813559322,0.4286038456387487,0.4271110786730779,34.154455587700895,5.191741984977323,0.9557003629712194,1.2260109501627174,0.0010945901020454,0.002336910892053,0.0
广西,CEG,Area-balanced,annulus,142,0.5482093663911846,0.8024193548387096,0.6513911620294599,0.5663697309330785,0.6166413277858417,21.454170773344003,1.151249798430538,0.9888556154663436,0.4422220851759896,7.347170621791874e-16,3.673585310895937e-16,0.0
广西,CEG,Area-balanced,disk,142,0.59375,0.9193548387096774,0.7215189873417721,0.5915697875985784,0.6068702007015707,18.1515709546344,1.6832978133036385,0.9938724745437362,0.3248912650409974,1.4135956276327555e-16,1.1308765021062046e-15,0.0
广西,CEG,Direct Polar,annulus,142,0.6938202247191011,0.995967741935484,0.8178807947019868,0.7082875980011113,0.7149112314542039,19.153371601486757,0.8101514395925092,0.9713489986190018,2.1897245902856497,0.000892726006164,0.0360992554354231,5.0
广西,CEG,Direct Polar,disk,142,0.775,1.0,0.8732394366197184,0.7765893787252202,0.760318609104096,13.579083895561856,0.9500400342772174,0.9720698839667976,0.4384494960493295,0.0013393367342298,0.0496755664832765,3.0
广西,CEG,GeoAnnulus-Final,annulus,142,0.637883008356546,0.9233870967741936,0.7545304777594728,0.6436849409785506,0.6683761053271724,18.740651421017247,1.0829444894659257,0.9655064743467502,0.4492366723619121,0.0,1.4694341243583748e-15,0.0
广西,CEG,GeoDisk-Final,disk,142,0.6447368421052632,0.9879032258064516,0.7802547770700636,0.6412952409611155,0.641150350124813,14.097116593409682,1.8245990967043344,0.9743918053777209,0.3706854004237433,0.0,5.654382510531023e-16,0.0
广西,CEG,Harmonic,annulus,142,0.6096866096866097,0.8629032258064516,0.7145242070116861,0.6020327614450451,0.635947663787887,18.39653039554694,1.0250692319284798,0.9335905329312584,0.5427813267533887,0.0,0.0,0.0
广西,CEG,Harmonic,disk,142,0.6370967741935484,0.9556451612903226,0.7645161290322581,0.6393408410716984,0.6506948295629478,12.234342423665774,1.773478844828949,0.9307111827339576,0.5266974906260113,0.0098937910724758,0.0098937910724759,0.0
广西,CEG,Regular Topology,annulus,142,0.489010989010989,0.717741935483871,0.5816993464052287,0.4576170203182659,0.4934267364488576,31.24930776401716,2.614339996812524,0.9668183180319831,0.6966177621488359,0.0003157894913856,0.0004765016730333,0.0
广西,CEG,Regular Topology,disk,142,0.4121338912133891,0.7943548387096774,0.5426997245179064,0.4235666641855429,0.4283905812103318,33.154048228798914,2.6143399968125234,0.9668183180319831,0.5559650137753697,0.0001838488448722,0.0003185804951055,0.0
江西,CEG,Area-balanced,annulus,107,0.5767790262172284,0.8191489361702128,0.676923076923077,0.6067188713893092,0.650588723902002,19.903778318698127,1.497769527860294,0.9824252042555692,0.5546763432710796,1.8367926554479683e-16,7.347170621791874e-16,0.0
江西,CEG,Area-balanced,disk,107,0.6293706293706294,0.9574468085106383,0.759493670886076,0.6314568654256799,0.6452641442345437,15.801032701774744,3.0432867454076424,0.9926428809341876,0.439071881807574,0.0,1.696314753159307e-15,0.0
江西,CEG,Direct Polar,annulus,107,0.704119850187266,1.0,0.8263736263736264,0.7301873055573036,0.73482157333065,17.397848756846216,0.7878340999082742,0.9779286428025628,2.1698022376430255,0.0,0.0297138499531916,1.0
江西,CEG,Direct Polar,disk,107,0.7768595041322314,1.0,0.8744186046511627,0.7856043915174872,0.7847375606970427,12.401595278762032,1.1756505331485756,0.9801230431630716,0.6343926398804117,0.0,0.0396664306879135,1.0
江西,CEG,GeoAnnulus-Final,annulus,107,0.6518518518518519,0.9361702127659576,0.7685589519650656,0.661353850626803,0.6862789944263747,18.842949781038783,1.7362958465304268,0.9629401046258744,0.576338369055093,1.102075593268781e-15,1.4694341243583748e-15,0.0
江西,CEG,GeoDisk-Final,disk,107,0.6619718309859155,1.0,0.7966101694915254,0.6708418718003222,0.6759663502779831,13.827840377738845,3.112161758530374,0.9751366602010229,0.4873807481214918,0.0,0.0,0.0
江西,CEG,Harmonic,annulus,107,0.6168582375478927,0.8563829787234043,0.7171492204899778,0.6193605544809245,0.653662539505073,19.208400570282183,1.587774335979467,0.914937596739748,0.7008742366413182,0.0,1.6531133899031716e-15,0.0
江西,CEG,Harmonic,disk,107,0.6436363636363637,0.9414893617021276,0.7645788336933046,0.6541365123414602,0.6637666294171377,14.53732481122276,3.0586366597038124,0.9049158486647464,0.6558311651885634,1.4135956276327555e-16,1.4135956276327558e-15,0.0
江西,CEG,Regular Topology,annulus,107,0.4688644688644688,0.6808510638297872,0.5553145336225597,0.4621996563350855,0.4870242166263439,35.501192735798035,3.925667304766115,0.9561021963596466,0.8936037006197495,0.0015225926110494,0.0020654187021395,0.0
江西,CEG,Regular Topology,disk,107,0.4051724137931034,0.75,0.5261194029850746,0.4349673420192829,0.4448812505978288,35.020543698592014,3.925667304766114,0.9602166970356004,0.780358940924448,0.0008834811664852,0.0013686327454833,0.0
浙江,CEG,Area-balanced,annulus,65,0.62,0.8454545454545455,0.7153846153846155,0.6731316878459056,0.7490521593794157,18.026041233284342,1.5762650041595072,0.9412150349650348,0.2849172018428653,5.510377966343905e-16,0.0,0.0
浙江,CEG,Area-balanced,disk,65,0.6428571428571429,0.9818181818181818,0.776978417266187,0.6519784370058245,0.6632690368984788,12.583652107135274,2.8440690700289237,0.9642045454545456,0.2488698494533085,0.0,8.481573765796536e-16,0.0
浙江,CEG,Direct Polar,annulus,65,0.7692307692307693,1.0,0.8695652173913044,0.8117054564339632,0.8287174328789619,14.834030217740102,1.2119587152020357,0.9816433566433566,1.6284495691047394,6.3442284448040355e-06,0.1205478653988661,0.0
浙江,CEG,Direct Polar,disk,65,0.8088235294117647,1.0,0.8943089430894309,0.8078246991821653,0.805693322419349,8.602189309007256,1.4764076519145055,0.982736013986014,0.3070844263055776,5.11527428221468e-06,0.1645529064394698,0.0
浙江,CEG,GeoAnnulus-Final,annulus,65,0.6451612903225806,0.9090909090909092,0.7547169811320754,0.6590869611058942,0.6946146478004469,14.560860082187714,1.6814067319578283,0.9159965034965036,0.2940461418409524,0.0,7.347170621791874e-16,0.0
浙江,CEG,GeoDisk-Final,disk,65,0.650887573964497,1.0,0.7885304659498208,0.6573721305949218,0.6677065289237271,7.233716642910035,2.671938497863552,0.8864510489510489,0.296383648839186,4.240786882898267e-16,1.2722360648694805e-15,0.0
浙江,CEG,Harmonic,annulus,65,0.6513157894736842,0.9,0.7557251908396946,0.6716542833076531,0.7146536429743127,14.404498485114733,1.3125489792463907,0.914291958041958,0.4299154442560819,0.0,1.102075593268781e-15,0.0
浙江,CEG,Harmonic,disk,65,0.6547619047619048,1.0,0.7913669064748202,0.6597329422317516,0.6679454713737893,7.052702039368732,2.2427484591837237,0.8832167832167832,0.3782146155855077,4.240786882898267e-16,1.696314753159307e-15,0.0
浙江,CEG,Regular Topology,annulus,65,0.5393939393939394,0.8090909090909091,0.6472727272727272,0.5269281223468815,0.5428561164655447,30.42571088257566,5.573313944040408,0.9531468531468532,0.7160622645905493,0.0019247855108632,0.0028070879484547,0.0
浙江,CEG,Regular Topology,disk,65,0.4946808510638298,0.8454545454545455,0.6241610738255033,0.4932355194436849,0.5071323434933152,27.472991706480705,5.573313944040409,0.9658216783216784,0.5604877746796033,0.0011848399062666,0.0019010975606181,0.0
湖北,CEG,Area-balanced,annulus,130,0.4924012158054711,0.72,0.5848375451263538,0.5167574305777243,0.5606862404985087,22.94035659941012,1.7073360022687256,0.985661418290568,0.7333134391208632,0.0,1.8367926554479684e-15,0.0
湖北,CEG,Area-balanced,disk,130,0.5619596541786743,0.8666666666666667,0.6818181818181819,0.5527420763285023,0.5606685684316987,21.161069271867984,3.340604829533866,0.9935162299089156,0.6141467044118202,1.2722360648694805e-15,1.4135956276327555e-16,0.0
湖北,CEG,Direct Polar,annulus,130,0.6696428571428571,1.0,0.802139037433155,0.6829594587757245,0.6865782664778889,21.91641539883225,1.3235915164532714,0.9647735186879516,2.412799065221795,0.0014537244405329,0.0341179456994238,7.0
湖北,CEG,Direct Polar,disk,130,0.7124600638977636,0.9911111111111112,0.8289962825278812,0.7113096230394993,0.7022954805479934,18.668197510323605,1.64454835853788,0.9624356470797087,0.8712937288397645,0.0021470179177753,0.0460444226183451,9.0
湖北,CEG,GeoAnnulus-Final,annulus,130,0.5975609756097561,0.8711111111111111,0.7088607594936708,0.5965785802050131,0.6245062530729456,21.08649667080159,1.262302969434641,0.9529913012604296,0.9267175071141432,3.673585310895937e-16,0.0,0.0
湖北,CEG,GeoDisk-Final,disk,130,0.6114285714285714,0.9511111111111112,0.7443478260869564,0.6127335906333883,0.6228006420322478,17.354597340481828,2.9824492259617763,0.9600431523030492,0.6958022276263262,1.1308765021062046e-15,5.654382510531023e-16,0.0
湖北,CEG,Harmonic,annulus,130,0.5379746835443038,0.7555555555555555,0.6284658040665434,0.5346873303331777,0.5669386892938258,23.057950859626015,1.2931410608813152,0.8762129757336574,0.9130393474322818,0.0,2.0204719209927652e-15,0.0
湖北,CEG,Harmonic,disk,130,0.5542168674698795,0.8177777777777778,0.6606822262118491,0.5555089261360423,0.5836871710739094,19.30091573164628,2.674524918220203,0.8663207199333597,0.9166961173156206,0.0,1.8376743159225824e-15,0.0
湖北,CEG,Regular Topology,annulus,130,0.4341317365269461,0.6444444444444445,0.5187835420393561,0.4142794236856927,0.4308155635422201,33.44601092595365,3.0806143839062683,0.960944434581928,0.871925872497672,0.0006242644123524,0.0009344727460296,0.0
湖北,CEG,Regular Topology,disk,130,0.3690205011389522,0.72,0.4879518072289156,0.3896436986873666,0.3943586956572665,36.09104880423567,3.0806143839062674,0.960944434581928,0.7953887591244893,0.0003425750418074,0.0006275606430642,0.0
湖南,CEG,Area-balanced,annulus,137,0.5804597701149425,0.8347107438016529,0.6847457627118645,0.5934783434484006,0.6340802798430385,20.787812409780855,1.2811971873210342,0.9919633356357456,0.4249977530606599,9.183963277239842e-16,0.0,0.0
湖南,CEG,Area-balanced,disk,137,0.6294277929155313,0.9545454545454546,0.7586206896551725,0.6371082453750078,0.6396667023187445,15.883289381356226,1.7516297379685069,0.9967984020012322,0.2731353575162722,4.240786882898267e-16,5.654382510531023e-16,0.0
湖南,CEG,Direct Polar,annulus,137,0.7038123167155426,0.9917355371900828,0.823327615780446,0.7146751853701979,0.7239618300718912,19.119706737086354,0.7082722797023392,0.9793902962644911,2.190723597866528,0.0032255121393101,0.0176539838891547,3.0
湖南,CEG,Direct Polar,disk,137,0.7619047619047619,0.9917355371900828,0.8617594254937163,0.7617867128816034,0.7577631404101333,12.09942804922245,1.015785350716898,0.9615061511751636,0.4962069073867782,0.00028389166613,0.0233432279113845,3.0
湖南,CEG,GeoAnnulus-Final,annulus,137,0.6491228070175439,0.9173553719008264,0.7602739726027398,0.6511536841851411,0.6724421559543837,18.258416429066227,1.505432933818234,0.9402990647226838,0.6094188751705556,0.0,5.510377966343905e-16,0.0
湖南,CEG,GeoDisk-Final,disk,137,0.6584699453551912,0.9958677685950412,0.7927631578947367,0.6592319911826815,0.6592964318020283,12.447515650650768,3.7329551610344,0.9785082233464631,0.3242384454847633,7.067978138163779e-16,2.8271912552655115e-15,0.0
湖南,CEG,Harmonic,annulus,137,0.6242603550295858,0.871900826446281,0.7275862068965517,0.6257124398053416,0.6552613626433712,18.59013332660348,1.3538418514255015,0.9405370843989768,0.5830571726814082,1.4694341243583748e-15,1.102075593268781e-15,0.0
湖南,CEG,Harmonic,disk,137,0.6454293628808865,0.962809917355372,0.7728026533996684,0.6580558897147788,0.6741723763221278,13.709221291045308,5.460231948295701,0.9271939813691265,0.5176815225989045,0.0,1.4135956276327558e-15,0.0
湖南,CEG,Regular Topology,annulus,137,0.5071225071225072,0.7355371900826446,0.6003372681281619,0.4891572988575414,0.519765657339601,28.96100003031945,2.4822473057736434,0.9608247615136184,0.6346204709093224,0.0002389681648204,0.000384601264955,0.0
湖南,CEG,Regular Topology,disk,137,0.4351648351648352,0.8181818181818182,0.5681492109038738,0.4564745564413022,0.4553946548710927,30.902652109630296,2.482247305773643,0.9608247615136184,0.4607059872269319,0.000130270596457,0.0002477646208373,0.0
福建,CEG,Area-balanced,annulus,74,0.5625,0.792,0.6578073089700996,0.5901363042423414,0.6537578034444081,20.76800644356673,1.8680986454180424,0.9658200666419844,0.4725768655353229,1.8367926554479683e-16,0.0,0.0
福建,CEG,Area-balanced,disk,74,0.6335078534031413,0.968,0.7658227848101266,0.6319253104276324,0.6315352003727006,16.13443936265234,3.178296781188513,0.9753572750833024,0.3976661636685955,0.0,7.067978138163779e-16,0.0
福建,CEG,Direct Polar,annulus,74,0.6906077348066298,1.0,0.8169934640522877,0.7178546179219217,0.7210659817267474,16.85839761466339,0.9137541376024272,0.9875009255831172,1.8310557502923792,5.64384997573927e-06,0.1018188305250015,0.0
福建,CEG,Direct Polar,disk,74,0.7716049382716049,1.0,0.8710801393728224,0.7753229435311478,0.754216612286543,11.784091706553744,1.4523812337682735,0.9876194002221396,0.4017600162872126,4.492580138640671e-06,0.1389854582958953,0.0
