analysis,view,node_group,metric,refined_method,comparator,region_count,mean_difference,ci95_low,ci95_high,paired_sign_flip_p,refined_better_count,paired_sign_flip_p_holm,holm_family_size
boundary_interior,annulus,boundary,node_adj_f1,GeoAnnulus-Final,Regular Topology,8,0.1776710361569362,0.1479521633826884,0.20896411216972366,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,GeoDisk,8,0.09019962988131786,0.0674866966813299,0.11092040827658134,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Direct Polar,8,-0.16016816746168525,-0.1925785093587925,-0.1283912674673544,0.0078125,0,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Harmonic,8,0.0666090781793683,0.02462584813834264,0.12298844009727875,0.015625,7,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Area-balanced,8,0.04355142811033134,0.03232607178986632,0.052484188322578056,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_jaccard,GeoDisk-Final,Regular Topology,8,0.17378613903282686,0.15301704562140514,0.19900121489730152,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,GeoAnnulus,8,0.07748104997113743,0.036817101891999986,0.11064425968121376,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Direct Polar,8,-0.10611607008040318,-0.15333064622703843,-0.06301341456039683,0.0078125,0,0.0390625,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Harmonic,8,0.09057544017565196,0.047786232101117744,0.13333899536655272,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Area-balanced,8,0.06872558989773495,0.03205022143756079,0.09589042931791783,0.015625,7,0.046875,5
boundary_interior,annulus,boundary,node_neighbor_jaccard,GeoAnnulus-Final,Regular Topology,8,0.1915619516144661,0.15679047169265295,0.22879137381497228,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,degree_absolute_error,GeoDisk-Final,GeoDisk,8,-0.2478322058364903,-0.3472260419531464,-0.15934592421734248,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,degree_absolute_error,GeoDisk-Final,Direct Polar,8,0.7563589637643876,0.6115860576878793,0.9311644088767183,0.0078125,0,0.0390625,5
boundary_interior,disk,boundary,degree_absolute_error,GeoDisk-Final,Harmonic,8,0.5091704605118111,0.31598117870203907,0.7320505287896593,0.0078125,0,0.0390625,5
boundary_interior,disk,boundary,degree_absolute_error,GeoDisk-Final,Area-balanced,8,-0.0581219239369587,-0.14951863613405375,0.049335595330136095,0.3359375,6,0.3359375,5
boundary_interior,disk,boundary,degree_absolute_error,GeoDisk-Final,Regular Topology,8,-0.5553220022701862,-0.6916224682760299,-0.4269581096273607,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,degree_absolute_error,GeoAnnulus-Final,GeoAnnulus,8,-0.12778767717786169,-0.27633628417017625,0.030256773506916485,0.15625,5,0.3125,5
boundary_interior,annulus,boundary,degree_absolute_error,GeoAnnulus-Final,Direct Polar,8,0.41945531705348393,0.21217185038877914,0.6684819989078427,0.0078125,0,0.0390625,5
boundary_interior,annulus,boundary,degree_absolute_error,GeoAnnulus-Final,Harmonic,8,0.2933806865160023,0.11005256738952399,0.5434357544107973,0.015625,1,0.046875,5
boundary_interior,annulus,boundary,degree_absolute_error,GeoAnnulus-Final,Area-balanced,8,-0.08252470136416526,-0.19079042546013927,0.0428615479494297,0.2265625,6,0.3125,5
boundary_interior,annulus,boundary,degree_absolute_error,GeoAnnulus-Final,Regular Topology,8,-0.6681484987968993,-0.8572095535006035,-0.47016145865545167,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_direction_error_deg,GeoDisk-Final,GeoDisk,8,-5.6947079325098775,-7.073070928669349,-4.194326997579497,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_direction_error_deg,GeoDisk-Final,Direct Polar,8,1.7044108347972344,0.4894224239329054,2.908277088957458,0.046875,2,0.09375,5
boundary_interior,disk,boundary,node_direction_error_deg,GeoDisk-Final,Harmonic,8,-5.840806241712414,-9.521393415088177,-2.9757853077557685,0.015625,7,0.046875,5
boundary_interior,disk,boundary,node_direction_error_deg,GeoDisk-Final,Area-balanced,8,-0.4842964549255617,-2.0894159039989466,1.2138305605015753,0.59375,4,0.59375,5
boundary_interior,disk,boundary,node_direction_error_deg,GeoDisk-Final,Regular Topology,8,-14.29209310008643,-16.408629604958424,-12.269356887414189,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,node_direction_error_deg,GeoAnnulus-Final,GeoAnnulus,8,-1.3749354353781644,-3.7046710309279915,0.5560178487396548,0.3125,5,0.625,5
boundary_interior,annulus,boundary,node_direction_error_deg,GeoAnnulus-Final,Direct Polar,8,0.9780965281750928,-0.46159634610363254,2.280084552197766,0.203125,3,0.609375,5
boundary_interior,annulus,boundary,node_direction_error_deg,GeoAnnulus-Final,Harmonic,8,-3.286721044069025,-6.37875719324892,-0.8833634032235793,0.0234375,7,0.09375,5
boundary_interior,annulus,boundary,node_direction_error_deg,GeoAnnulus-Final,Area-balanced,8,0.33379622591059555,-1.8044878707048297,2.050952707966746,0.765625,2,0.765625,5
boundary_interior,annulus,boundary,node_direction_error_deg,GeoAnnulus-Final,Regular Topology,8,-12.075642167621554,-15.873132413845441,-8.719590198477844,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_order_accuracy,GeoDisk-Final,GeoDisk,8,0.0914795432581681,0.05583455205425009,0.12816623581957368,0.0078125,8,0.0390625,5
boundary_interior,disk,boundary,node_neighbor_order_accuracy,GeoDisk-Final,Direct Polar,8,0.03401535631152837,0.013417974004009542,0.05393316584526487,0.03125,6,0.09375,5
boundary_interior,disk,boundary,node_neighbor_order_accuracy,GeoDisk-Final,Harmonic,8,0.030400648446323605,-0.003226256849280148,0.0671253733894393,0.1875,5,0.1875,5
boundary_interior,disk,boundary,node_neighbor_order_accuracy,GeoDisk-Final,Area-balanced,8,0.0372260250554821,0.01811849031676617,0.0558636876376249,0.03125,6,0.09375,5
boundary_interior,disk,boundary,node_neighbor_order_accuracy,GeoDisk-Final,Regular Topology,8,0.14676870642510198,0.1093884259846084,0.1960594646336463,0.0078125,8,0.0390625,5
boundary_interior,annulus,boundary,node_neighbor_order_accuracy,GeoAnnulus-Final,GeoAnnulus,8,0.03766517895144329,0.014497687062519374,0.060935223538954225,0.0234375,7,0.09375,5
boundary_interior,annulus,boundary,node_neighbor_order_accuracy,GeoAnnulus-Final,Direct Polar,8,-0.007805801195965051,-0.03169650408933221,0.012107495443750796,0.625,4,1.0,5
boundary_interior,annulus,boundary,node_neighbor_order_accuracy,GeoAnnulus-Final,Harmonic,8,0.01430580922698406,-0.01070209027526102,0.03743548212804816,0.3125,5,0.9375,5
boundary_interior,annulus,boundary,node_neighbor_order_accuracy,GeoAnnulus-Final,Area-balanced,8,-0.004492032959016012,-0.029901465957407045,0.018349729698275558,0.734375,4,1.0,5
boundary_interior,annulus,boundary,node_neighbor_order_accuracy,GeoAnnulus-Final,Regular Topology,8,0.13188668577152218,0.07521882979540177,0.18606829686502438,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_adj_f1,GeoDisk-Final,GeoDisk,8,0.1415002141534739,0.10779104207693553,0.17334653808040565,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_adj_f1,GeoDisk-Final,Direct Polar,8,-0.07677565095661033,-0.08711921136821114,-0.0660226259929055,0.0078125,0,0.0390625,5
boundary_interior,disk,interior,node_adj_f1,GeoDisk-Final,Harmonic,8,0.05276605218707586,0.017420087630329647,0.09926740297738502,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_adj_f1,GeoDisk-Final,Area-balanced,8,0.04742280028107136,0.029874765580941938,0.06623229044786576,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_adj_f1,GeoDisk-Final,Regular Topology,8,0.2338134374402644,0.20340029375564034,0.26162492726975617,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_adj_f1,GeoAnnulus-Final,GeoAnnulus,8,0.13306011464492745,0.11026017107278659,0.15210932487188478,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_adj_f1,GeoAnnulus-Final,Direct Polar,8,-0.08666662641977253,-0.10060530673212036,-0.07380965025805736,0.0078125,0,0.0390625,5
boundary_interior,annulus,interior,node_adj_f1,GeoAnnulus-Final,Harmonic,8,0.04608180500514748,0.02939839431519385,0.06509850789005435,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_adj_f1,GeoAnnulus-Final,Area-balanced,8,0.10541776922961563,0.08869191953677695,0.12098369539002626,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_adj_f1,GeoAnnulus-Final,Regular Topology,8,0.15378261368637977,0.12219143093805471,0.182365441229699,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_neighbor_jaccard,GeoDisk-Final,GeoDisk,8,0.1612077026186982,0.12201725030335031,0.19497525617716094,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_neighbor_jaccard,GeoDisk-Final,Direct Polar,8,-0.12055398976720454,-0.13783679271889365,-0.10330389702561274,0.0078125,0,0.0390625,5
boundary_interior,disk,interior,node_neighbor_jaccard,GeoDisk-Final,Harmonic,8,0.0612247946975297,0.023077428316480603,0.11136448894757957,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_neighbor_jaccard,GeoDisk-Final,Area-balanced,8,0.05505469247716474,0.034292343213635904,0.07736452029233241,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_neighbor_jaccard,GeoDisk-Final,Regular Topology,8,0.25938063087531477,0.22951532293844257,0.28633625979126287,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_neighbor_jaccard,GeoAnnulus-Final,GeoAnnulus,8,0.1480339278898563,0.1257006962279578,0.16756130694345187,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_neighbor_jaccard,GeoAnnulus-Final,Direct Polar,8,-0.10494364738185029,-0.12378369190474778,-0.0876181531714971,0.0078125,0,0.0390625,5
boundary_interior,annulus,interior,node_neighbor_jaccard,GeoAnnulus-Final,Harmonic,8,0.05054533337890416,0.03412212881492825,0.06775969840742055,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_neighbor_jaccard,GeoAnnulus-Final,Area-balanced,8,0.12089322996111473,0.10388986504479532,0.1361064651817358,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,node_neighbor_jaccard,GeoAnnulus-Final,Regular Topology,8,0.16874922451015495,0.1381223504338805,0.19814452420238798,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,degree_absolute_error,GeoDisk-Final,GeoDisk,8,0.004054923901892354,-0.03483716238471679,0.05122956836880102,0.90625,4,1.0,5
boundary_interior,disk,interior,degree_absolute_error,GeoDisk-Final,Direct Polar,8,0.7765753161917512,0.6486900749710691,0.8951550253641102,0.0078125,0,0.0390625,5
boundary_interior,disk,interior,degree_absolute_error,GeoDisk-Final,Harmonic,8,-0.054521522132809974,-0.08172207459543643,-0.027615214085449504,0.015625,7,0.046875,5
boundary_interior,disk,interior,degree_absolute_error,GeoDisk-Final,Area-balanced,8,0.008239308340819013,-0.032160859346137764,0.05184534558922178,0.6875,4,1.0,5
boundary_interior,disk,interior,degree_absolute_error,GeoDisk-Final,Regular Topology,8,-1.360123418644454,-1.6753388559709008,-1.0235991094667736,0.0078125,8,0.0390625,5
boundary_interior,annulus,interior,degree_absolute_error,GeoAnnulus-Final,GeoAnnulus,8,0.3214961079739944,0.26080496287453275,0.38538795946248344,0.0078125,0,0.0390625,5
boundary_interior,annulus,interior,degree_absolute_error,GeoAnnulus-Final,Direct Polar,8,-0.000278911121258385,-0.11915273712817842,0.11367170652938015,1.0,3,1.0,5
boundary_interior,annulus,interior,degree_absolute_error,GeoAnnulus-Final,Harmonic,8,-0.0023840212716736975,-0.046364160982192225,0.041365276707112486,0.9375,4,1.0,5
boundary_interior,annulus,interior,degree_absolute_error,GeoAnnulus-Final,Area-balanced,8,0.17734846963865167,0.1285006127243898,0.2338741868131,0.0078125,0,0.0390625,5
boundary_interior,annulus,interior,degree_absolute_error,GeoAnnulus-Final,Regular Topology,8,0.10614295052517353,0.0022203792584227777,0.2011067042852275,0.09375,1,0.28125,5
boundary_interior,disk,interior,node_direction_error_deg,GeoDisk-Final,GeoDisk,8,-13.93217106378464,-14.734184795880878,-12.968874223825813,0.0078125,8,0.0390625,5
boundary_interior,disk,interior,node_direction_error_deg,GeoDisk-Final,Direct Polar,8,-0.10392819025882505,-1.032863135192534,0.7058662017623738,0.84375,3,1.0,5
