method,view,metric,province_count,mean,bootstrap_ci_2.5,bootstrap_ci_97.5,bootstrap_repetitions,seed
Direct Polar,disk,adj_precision,8,0.7597913099446018,0.7378330021811366,0.7806469488621894,10000,20260827
Direct Polar,disk,adj_recall,8,0.9978558310376493,0.9947566574839303,1.0,10000,20260827
Direct Polar,disk,adj_f1,8,0.8623558854912692,0.8474720239426388,0.8761643068039857,10000,20260827
Direct Polar,disk,np2,8,0.7612407195056294,0.7374833065667522,0.7829622314611252,10000,20260827
Direct Polar,disk,local_direction_error_deg,8,13.498276110920834,11.555615282919916,15.458319145888213,10000,20260827
Direct Polar,disk,angular_error_deg,8,1.532744267137641,1.2011846688669605,1.9722227157240866,10000,20260827
Direct Polar,disk,radial_spearman,8,0.9706422478758157,0.9623127775604587,0.9786958672726234,10000,20260827
Direct Polar,annulus,adj_precision,8,0.7024663280072072,0.6868765977500831,0.7240837295193396,10000,20260827
Direct Polar,annulus,adj_recall,8,0.9984629098906959,0.9963967941882166,1.0,10000,20260827
Direct Polar,annulus,adj_f1,8,0.8244166948840405,0.813937213715764,0.839119051902044,10000,20260827
Direct Polar,annulus,np2,8,0.7230374917570281,0.7031140091482976,0.7509238035701266,10000,20260827
Direct Polar,annulus,local_direction_error_deg,8,18.6855201411342,17.19287094597516,20.091677027800927,10000,20260827
Direct Polar,annulus,angular_error_deg,8,1.0565159763913474,0.8770713858530357,1.2387502343901882,10000,20260827
Direct Polar,annulus,radial_spearman,8,0.9728636210977241,0.964390097369455,0.9799379437271647,10000,20260827
Harmonic,disk,adj_precision,8,0.6067514697661982,0.5590312694903945,0.642226975070926,10000,20260827
Harmonic,disk,adj_recall,8,0.9067194209121088,0.8307720630436362,0.9644939902905325,10000,20260827
Harmonic,disk,adj_f1,8,0.7269697211186098,0.6687442574717086,0.7712471294913894,10000,20260827
Harmonic,disk,np2,8,0.6139477966650033,0.5644116748463393,0.6516485739172476,10000,20260827
Harmonic,disk,local_direction_error_deg,8,15.376463949756673,11.813122448848786,19.606353391876397,10000,20260827
