dataset_family,method,view,dataset_count,before_adj_f1,refined_adj_f1,np2,local_direction_error_deg,radial_spearman,area_cv,invalid_polygon_count
ceg,GeoAnnulus-Final,annulus,8,0.629502548736315,0.7481371571694196,0.6397676028363044,18.61378355295412,0.9533593295570979,0.7701868425190267,0
ceg,GeoDisk-Final,disk,8,0.6598404782063116,0.7782148073837604,0.6418808554534523,13.833045075662174,0.9597832947048522,0.5531266158198539,0
external,GeoAnnulus-Final,annulus,2,0.5097597113959931,0.6502146395156854,0.5452581295326313,23.865982098048,0.8600935494144348,0.8228758965863823,0
external,GeoDisk-Final,disk,2,0.5595769682726204,0.7376747437092266,0.6358714456012822,20.325508980815986,0.8862195153055865,0.7573534900371887,0
synthetic,GeoAnnulus-Final,annulus,6,0.6052941245536129,0.6998671460951936,0.5933301503269864,19.867590335734793,0.977607361815987,1.1425460330764963,0
synthetic,GeoDisk-Final,disk,6,0.6182690765509117,0.770888709874186,0.6364351415936893,18.48267503147113,0.9784650871559785,0.9368657052590287,0
