dataset,method,view,cell_count,adj_precision,adj_recall,adj_f1,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count
NE-Admin0-Africa,Direct Polar,disk,50,0.45,0.9908256880733946,0.6189111747851003,0.5433275007473365,0.5731481912986396,29.370720653316326,5.593024999586212,0.91089425692754,109,240,108,1,132
NE-Admin0-Africa,Direct Polar,annulus,50,0.45,0.9908256880733946,0.6189111747851003,0.5433275007473365,0.5731481912986396,29.69344920615532,4.949399716770467,0.9156524061295495,109,240,108,1,132
NE-Admin0-Africa,Harmonic,disk,50,0.5585585585585585,0.5688073394495413,0.5636363636363636,0.536184193691141,0.6373799868398727,34.237192119262254,6.2366172358835374,0.5922439180215411,109,111,62,47,49
NE-Admin0-Africa,Harmonic,annulus,50,0.5454545454545454,0.5504587155963303,0.547945205479452,0.5331234392990687,0.625974976171296,34.26628073398995,3.0838733110334737,0.5675443003742208,109,110,60,49,50
NE-Admin0-Africa,Area-balanced,disk,50,0.5862068965517241,0.6238532110091743,0.6044444444444446,0.5780561345745086,0.682847311813415,21.200182244596224,3.5965697789424547,0.9633795557782767,109,116,68,41,48
NE-Admin0-Africa,Area-balanced,annulus,50,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.49373733508530926,0.6405949412535017,24.905063694081896,2.209943141310861,0.9023490093810742,109,106,61,48,45
NE-Admin0-Africa,Regular Topology,disk,50,0.5327868852459017,0.5963302752293578,0.5627705627705627,0.4389805322243403,0.5174732444227725,39.11888828129872,13.760173889824241,0.9004554602088457,109,122,65,44,57
NE-Admin0-Africa,Regular Topology,annulus,50,0.5398230088495575,0.5596330275229358,0.5495495495495495,0.41068830097777465,0.49550983144725846,40.65227502619813,13.760173889824241,0.7802393640437912,109,113,61,48,52
NE-Admin0-Africa,GeoDisk,disk,50,0.5785123966942148,0.6422018348623854,0.6086956521739131,0.5804796898559181,0.6996998853519876,28.277549751360265,4.906510022965691,0.9666811286939567,109,121,70,39,51
NE-Admin0-Africa,GeoAnnulus,annulus,50,0.5849056603773585,0.5688073394495413,0.5767441860465117,0.5036450994701096,0.5807597221954741,30.1509285386822,3.4410215811230604,0.9358988165095283,109,106,62,47,44
NCEP-AirTemp-Africa-2000,Direct Polar,disk,401,0.2370419280290525,0.9689608636977058,0.38090185676392574,0.45063904888736384,0.42651887675998124,35.262882157653905,8.28049400016495,0.8190004499851071,741,3029,718,23,2311
NCEP-AirTemp-Africa-2000,Direct Polar,annulus,401,0.23408423114593535,0.9676113360323887,0.37697160883280756,0.47419318549263756,0.45218721457778704,34.45203176708819,7.325239495776598,0.8267700954017343,741,3063,717,24,2346
NCEP-AirTemp-Africa-2000,Harmonic,disk,401,0.5851449275362319,0.8717948717948718,0.7002710027100271,0.5826058662344777,0.5993081519861545,17.82879994393742,3.197490690400416,0.8262994135922376,741,1104,646,95,458
NCEP-AirTemp-Africa-2000,Harmonic,annulus,401,0.5448658649398704,0.7948717948717948,0.646542261251372,0.5414463756581196,0.5648754149494066,21.78205248858769,1.245919627206224,0.8295531421530542,741,1081,589,152,492
NCEP-AirTemp-Africa-2000,Area-balanced,disk,401,0.4841417910447761,0.7004048582995951,0.5725317153888582,0.4917434601110444,0.5191493022295367,24.69282814584271,0.664657174140815,0.992887935809412,741,1072,519,222,553
NCEP-AirTemp-Africa-2000,Area-balanced,annulus,401,0.4165120593692022,0.6059379217273954,0.4936778449697636,0.42844209392752997,0.4785794842408225,25.936763267744148,0.40320029610808406,0.9803483464910798,741,1078,449,292,629
NCEP-AirTemp-Africa-2000,Regular Topology,disk,401,0.26321905868681,0.611336032388664,0.3679935012185215,0.28225641953592845,0.26731870670513935,39.33726927693292,1.6181957690387485,0.971192754937143,741,1721,453,288,1268
NCEP-AirTemp-Africa-2000,Regular Topology,annulus,401,0.37249283667621774,0.5263157894736842,0.43624161073825496,0.3194298102240063,0.34384722590262484,36.29668581071269,1.6181957690387476,0.9656671070970813,741,1047,390,351,657
NCEP-AirTemp-Africa-2000,GeoDisk,disk,401,0.3931469792605951,0.5883940620782726,0.47135135135135137,0.375674682049913,0.4118091332113999,34.88249201176495,1.0890530618929173,0.9840647016750835,741,1109,436,305,673
NCEP-AirTemp-Africa-2000,GeoAnnulus,annulus,401,0.37781954887218044,0.5425101214574899,0.4454293628808864,0.367272579190822,0.41210550430989584,32.81068445386951,0.9223964101848525,0.980506820714537,741,1064,402,339,662
