seed,view,region_count,adj_f1,np2,local_direction_error_deg,area_cv,invalid_polygon_count
20260827,annulus,8,0.7481371571694196,0.6397676028363044,18.61378355295412,0.7701868425190267,0
20260827,disk,8,0.7803887204272386,0.6439995611462604,13.762197472521201,0.553122362556407,0
20260828,annulus,8,0.7455405188504021,0.6389910648491833,18.582370678828713,0.7459545113539098,0
20260828,disk,8,0.7820630298997981,0.6480342780799824,13.771465772644126,0.584352322321525,0
20260829,annulus,8,0.7502569400949783,0.6425872416498885,18.577085030627902,0.7505062652096499,0
20260829,disk,8,0.7819545301554116,0.6453564063015145,13.833153173411624,0.5856129082115896,0
20260830,annulus,8,0.7540892124043603,0.6453434096675119,18.563809126712773,0.7459355409057691,0
20260830,disk,8,0.7830709249037884,0.6470108951662098,13.74251278023382,0.5993327564503659,0
20260831,annulus,8,0.7512108653392742,0.6431246639898401,18.547941333290748,0.7505551707019437,0
20260831,disk,8,0.7829094305345319,0.6457414809476169,13.753337720650633,0.5923585486638133,0
