parameter,value,view,adj_f1,np2,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv
coarsen_factor,3.0,annulus,0.5613723931258028,0.43499109555894006,31.320102370468284,1.961771216127106,0.9722093978101066,1.553247622620186
coarsen_factor,3.0,disk,0.5686181183563382,0.44204939828123646,32.16917383105046,2.058362283107896,0.9807331384070331,1.6288311990801927
coarsen_factor,4.0,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431421
coarsen_factor,4.0,disk,0.5929295856273544,0.4709939746691947,29.601055128980395,3.222780316245869,0.9789409439651772,1.3348208526058785
coarsen_factor,5.0,annulus,0.6172202001819835,0.5276362090800477,26.86325792482184,3.069245841162182,0.973129965215666,1.3302487541253796
coarsen_factor,5.0,disk,0.6408347122632836,0.5216422187946052,27.99816950328983,4.1503566360829,0.9758403200433478,1.1407290358495796
layer_count,4.0,annulus,0.5623154658949565,0.44414121347484425,32.20066775417154,2.7081381039423165,0.9616871665147039,1.4680473037956074
layer_count,4.0,disk,0.567257721608693,0.4620763018336731,33.12392028466958,3.518382577804117,0.9730788424294856,1.3030178175403997
layer_count,5.0,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431421
layer_count,5.0,disk,0.5929295856273544,0.4709939746691947,29.601055128980395,3.222780316245869,0.9789409439651772,1.3348208526058785
layer_count,6.0,annulus,0.593720464557469,0.5025868009817378,24.564546180554142,1.8561677548855537,0.9778349105120131,1.484402710722109
layer_count,6.0,disk,0.6075972540045766,0.49735645191652145,25.649223916607195,2.718977685233026,0.9823737414908635,1.3021344773702164
optimize_passes,2.0,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431421
optimize_passes,2.0,disk,0.5929295856273544,0.4709939746691947,29.601055128980395,3.222780316245869,0.9789409439651772,1.3348208526058785
optimize_passes,5.0,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431421
optimize_passes,5.0,disk,0.5929295856273544,0.4709939746691947,29.601055128980395,3.222780316245869,0.9789409439651772,1.3348208526058785
optimize_passes,8.0,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431421
optimize_passes,8.0,disk,0.5929295856273544,0.4709939746691947,29.601055128980395,3.222780316245869,0.9789409439651772,1.3348208526058785
warp_strength,0.0,annulus,0.5834920634920635,0.4844718645518802,28.038279558338502,2.2295414466294003,0.9740458032830142,1.4724149276201026
warp_strength,0.0,disk,0.5929295856273544,0.4709939746691947,29.541161367281436,3.2120470209586505,0.9802691908650645,1.3344213577767765
warp_strength,0.01,annulus,0.5834920634920635,0.4844718645518802,28.04580472050869,2.2312989380865536,0.9733479167597121,1.4745618863257721
warp_strength,0.01,disk,0.5929295856273544,0.4709939746691947,29.57035910088321,3.2169601132703294,0.9798313237006817,1.3345174681288232
warp_strength,0.02,annulus,0.5834920634920635,0.4844718645518802,28.057892333421893,2.2347873332167705,0.9719842293019756,1.4769966870431417
warp_strength,0.02,disk,0.5929295856273544,0.4709939746691947,29.60105512898039,3.2227803162458692,0.9789409439651772,1.3348208526058785
