encoding_mode,bin_count,dataset_transition_count,delta_sign_accuracy,normalized_delta_mae,magnitude_spearman,top10_change_jaccard,high_change_event_f1,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard
derived_from_value_bins,5,99,0.5427388381018248,0.18997603681926817,0.510723770753628,0.17162629465161547,0.5159119981453996,1.0,0.0,1.0
derived_from_value_bins,7,99,0.640591298697186,0.1380216137967199,0.5996545478663988,0.2393368113260468,0.5990435146260975,1.0,0.0,1.0
derived_from_value_bins,9,99,0.7023825424039378,0.11267773238309266,0.6806385801951658,0.31241062842269524,0.6232917195143959,1.0,0.0,1.0
derived_from_value_bins,13,99,0.7880861099321143,0.08216344066224789,0.7558370986079973,0.37947539761664284,0.6926057641247527,1.0,0.0,1.0
direct_diverging_delta,5,99,0.7765720800190332,0.11153266036570865,0.760143585681888,0.26783787024741534,0.5601726430719653,1.0,0.0,1.0
direct_diverging_delta,7,99,0.7762934473808812,0.08152678388703316,0.8216086168614342,0.31237287029902333,0.6164309458050365,1.0,0.0,1.0
direct_diverging_delta,9,99,0.8388261436014808,0.06456196421407998,0.8648419835566679,0.3676227709488993,0.6655656411189346,1.0,0.0,1.0
direct_diverging_delta,13,99,0.9096826016538585,0.04717679554948258,0.9150150169368831,0.4854418790358946,0.7394589206409755,1.0,0.0,1.0
