method,view,reference_policy,inclusion_threshold,cell_count,adj_f1,np2
GeoDisk-Final,disk,province_clipped,0.5,95.625,0.6845116654435166,0.43063624072445517
GeoDisk-Final,disk,province_clipped,0.75,85.375,0.6830349001244421,0.4299742954383894
Harmonic,annulus,full_macro_cell,0.0,107.375,0.6911891090150944,0.5943078742639271
Harmonic,annulus,full_macro_cell,0.25,106.0,0.692041809335422,0.5949826022031998
Harmonic,annulus,full_macro_cell,0.5,95.625,0.7041765885021738,0.6090189869422565
Harmonic,annulus,full_macro_cell,0.75,85.375,0.7095225335922527,0.6127153407267321
Harmonic,annulus,province_clipped,0.0,107.375,0.6033925470608822,0.3868797628314565
Harmonic,annulus,province_clipped,0.25,106.0,0.6043487158292754,0.3862762028328172
Harmonic,annulus,province_clipped,0.5,95.625,0.6137666243216758,0.39708353417965647
Harmonic,annulus,province_clipped,0.75,85.375,0.6153779679421183,0.3967248776305336
Harmonic,disk,full_macro_cell,0.0,107.375,0.7269697211186098,0.6139477966650034
Harmonic,disk,full_macro_cell,0.25,106.0,0.7282630728631114,0.6144047824818191
Harmonic,disk,full_macro_cell,0.5,95.625,0.7436979132609811,0.6302322862653671
Harmonic,disk,full_macro_cell,0.75,85.375,0.7520066966276527,0.635670030670257
Harmonic,disk,province_clipped,0.0,107.375,0.6263689147515011,0.39336906133278887
Harmonic,disk,province_clipped,0.25,106.0,0.6271221376670301,0.39280042864139014
Harmonic,disk,province_clipped,0.5,95.625,0.6380261539094584,0.40408678585042124
Harmonic,disk,province_clipped,0.75,85.375,0.640338607859958,0.4038090322686707
Regular Topology,annulus,full_macro_cell,0.0,107.375,0.5822511858225493,0.4712731522824346
Regular Topology,annulus,full_macro_cell,0.25,106.0,0.5820356463502949,0.47293144606257187
Regular Topology,annulus,full_macro_cell,0.5,95.625,0.5862530260061277,0.48678158745900507
Regular Topology,annulus,full_macro_cell,0.75,85.375,0.5858997613058511,0.49310840796521577
Regular Topology,annulus,province_clipped,0.0,107.375,0.5107770806559775,0.3163963412763143
Regular Topology,annulus,province_clipped,0.25,106.0,0.5098863573455399,0.3173550391599589
Regular Topology,annulus,province_clipped,0.5,95.625,0.5157169361169086,0.32856770713963457
Regular Topology,annulus,province_clipped,0.75,85.375,0.5174181445932168,0.33357897851664914
Regular Topology,disk,full_macro_cell,0.0,107.375,0.5554847684198624,0.44185039636193435
Regular Topology,disk,full_macro_cell,0.25,106.0,0.554942542553691,0.4431468743721742
Regular Topology,disk,full_macro_cell,0.5,95.625,0.5551209758511454,0.45282740972726226
Regular Topology,disk,full_macro_cell,0.75,85.375,0.5512644364822844,0.4540314830382893
Regular Topology,disk,province_clipped,0.0,107.375,0.4964180949150324,0.3015536248723009
Regular Topology,disk,province_clipped,0.25,106.0,0.4954478658282375,0.3023321093758484
Regular Topology,disk,province_clipped,0.5,95.625,0.4983089123230852,0.3103003836643791
Regular Topology,disk,province_clipped,0.75,85.375,0.49711541726545,0.3116177230949468
