proposed,baseline,view,metric,paired_count,mean_difference_proposed_minus_baseline,bootstrap_ci_2.5,bootstrap_ci_97.5
GeoDisk,Direct Polar,disk,adj_precision,8,-0.22361202886083148,-0.2422813450584928,-0.20487123794891984
GeoDisk,Direct Polar,disk,adj_recall,8,-0.16070913290297334,-0.19755356278384278,-0.12283873467075447
GeoDisk,Direct Polar,disk,adj_f1,8,-0.2087511599628666,-0.2327761751133468,-0.18380948939894592
GeoDisk,Direct Polar,disk,np2,8,-0.21827295908373942,-0.24373042890015054,-0.1939593289946172
GeoDisk,Direct Polar,disk,local_direction_error_deg,8,12.141998256026202,10.896253499590086,13.26831711411066
GeoDisk,Direct Polar,disk,angular_error_deg,8,1.2878413639124613,0.9365793096220661,1.6994684468789274
GeoDisk,Direct Polar,disk,radial_spearman,8,0.005517612204550951,-0.0070965410697808595,0.017144214083234452
GeoAnnulus,Direct Polar,annulus,adj_precision,8,-0.16272994804184784,-0.177679098419285,-0.1475861649662989
GeoAnnulus,Direct Polar,annulus,adj_recall,8,-0.2384308596352024,-0.2637228108129981,-0.2135404663405538
GeoAnnulus,Direct Polar,annulus,adj_f1,8,-0.19334084329151793,-0.21087062790998753,-0.17573489651996094
GeoAnnulus,Direct Polar,annulus,np2,8,-0.16925990520392745,-0.19281703232095865,-0.14484248926969356
GeoAnnulus,Direct Polar,annulus,local_direction_error_deg,8,6.6976041629130805,6.020040562819741,7.405610285485932
GeoAnnulus,Direct Polar,annulus,angular_error_deg,8,1.0561390058158697,0.9450157511158904,1.1582263221851128
GeoAnnulus,Direct Polar,annulus,radial_spearman,8,-0.0043194561146013555,-0.01843791495063377,0.008546602385680061
