view,refined_method,comparator,metric,region_count,refined_mean,comparator_mean,mean_difference,ci95_low,ci95_high,paired_permutation_p,refined_better_count,bootstrap_samples,paired_permutation_p_holm,permutation_mode,holm_family_size
disk,GeoDisk-Final,GeoDisk,adj_f1,8,0.7782148073837604,0.6536047255284027,0.12461008185535773,0.09798586856288742,0.14838878783589005,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,GeoDisk,np2,8,0.6418808554534523,0.54296776042189,0.09891309503156231,0.07428916019062282,0.12295014856744106,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,GeoDisk,local_direction_error_deg,8,13.833045075662174,25.64027436694704,-11.807229291284868,-12.713358068738804,-10.776772488306701,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,GeoDisk,angular_error_deg,8,3.3715994347784632,2.820585631050102,0.5510138037283611,-0.13349111145417367,1.2557274425572476,0.1796875,2,10000,0.71875,exact,5
disk,GeoDisk-Final,GeoDisk,radial_spearman,8,0.9597832947048522,0.9761598600803666,-0.016376565375514365,-0.035638413030647166,-0.0038472711672095225,0.0234375,1,10000,0.0703125,exact,5
disk,GeoDisk-Final,Direct Polar,adj_f1,8,0.7782148073837604,0.8623558854912692,-0.08414107810750888,-0.0960266457659714,-0.07244802157415373,0.0078125,0,10000,0.0390625,exact,5
disk,GeoDisk-Final,Direct Polar,np2,8,0.6418808554534523,0.7612407195056294,-0.11935986405217712,-0.13886615294040916,-0.10075260411685635,0.0078125,0,10000,0.0390625,exact,5
disk,GeoDisk-Final,Direct Polar,local_direction_error_deg,8,13.833045075662174,13.498276110920838,0.3347689647413373,-0.40977591886098796,0.9835551858363661,0.3984375,2,10000,0.640625,exact,5
disk,GeoDisk-Final,Direct Polar,angular_error_deg,8,3.3715994347784632,1.532744267137641,1.8388551676408222,1.353910331093624,2.3935514990651945,0.0078125,0,10000,0.0390625,exact,5
disk,GeoDisk-Final,Direct Polar,radial_spearman,8,0.9597832947048522,0.9706422478758157,-0.010858953170963415,-0.038289588894737145,0.00884322344838634,0.546875,4,10000,1.0,exact,5
disk,GeoDisk-Final,Harmonic,adj_f1,8,0.7782148073837604,0.7269697211186098,0.051245086265150494,0.016842646131596722,0.10067486340652952,0.015625,7,10000,0.0390625,exact,5
disk,GeoDisk-Final,Harmonic,np2,8,0.6418808554534523,0.6139477966650033,0.02793305878844892,0.0014161014489811052,0.06475233033938961,0.09375,6,10000,0.09375,exact,5
disk,GeoDisk-Final,Harmonic,local_direction_error_deg,8,13.833045075662174,15.376463949756673,-1.543418874094499,-4.442353890996738,0.3776108967098786,0.3203125,5,10000,0.640625,exact,5
disk,GeoDisk-Final,Harmonic,angular_error_deg,8,3.3715994347784632,3.0837899515711324,0.28780948320733035,-0.6497341345617524,1.4505404489741682,0.7265625,2,10000,0.75,exact,5
disk,GeoDisk-Final,Harmonic,radial_spearman,8,0.9597832947048522,0.882999091242582,0.07678420346227013,0.039040050785066914,0.13155655649866443,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Area-balanced,adj_f1,8,0.7782148073837604,0.7342870985330512,0.04392770885070914,0.030988280082456507,0.05664726460543834,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Area-balanced,np2,8,0.6418808554534523,0.6071199463229331,0.03476090913051916,0.022930523325180165,0.04591008304908106,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Area-balanced,local_direction_error_deg,8,13.833045075662174,17.071375568111627,-3.238330492449455,-4.074358917900242,-2.497810039195327,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Area-balanced,angular_error_deg,8,3.3715994347784632,3.0291643276904248,0.3424351070880386,-0.07236589035595856,0.880464802354226,0.25,3,10000,0.75,exact,5
disk,GeoDisk-Final,Area-balanced,radial_spearman,8,0.9597832947048522,0.9870416719808566,-0.027258377276004386,-0.0440258793654896,-0.015372678939614068,0.0078125,0,10000,0.0390625,exact,5
disk,GeoDisk-Final,Regular Topology,adj_f1,8,0.7782148073837604,0.5554847684198625,0.22273003896389792,0.1989271076214152,0.24479756744453574,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Regular Topology,np2,8,0.6418808554534523,0.44185039636193435,0.20003045909151798,0.18394296559911855,0.21604846300038882,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Regular Topology,local_direction_error_deg,8,13.833045075662174,32.526207483184976,-18.693162407522806,-19.669923405166372,-17.79299085418162,0.0078125,8,10000,0.0390625,exact,5
disk,GeoDisk-Final,Regular Topology,angular_error_deg,8,3.3715994347784632,3.975757166419078,-0.6041577316406148,-1.5295835488397582,0.28660592396054074,0.296875,6,10000,0.75,exact,5
disk,GeoDisk-Final,Regular Topology,radial_spearman,8,0.9597832947048522,0.9618380609503192,-0.002054766245466952,-0.0266221485592689,0.014938462085211546,0.953125,5,10000,1.0,exact,5
annulus,GeoAnnulus-Final,GeoAnnulus,adj_f1,8,0.7481371571694198,0.6310758515925226,0.11706130557689712,0.09351962215594209,0.13607467586403188,0.0078125,8,10000,0.0390625,exact,5
annulus,GeoAnnulus-Final,GeoAnnulus,np2,8,0.6397676028363044,0.5537775865531007,0.08599001628320371,0.0565486259711783,0.107423432869273,0.015625,7,10000,0.046875,exact,5
annulus,GeoAnnulus-Final,GeoAnnulus,local_direction_error_deg,8,18.61378355295412,25.38312430404728,-6.769340751093158,-7.22843247365625,-6.345654541387878,0.0078125,8,10000,0.0390625,exact,5
