method,view,node_group,node_adj_f1,node_neighbor_jaccard,degree_absolute_error,node_direction_error_deg,node_neighbor_order_accuracy
Area-balanced,annulus,boundary,0.6593177144395608,0.5222762211933981,1.6125668024911028,23.66133008127894,0.9005807273637174
Area-balanced,annulus,interior,0.6102839057151822,0.4640353296135394,1.5916622491754242,20.912252374661072,0.9241818147741097
Area-balanced,disk,boundary,0.6657600899263791,0.5270186214728352,1.7706927155787053,22.07253650369811,0.8882872785557346
Area-balanced,disk,interior,0.7208325740653023,0.586949758485086,1.9317707069728656,16.463709672358966,0.9472467360346796
Direct Polar,annulus,boundary,0.7972655140564675,0.695022375103547,2.0791319986608574,23.905922654142692,0.8880574683007421
Direct Polar,annulus,interior,0.7998654791653507,0.6917488718703443,3.0181489500215966,20.262407568899167,0.9313769802700836
Direct Polar,disk,boundary,0.8082996755896545,0.716045873602787,2.01487558074044,21.218411259335575,0.8715839447777501
Direct Polar,disk,interior,0.8408292967409755,0.7582817940067172,2.5729600511623394,15.470830488659818,0.9269356795219238
GeoAnnulus,annulus,boundary,0.6488545174662935,0.5088961184357707,1.6692219464132223,25.426838884359782,0.8622883783431412
GeoAnnulus,annulus,interior,0.5861370179004377,0.4389372034575684,1.4525784645259585,27.088194000295147,0.8173008256027476
GeoAnnulus-Final,annulus,boundary,0.7266347551789565,0.5925418204662973,1.499201273824448,23.98929844439528,0.9093129541989355
GeoAnnulus-Final,annulus,interior,0.7177989632302532,0.579587922164758,1.7141444731622073,18.714735979868806,0.929133931477093
GeoDisk,disk,boundary,0.622643695487609,0.48237014841659354,1.9826474547281727,27.174632351144048,0.8396116592195023
GeoDisk,disk,interior,0.6372551506914541,0.49052199077100356,1.9295343587246339,26.860088116720647,0.8691965558275958
GeoDisk-Final,disk,boundary,0.7243531330507353,0.5879469061350431,1.639905362942768,22.063231792314582,0.9270958890641321
GeoDisk-Final,disk,interior,0.7905663456441946,0.6612880993454564,1.8818182664981855,13.00842308546402,0.9466091094141917
Harmonic,annulus,boundary,0.6375207423105165,0.5077157973715108,1.2045254190162373,28.031367128675697,0.8882236130352072
Harmonic,annulus,interior,0.6730152199586346,0.5317518659551641,1.7632499660416154,19.730440506813462,0.921258788808176
Harmonic,disk,boundary,0.643995265008725,0.5154650511204136,1.2049506301143809,27.946614583635615,0.8963008620254996
Harmonic,disk,interior,0.7244148177330813,0.5865016217139805,2.0257489638282578,14.525820374070648,0.9379830520828291
Regular Topology,annulus,boundary,0.5488637178824703,0.40488937269476855,2.225470431542025,36.3224411354781,0.777933615356889
Regular Topology,annulus,interior,0.5747123905734502,0.42748347793241664,1.6644965704223196,32.306971979678096,0.7867031056414622
Regular Topology,disk,boundary,0.5487158478496899,0.4047996095167701,2.297721070928214,36.036885259299666,0.785077298382925
Regular Topology,disk,interior,0.5558097548477405,0.4063031416185843,3.449246938717824,33.274115217057066,0.773574759941871
