region,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,Direct Polar,disk,130,0.8712937288397645,0.0021470179177753928,0.046044422618345154,9.0
湖北,Direct Polar,annulus,130,2.412799065221795,0.0014537244405329263,0.034117945699423814,7.0
湖北,Harmonic,disk,130,0.9166961173156206,0.0,1.8376743159225824e-15,0.0
湖北,Harmonic,annulus,130,0.9130393474322818,0.0,2.0204719209927652e-15,0.0
湖北,Area-balanced,disk,130,0.6141467044118202,1.2722360648694803e-15,1.4135956276327557e-16,0.0
湖北,Area-balanced,annulus,130,0.7333134391208632,0.0,1.8367926554479684e-15,0.0
湖北,Regular Topology,disk,130,0.7953887591244893,0.0003425750418074478,0.0006275606430642307,0.0
湖北,Regular Topology,annulus,130,0.871925872497672,0.0006242644123524108,0.0009344727460296665,0.0
湖北,GeoDisk,disk,130,0.7574082781557224,1.4135956276327557e-16,2.95441486175246e-14,0.0
湖北,GeoAnnulus,annulus,130,0.7136034861279567,1.8367926554479684e-15,5.4364819793905045e-08,0.0
湖南,Direct Polar,disk,137,0.4962069073867782,0.0002838916661300474,0.023343227911384552,3.0
湖南,Direct Polar,annulus,137,2.190723597866528,0.0032255121393101245,0.017653983889154786,3.0
湖南,Harmonic,disk,137,0.5176815225989047,1.4135956276327557e-16,8.481573765796535e-16,0.0
湖南,Harmonic,annulus,137,0.5830571726814083,1.102075593268781e-15,9.183963277239842e-16,0.0
湖南,Area-balanced,disk,137,0.27313535751627227,4.2407868828982674e-16,5.654382510531023e-16,0.0
湖南,Area-balanced,annulus,137,0.42499775306065996,9.183963277239842e-16,0.0,0.0
湖南,Regular Topology,disk,137,0.46070598722693196,0.00013027059645708664,0.00024776462083739477,0.0
湖南,Regular Topology,annulus,137,0.6346204709093224,0.00023896816482045657,0.00038460126495503907,0.0
湖南,GeoDisk,disk,137,0.41086348385102994,4.2407868828982674e-16,3.6329407630161826e-14,0.0
湖南,GeoAnnulus,annulus,137,0.3666145222763385,0.0,6.486895189347168e-08,0.0
江西,Direct Polar,disk,107,0.6343926398804117,0.0,0.039666430687913534,1.0
江西,Direct Polar,annulus,107,2.1698022376430255,0.0,0.029713849953191616,1.0
江西,Harmonic,disk,107,0.6558311651885634,1.4135956276327557e-16,1.4135956276327558e-15,0.0
江西,Harmonic,annulus,107,0.7008742366413182,0.0,1.6531133899031716e-15,0.0
江西,Area-balanced,disk,107,0.43907188180757406,0.0,1.696314753159307e-15,0.0
江西,Area-balanced,annulus,107,0.5546763432710796,1.8367926554479685e-16,7.347170621791874e-16,0.0
江西,Regular Topology,disk,107,0.780358940924448,0.0008834811664852571,0.0013686327454833815,0.0
江西,Regular Topology,annulus,107,0.8936037006197495,0.0015225926110494226,0.0020654187021395525,0.0
江西,GeoDisk,disk,107,0.5900752210416457,7.067978138163779e-16,4.509370052148491e-14,0.0
江西,GeoAnnulus,annulus,107,0.6579280369658905,0.0,4.351251189102526e-08,0.0
广东,Direct Polar,disk,108,0.9177870724345925,0.0,0.2741797857883707,3.0
广东,Direct Polar,annulus,108,2.8113463086495485,0.0,0.2626602441038589,4.0
广东,Harmonic,disk,108,2.2946014206116043,0.0,9.89516939342929e-16,0.0
广东,Harmonic,annulus,108,2.2192709705404923,0.0,3.673585310895937e-16,0.0
