dataset,variable,units,cell_count,month_count,transition_count,value_min,value_max,mean_absolute_delta,p95_absolute_delta,positive_change_fraction,negative_change_fraction
湖北,PM2.5,µg/m³,130,12,11,20.51780446876729,92.59680124332831,7.668246273906283,19.181641783146755,0.5447552447552447,0.4552447552447552
湖南,PM2.5,µg/m³,137,12,11,19.474650007585296,82.42600753521036,6.522439993325442,15.007942803602,0.48307896483078966,0.5169210351692104
江西,PM2.5,µg/m³,107,12,11,18.80388481160858,58.97191146859269,5.282393118106759,14.166767017483052,0.47408666100254887,0.5259133389974512
广东,PM2.5,µg/m³,108,12,11,13.526446811585044,50.98934557126842,4.034038445977167,9.375893945187709,0.4764309764309764,0.5235690235690236
福建,PM2.5,µg/m³,74,12,11,16.41099556865335,43.74045683785861,3.822391980729602,10.684878166906843,0.4680589680589681,0.5319410319410319
广西,PM2.5,µg/m³,142,12,11,15.752112463998996,52.87357234896552,4.332181929782363,9.401288541023476,0.5211267605633803,0.4788732394366197
安徽,PM2.5,µg/m³,96,12,11,23.253338171235928,86.3117815622898,6.838507646669651,16.753581154201612,0.6060606060606061,0.3939393939393939
浙江,PM2.5,µg/m³,65,12,11,17.41675893882054,64.79115674607026,4.078383073616509,13.071474483019314,0.551048951048951,0.4489510489510489
NCEP-AirTemp-Africa-2000,air_temperature,°C,401,12,11,5.975808620452881,37.78870391845703,2.0270147820876803,5.943693161010742,0.4763092269326683,0.5236907730673317
