dataset_family,view,dataset_count,multistart_adj_f1_gain,force_adj_f1_gain,multistart_objective_gain,force_objective_gain
astronomy,annulus,1,0.02106741573033699,0.07829670329670335,0.03662183704338484,0.09304338016664992
astronomy,disk,1,0.05833333333333335,0.03883265856950069,0.07856845435500459,0.051504518604873484
ceg,annulus,8,0.06494797783645072,0.053686630596654045,0.07544084622176497,0.05915585818462213
ceg,disk,8,0.09683099869185485,0.02371724352907209,0.11694099663645649,0.027489091224565956
external,annulus,2,0.1074769894929768,0.0329779386267155,0.1302580748611124,0.034748022700437864
external,disk,2,0.12316843994380672,0.05492933549279938,0.15220989949347555,0.06419112716580028
synthetic,annulus,6,0.08303074469226301,0.0268155507168306,0.10605465638346369,0.02811027758473089
synthetic,disk,6,0.1249633725941063,0.02765626072916803,0.1581346577060692,0.031772746673711695
