dataset,cell_count,reference_edge_count,embedding_seconds,original_power_seconds,final_refinement_seconds,refinement_over_original_ratio,repeat_count
NE-Admin0-Africa,50,109,1.659675916,0.09820904100000005,1.6875065000000005,17.18280193775642,1
湖北,130,225,4.803257834,1.148394167000001,12.130991959000001,10.563439198485575,1
NASA-Exoplanet-SkyGrid,162,306,8.906194249999995,1.0906666249999972,18.273075083000002,16.75404258656952,1
NCEP-AirTemp-Africa-2000,401,741,42.544394916,6.285132458000007,61.59745483400002,9.80050225601784,1
