cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,polygon_wkt
CEG2000_f4_r0005_c0091,广东,5,91,110.19999999999999,20.55,-2.5477806525857716,0.9129153468012299,1853.038258159673,23.16939107974245,12,30.74133114659621,32.66532701543364,29.350093315516254,21.899391765976254,14.919979457422473,18.27667259443873,13.526446811585044,16.294072572269997,20.12757557717454,19.668308693598863,28.965381338465185,32.100800695157,"POLYGON ((110 20.3, 110.40000599999999 20.3, 110.40000599999999 20.7, 110 20.7, 110 20.3))"
CEG2000_f4_r0006_c0090,广东,6,90,109.90714542857144,20.921428571428574,-2.659504581228711,0.939210940753984,1848.156325907223,26.30572745600788,7,34.40350256464653,36.441233873699595,32.50965291540996,25.066413159580794,16.764826035148094,19.78648224653148,15.147006845080115,18.60940355608219,22.813582977091126,23.250340561903812,33.47837327663299,37.92026483677784,"POLYGON ((109.59999400000001 20.7, 110 20.7, 110 21.1, 109.59999400000001 21.1, 109.59999400000001 20.7))"
CEG2000_f4_r0006_c0091,广东,6,91,110.16999999999999,20.900000000000002,-2.6259434450659813,0.8893090770558567,1848.156325907223,25.459462887501914,10,33.79743420860279,35.35869510203426,31.20155649517924,23.950333878066115,16.092495177718927,19.008383522842664,14.772624796149877,18.282728094734004,22.04366195285037,22.087742343250792,32.73275740919849,36.691456173976576,"POLYGON ((110 20.7, 110.40000599999999 20.7, 110.40000599999999 21.1, 110 21.1, 110 20.7))"
CEG2000_f4_r0007_c0090,广东,7,90,109.95,21.3,-2.740529447038102,0.9407452624517751,1843.1843171228525,27.842730048925983,4,36.21483747013464,37.436034149983605,33.95986434813138,26.609837106583992,18.016052670715194,20.53632662662604,15.894584428371829,19.93373431200197,24.583431866471965,24.170366180311788,36.05458723452489,41.20632583327446,"POLYGON ((109.59999400000001 21.099999999999998, 110 21.099999999999998, 110 21.5, 109.59999400000001 21.5, 109.59999400000001 21.099999999999998))"
CEG2000_f4_r0007_c0091,广东,7,91,110.2,21.3,-2.716261289093576,0.8706964319511057,1843.1843171228525,27.58919157221277,16,36.171729545402265,37.30083868667768,33.13848594451233,25.723704063361815,17.85232218476655,19.958410833285416,15.896742358510213,19.939646328446344,24.169561141644476,23.899719232359523,35.765536920601,41.727270688242776,"POLYGON ((110 21.099999999999998, 110.40000599999999 21.099999999999998, 110.40000599999999 21.5, 110 21.5, 110 21.099999999999998))"
CEG2000_f4_r0007_c0092,广东,7,92,110.56666566666667,21.416666666666668,-2.7063630170796324,0.7798467312066416,1843.1566697728101,27.25837692718208,6,35.97551531556743,36.796437757551296,32.56354319332158,24.406396997512243,17.629855003376658,18.491132474354057,15.64719859599039,18.541291061969304,24.39419019659439,23.553174801227318,36.31402282996804,43.22803446166969,"POLYGON ((110.4 21.099999999999998, 110.8 21.099999999999998, 110.8 21.5, 110.4 21.5, 110.4 21.099999999999998))"
CEG2000_f4_r0008_c0090,广东,8,90,109.91000240000001,21.630000000000003,-2.823568807162964,0.9670765000920732,1838.1224741351766,29.23453800014085,5,37.492677611474456,38.741333995138376,36.082893261938345,28.21737603200119,19.012181330093775,21.059690819075158,17.121467400481496,20.549648504507683,25.541834628651348,25.752545737812056,37.261068949995526,44.43836387307424,"POLYGON ((109.59999400000001 21.5, 110 21.5, 110 21.900000000000002, 109.59999400000001 21.900000000000002, 109.59999400000001 21.5))"
CEG2000_f4_r0008_c0091,广东,8,91,110.2,21.7,-2.818770255513049,0.8961436195721248,1838.1224741351766,29.099853601766355,16,37.35761465824764,38.27677699149943,35.61207107773486,27.716591919391156,19.250532640871064,20.439497070134085,17.385824440455693,20.199202110176397,25.241716104311646,25.608039776384295,37.479126555453036,45.045164844978565,"POLYGON ((110 21.5, 110.40000599999999 21.5, 110.40000599999999 21.900000000000002, 110 21.900000000000002, 110 21.5))"
CEG2000_f4_r0008_c0092,广东,8,92,110.5999985,21.7,-2.7823631145855607,0.7983047208755184,1838.0949027116403,29.084622879906167,16,37.8020849052649,38.513210882248806,35.008234717931046,26.310940895841757,19.322876323025042,19.239428844431732,17.171577280356452,19.55855589181427,25.68970864914358,25.9963970233989,38.43276849133508,46.36296585943122,"POLYGON ((110.4 21.5, 110.8 21.5, 110.8 21.900000000000002, 110.4 21.900000000000002, 110.4 21.5))"
CEG2000_f4_r0008_c0093,广东,8,93,111.0,21.7,-2.7372040994843188,0.6873000730730621,1838.039759864633,28.620482152065065,16,38.11660634421454,38.81953032966117,35.01640597904868,26.359464846393514,19.386560112811758,18.697240477834672,16.985928066396852,18.436549754700998,25.548967636022915,25.752598968287824,37.01351001208071,43.749047514077574,"POLYGON ((110.800006 21.5, 111.199994 21.5, 111.199994 21.900000000000002, 110.800006 21.900000000000002, 110.800006 21.5))"
