cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,reference_degree,is_topological_boundary,is_geographic_boundary,polygon_wkt
CEG2000_f4_r0016_c0094,湖南,16,94,111.51666666666667,24.933333333333334,-1.5522542097139533,0.9112214013010281,1794.3973016160028,34.37099438558761,6,42.32655392763191,37.989414871441106,42.07270649804098,35.486473635541415,31.59085295674335,23.82900047474374,26.824030872617726,29.846486643294682,39.047423715128694,28.5071127690304,32.45115497585512,42.499008907324935,2,True,True,"POLYGON ((111.2 24.7, 111.6 24.7, 111.6 25.1, 111.2 25.1, 111.2 24.7))"
CEG2000_f4_r0016_c0095,湖南,16,95,111.78846107692308,24.934615384615388,-1.458284434061293,0.9403549009624421,1794.4242175755228,30.1333470851065,13,38.640372632695666,34.49555806119292,36.17224364398926,31.204804533746096,29.06981101089472,21.616461784359327,23.87906913217069,25.73718616493621,33.76155611676999,26.03525756607529,27.765674128818585,33.30409057386925,3,True,True,"POLYGON ((111.59999400000001 24.7, 112 24.7, 112 25.1, 111.59999400000001 25.1, 111.59999400000001 24.7))"
CEG2000_f4_r0016_c0096,湖南,16,96,112.08333133333332,24.933333333333334,-1.3587007492588343,0.956646180329747,1794.4242175755228,29.755667854751984,6,37.6027511649794,36.55629572445958,35.232567512690835,30.10097732980002,28.854677802239713,21.099956408646797,23.30808494451439,24.574247931920116,33.63526620752359,26.60443500856135,27.22506011125221,32.48788263874638,2,True,True,"POLYGON ((112 24.7, 112.40000599999999 24.7, 112.40000599999999 25.1, 112 25.1, 112 24.7))"
CEG2000_f4_r0016_c0098,湖南,16,98,112.900003,25.0,-1.0973441507924722,0.9756978136220962,1794.3434696970264,29.21952165630076,4,38.62344631462812,36.525595068499165,34.04129629944868,29.5696282923437,27.92539837755681,21.046738368673395,23.645252825558995,24.05346289357597,31.94765114417256,25.714074565448392,26.131186418330813,31.6179249339117,1,True,True,"POLYGON ((112.800006 24.7, 113.199994 24.7, 113.199994 25.1, 112.800006 25.1, 112.800006 24.7))"
CEG2000_f4_r0017_c0094,湖南,17,94,111.4000015,25.300000500000003,-1.5964439143617493,0.8938604782356598,1788.5297044258298,34.43241037881753,16,42.18329997633446,38.75010946259191,41.62536345937312,36.02008285084508,32.016864019302666,24.06396841633606,27.266682704396846,30.399964679169564,39.3713073823859,27.932493930542563,31.38062108361311,42.23435162561129,3,True,True,"POLYGON ((111.2 25.100002, 111.6 25.100002, 111.6 25.5, 111.2 25.5, 111.2 25.100002))"
CEG2000_f4_r0017_c0095,湖南,17,95,111.8,25.300000500000003,-1.4350972260095025,0.8030601666175193,1788.556532371392,32.35182680752629,16,40.99224439906706,36.96247946636604,37.85625933725537,33.388106284787675,30.371713850078862,23.15518256369589,26.055903703002624,28.045900211152226,36.22035469429979,26.498635907658326,29.942361301971598,38.81407038815185,4,False,False,"POLYGON ((111.59999400000001 25.100002, 112 25.100002, 112 25.5, 111.59999400000001 25.5, 111.59999400000001 25.100002))"
CEG2000_f4_r0017_c0096,湖南,17,96,112.18571385714286,25.321428857142852,-1.2831649509502785,0.9366049346765734,1788.556532371392,31.147450070295115,14,40.08796401320188,37.994180291202674,36.34556202786895,32.4110596312392,29.51705789369425,22.561946933363867,24.945687782434717,25.817732224794177,33.64015074557723,25.087888935742853,28.70703894048397,36.86035259849569,4,False,True,"POLYGON ((112 25.100002, 112.40000599999999 25.100002, 112.40000599999999 25.5, 112 25.5, 112 25.100002))"
CEG2000_f4_r0017_c0097,湖南,17,97,112.60999840000001,25.310000399999996,-1.1338039549037167,0.8644304713917595,1788.5297044258298,31.867539871303634,15,40.3754017488422,37.33843754680768,37.86933379832245,32.77616259271195,30.184260630322253,22.95552856132067,25.59039535692467,25.883171655935026,35.76261579359454,26.098313490738608,29.56513781456213,38.15788335678666,3,True,True,"POLYGON ((112.4 25.100002, 112.8 25.100002, 112.8 25.5, 112.4 25.5, 112.4 25.100002))"
CEG2000_f4_r0017_c0098,湖南,17,98,112.89286057142859,25.29285771428571,-1.0468715294550925,0.9140430574322562,1788.476048534769,31.643352740673944,7,40.612758684516876,36.47631797820707,36.2691420457126,32.653536798391215,30.525235542730588,23.17230910813332,26.028226980001463,25.476547193885533,35.12714147738056,26.346051708014414,29.041076862986287,38.09145572616808,3,True,True,"POLYGON ((112.800006 25.100002, 113.199994 25.100002, 113.199994 25.5, 112.800006 25.5, 112.800006 25.100002))"
CEG2000_f4_r0017_c0100,湖南,17,100,113.7249985,25.425,-0.7992569990492364,0.978154321322052,1788.556532371392,28.51753001750177,4,37.92626516177957,38.92324035254739,33.70065951510836,29.405918121576203,29.254497246601332,19.657944265753898,22.424519738248616,19.88713606927754,29.461541058655214,25.697200438556102,26.023983451394496,30.21167051624712,1,True,True,"POLYGON ((113.59999400000001 25.100002, 114 25.100002, 114 25.5, 113.59999400000001 25.5, 113.59999400000001 25.100002))"
