pl_name,ra,dec,pl_rade,disc_year,discoverymethod
"Oph 11 b",245.6049610,-24.0872219,12.30000000,2006,"Imaging"
"Kepler-338 e",282.9790593,40.7844188,1.56000000,2014,"Transit Timing Variations"
"Kepler-418 b",294.4335228,38.3554729,13.45000000,2014,"Transit"
"DP Leo b",169.3162193,17.9615717,12.70000000,2009,"Eclipse Timing Variations"
"Kepler-58 b",296.3586251,39.1152033,2.78000000,2012,"Transit"
"Kepler-59 c",287.0394932,46.6401677,1.98000000,2012,"Transit"
"Kepler-130 c",288.4505905,40.2452006,2.90000000,2014,"Transit"
"CoRoT-27 b",278.4958319,5.5383811,11.28700000,2014,"Transit"
"HIP 105854 b",321.5962275,-37.8294782,12.60000000,2014,"Radial Velocity"
"Kapteyn c",77.9586613,-45.0430198,2.54000000,2014,"Radial Velocity"
"2MASS J01225093-2439505 b",20.7128012,-24.6646128,11.20900000,2013,"Imaging"
"Kepler-63 b",289.2262876,49.5482814,6.11000000,2013,"Transit"
"Kepler-53 c",290.4617926,40.5624966,3.17000000,2012,"Transit"
"Kepler-54 c",294.7739245,43.0561976,1.23000000,2012,"Transit"
"Kepler-83 c",282.2325197,43.6655662,2.36000000,2012,"Transit"
"Kepler-81 b",293.6369437,42.8248275,2.42000000,2012,"Transit"
"Kepler-55 c",285.1683291,44.0264898,2.21000000,2012,"Transit"
"Kepler-59 b",287.0394932,46.6401677,1.10000000,2012,"Transit"
"HD 82943 b",143.7114034,-12.1302976,13.50000000,2003,"Radial Velocity"
"HD 154857 c",257.8161940,-56.6810380,13.20000000,2014,"Radial Velocity"
"Kepler-62 d",283.2125621,45.3496992,1.95000000,2013,"Transit"
"Kepler-62 b",283.2125621,45.3496992,1.31000000,2013,"Transit"
"Kepler-83 b",282.2325197,43.6655662,2.83000000,2012,"Transit"
"POTS-1 b",203.6087259,-66.5811639,10.54800000,2013,"Transit"
"Kepler-54 b",294.7739245,43.0561976,2.10000000,2012,"Transit"
"Kepler-55 b",285.1683291,44.0264898,2.43000000,2012,"Transit"
"HD 82943 c",143.7114034,-12.1302976,13.40000000,2003,"Radial Velocity"
"Kepler-413 b",288.5106679,51.1624235,4.34700000,2014,"Transit"
