cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,month_01_air_temp_c,month_02_air_temp_c,month_03_air_temp_c,month_04_air_temp_c,month_05_air_temp_c,month_06_air_temp_c,month_07_air_temp_c,month_08_air_temp_c,month_09_air_temp_c,month_10_air_temp_c,month_11_air_temp_c,month_12_air_temp_c,theta,rho,is_boundary,original_area_degree2,polygon_wkt
NCEP2000_r003_c016,NCEP-AirTemp-Africa-2000,3,16,20.0,-32.5,16.751025756200153,22.43903160095215,22.412071228027344,20.962583541870117,17.655004501342773,13.394848823547363,12.52767562866211,11.294525146484375,12.899365425109863,11.998671531677246,16.265491485595703,19.06400489807129,20.099035263061523,-1.7816946533665048,0.9655172413793105,True,6.25,"POLYGON ((18.75 -33.75, 21.25 -33.75, 21.25 -31.25, 18.75 -31.25, 18.75 -33.75))"
NCEP2000_r003_c017,NCEP-AirTemp-Africa-2000,3,17,22.5,-32.5,15.52497657140096,20.688711166381836,21.07621192932129,19.50129508972168,15.779672622680664,11.576135635375977,10.699673652648926,9.206782341003418,11.827746391296387,11.478672981262207,15.843883514404297,18.208669662475586,20.412263870239258,-1.712560129884791,0.9655172413793104,True,6.25,"POLYGON ((21.25 -33.75, 23.75 -33.75, 23.75 -31.25, 21.25 -31.25, 21.25 -33.75))"
NCEP2000_r003_c018,NCEP-AirTemp-Africa-2000,3,18,25.0,-32.5,15.502866427103678,19.32322883605957,19.9686222076416,18.486133575439453,15.163342475891113,11.991620063781738,11.655669212341309,9.986456871032715,12.65580940246582,12.823675155639648,16.409040451049805,17.384342193603516,20.18645668029785,-1.6420361521780986,0.9655172413793104,True,6.25,"POLYGON ((23.75 -33.75, 26.25 -33.75, 26.25 -31.25, 23.75 -31.25, 23.75 -33.75))"
NCEP2000_r003_c019,NCEP-AirTemp-Africa-2000,3,19,27.5,-32.5,16.608984231948853,19.195486068725586,20.23517608642578,19.193552017211914,16.51201057434082,13.998717308044434,14.411337852478027,13.03742504119873,14.685487747192383,14.730009078979492,16.740005493164062,17.226341247558594,19.342262268066406,-1.5707963267948966,0.9655172413793104,True,6.25,"POLYGON ((26.25 -33.75, 28.75 -33.75, 28.75 -31.25, 26.25 -31.25, 26.25 -33.75))"
NCEP2000_r004_c015,NCEP-AirTemp-Africa-2000,4,15,17.5,-30.0,17.28157623608907,21.786134719848633,21.56827735900879,20.568069458007812,18.118671417236328,15.255167007446289,14.911672592163086,14.223233222961426,14.745814323425293,13.477339744567871,16.364521026611328,17.70000648498535,18.66000747680664,-1.8690277094571888,0.9629629629629628,True,6.25,"POLYGON ((16.25 -31.25, 18.75 -31.25, 18.75 -28.75, 16.25 -28.75, 16.25 -31.25))"
NCEP2000_r004_c016,NCEP-AirTemp-Africa-2000,4,16,20.0,-30.0,17.586710850397747,23.047103881835938,24.137928009033203,22.627742767333984,18.211339950561523,13.697428703308105,11.940669059753418,10.971940994262695,13.793231010437012,12.41567611694336,17.896129608154297,19.631338119506836,22.670001983642578,-1.7973866290949985,0.896551724137931,False,6.25,"POLYGON ((18.75 -31.25, 21.25 -31.25, 21.25 -28.75, 18.75 -28.75, 18.75 -31.25))"
NCEP2000_r004_c017,NCEP-AirTemp-Africa-2000,4,17,22.5,-30.0,17.440922021865845,22.095481872558594,23.635169982910156,22.187747955322266,16.668006896972656,12.988390922546387,10.871001243591309,9.140973091125488,13.96194076538086,13.144338607788086,19.221296310424805,20.188007354736328,25.188709259033203,-1.7233026102000377,0.8965517241379309,False,6.25,"POLYGON ((21.25 -31.25, 23.75 -31.25, 23.75 -28.75, 21.25 -28.75, 21.25 -31.25))"
NCEP2000_r004_c018,NCEP-AirTemp-Africa-2000,4,18,25.0,-30.0,15.68190062046051,19.22226333618164,20.473106384277344,19.16710090637207,13.974343299865723,11.202913284301758,9.504008293151855,7.5461344718933105,13.111937522888184,13.338004112243652,19.036130905151367,18.37267303466797,23.23419189453125,-1.6474954346018056,0.8965517241379309,False,6.25,"POLYGON ((23.75 -31.25, 26.25 -31.25, 26.25 -28.75, 23.75 -28.75, 23.75 -31.25))"
NCEP2000_r004_c019,NCEP-AirTemp-Africa-2000,4,19,27.5,-30.0,13.549724658330282,16.361295700073242,17.466903686523438,16.51484489440918,12.259005546569824,9.282586097717285,8.444336891174316,7.068068504333496,11.598712921142578,12.611672401428223,16.743881225585938,15.416671752929688,18.828716278076172,-1.5707963267948966,0.896551724137931,False,6.25,"POLYGON ((26.25 -31.25, 28.75 -31.25, 28.75 -28.75, 26.25 -28.75, 26.25 -31.25))"
NCEP2000_r004_c020,NCEP-AirTemp-Africa-2000,4,20,30.0,-30.0,16.359081268310547,18.221940994262695,19.379661560058594,19.263229370117188,16.149005889892578,13.505170822143555,13.675338745117188,12.755491256713867,14.900005340576172,15.647672653198242,17.154199600219727,16.714675903320312,18.942583084106445,-1.4940972189879875,0.9629629629629628,True,6.25,"POLYGON ((28.75 -31.25, 31.25 -31.25, 31.25 -28.75, 28.75 -28.75, 28.75 -31.25))"
