cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,polygon_wkt
CEG2000_f4_r0015_c0102,江西,15,102,114.56999879999998,24.6300016,-1.8471830775802063,0.9719272296261516,1800.177471487989,27.724561173493345,5,38.3259476152487,35.194628833689805,32.32178136327427,29.173367585026703,28.031151604716282,19.575263569655274,22.957501533394325,21.3962484328869,28.455856188298277,26.057807415217617,24.693632214739065,26.703160957519327,"POLYGON ((114.4 24.3, 114.8 24.3, 114.8 24.700002, 114.4 24.700002, 114.4 24.3))"
CEG2000_f4_r0016_c0102,江西,16,102,114.61428400000001,24.87857142857143,-1.858891072770726,0.878811792372052,1794.3973016160028,28.806408787142786,14,38.6253693533529,35.84536954084297,33.42295287853826,30.121635294771856,29.77500652629898,20.799943245492372,24.0403833203135,21.997018649664458,30.20939390866703,26.701405187934764,25.403768640634706,28.908433978182156,"POLYGON ((114.4 24.7, 114.8 24.7, 114.8 25.1, 114.4 25.1, 114.4 24.7))"
CEG2000_f4_r0016_c0103,江西,16,103,115.0,24.900000000000002,-1.7276658269778926,0.9117982183504701,1794.3434696970264,28.837874816179962,16,38.4947119887218,34.50220887082845,35.21271548967462,30.19545067899707,30.00800694465311,20.843984609369535,23.74348502445654,20.964658312641223,30.52457567254637,27.466423812161512,25.55010986609061,28.647885545682655,"POLYGON ((114.800006 24.7, 115.199994 24.7, 115.199994 25.1, 114.800006 25.1, 114.800006 24.7))"
CEG2000_f4_r0016_c0104,江西,16,104,115.40000128571428,24.921428571428574,-1.583080067462089,0.9463188015202803,1794.3973016160028,27.4940817961299,14,36.628420636209235,33.73085031851899,33.88763660083026,29.219470689863094,28.73414507083533,19.73632492577998,22.344889653590652,19.33834870907377,28.45358139153798,26.989596712644026,24.6716472088443,26.34175460603389,"POLYGON ((115.2 24.7, 115.6 24.7, 115.6 25.1, 115.2 25.1, 115.2 24.7))"
CEG2000_f4_r0016_c0105,江西,16,105,115.7299988,24.920000000000005,-1.462063278257492,0.8831787447048881,1794.4242175755228,27.675223489530076,10,37.301785188092204,33.61316260157098,34.16433039068239,29.558507789514877,28.38289214676245,19.84763030037216,22.64502218424577,18.80388481160858,28.29734578296512,27.29071221181156,25.244241839892727,27.08615727131645,"POLYGON ((115.59999400000001 24.7, 116 24.7, 116 25.1, 115.59999400000001 25.1, 115.59999400000001 24.7))"
CEG2000_f4_r0017_c0101,江西,17,101,114.2,25.4,-2.0862462238882182,0.9503172214396803,1788.556532371392,28.98385451540501,8,38.0256590326845,38.19032054262919,35.08066901589434,29.564278004024832,30.29773441300309,20.175171113714164,24.046979910063527,21.05283993891907,29.700689712137578,26.070456806016278,25.815733095208444,30.03518666243331,"POLYGON ((114 25.100002, 114.40000599999999 25.100002, 114.40000599999999 25.5, 114 25.5, 114 25.100002))"
CEG2000_f4_r0017_c0102,江西,17,102,114.649999,25.38333366666667,-1.9134785898533029,0.7108043355889571,1788.5297044258298,30.868339958787672,6,40.048712563939944,36.496686478141406,37.26305951025576,31.881341536652382,32.32750022912923,21.978502790071904,26.506801171395793,22.311967683466367,32.58854378835168,28.35581530816952,27.704296373686873,33.01930425581445,"POLYGON ((114.4 25.100002, 114.8 25.100002, 114.8 25.5, 114.4 25.5, 114.4 25.100002))"
CEG2000_f4_r0017_c0103,江西,17,103,115.0,25.300000500000003,-1.7578583233874472,0.7543027815168973,1788.476048534769,31.025747117234356,16,40.73644700675318,36.18332212984928,36.799748469178176,32.36600193419529,33.19425375945632,22.147930595728454,26.252499846224055,22.022202975129495,32.93250113009662,28.72375489737286,27.971045063300856,33.03182664080552,"POLYGON ((114.800006 25.100002, 115.199994 25.100002, 115.199994 25.5, 114.800006 25.5, 114.800006 25.100002))"
CEG2000_f4_r0017_c0104,江西,17,104,115.4000015,25.300000500000003,-1.5853660055462782,0.7972606326978556,1788.5297044258298,28.11695771558167,16,36.90638710826069,34.6150402218626,34.03344597844475,29.90105711773703,29.511905172756798,20.2014935815605,23.41449924756301,19.610793093024988,29.45701395553933,26.497892031831718,25.02165464420027,28.39713473901359,"POLYGON ((115.2 25.100002, 115.6 25.100002, 115.6 25.5, 115.2 25.5, 115.2 25.100002))"
CEG2000_f4_r0017_c0105,江西,17,105,115.77857142857144,25.31428614285714,-1.4201078531654996,0.8173618490390021,1788.556532371392,27.719960425888708,14,36.74703024147316,33.73373001159619,34.454892246446605,29.495108204668398,28.61139821808265,19.923809766717582,23.05525781462032,19.124065100722508,28.970018928261123,26.39820511954402,25.097854727455378,27.17765437930112,"POLYGON ((115.59999400000001 25.100002, 116 25.100002, 116 25.5, 115.59999400000001 25.5, 115.59999400000001 25.100002))"
