source,target,status
CEG2000_f4_r0020_c0107,CEG2000_f4_r0021_c0106,new
CEG2000_f4_r0020_c0107,CEG2000_f4_r0021_c0107,lost
CEG2000_f4_r0021_c0100,CEG2000_f4_r0021_c0101,preserved
CEG2000_f4_r0021_c0100,CEG2000_f4_r0022_c0100,preserved
CEG2000_f4_r0021_c0100,CEG2000_f4_r0022_c0101,new
CEG2000_f4_r0021_c0101,CEG2000_f4_r0021_c0102,preserved
CEG2000_f4_r0021_c0101,CEG2000_f4_r0022_c0101,preserved
CEG2000_f4_r0021_c0101,CEG2000_f4_r0022_c0102,new
CEG2000_f4_r0021_c0101,CEG2000_f4_r0022_c0103,new
CEG2000_f4_r0021_c0102,CEG2000_f4_r0021_c0103,preserved
CEG2000_f4_r0021_c0102,CEG2000_f4_r0022_c0102,lost
CEG2000_f4_r0021_c0102,CEG2000_f4_r0022_c0103,new
CEG2000_f4_r0021_c0102,CEG2000_f4_r0022_c0104,new
CEG2000_f4_r0021_c0103,CEG2000_f4_r0021_c0104,lost
CEG2000_f4_r0021_c0103,CEG2000_f4_r0022_c0103,lost
CEG2000_f4_r0021_c0103,CEG2000_f4_r0022_c0104,new
CEG2000_f4_r0021_c0104,CEG2000_f4_r0021_c0105,preserved
CEG2000_f4_r0021_c0104,CEG2000_f4_r0022_c0104,lost
CEG2000_f4_r0021_c0105,CEG2000_f4_r0021_c0106,preserved
CEG2000_f4_r0021_c0105,CEG2000_f4_r0022_c0105,preserved
CEG2000_f4_r0021_c0106,CEG2000_f4_r0021_c0107,preserved
CEG2000_f4_r0021_c0106,CEG2000_f4_r0022_c0105,new
CEG2000_f4_r0021_c0106,CEG2000_f4_r0022_c0106,lost
CEG2000_f4_r0021_c0107,CEG2000_f4_r0022_c0105,new
CEG2000_f4_r0021_c0107,CEG2000_f4_r0022_c0107,preserved
CEG2000_f4_r0021_c0107,CEG2000_f4_r0022_c0108,new
CEG2000_f4_r0022_c0100,CEG2000_f4_r0022_c0101,preserved
CEG2000_f4_r0022_c0100,CEG2000_f4_r0023_c0100,preserved
CEG2000_f4_r0022_c0101,CEG2000_f4_r0022_c0102,preserved
CEG2000_f4_r0022_c0101,CEG2000_f4_r0023_c0100,new
CEG2000_f4_r0022_c0101,CEG2000_f4_r0023_c0101,preserved
CEG2000_f4_r0022_c0102,CEG2000_f4_r0022_c0103,preserved
CEG2000_f4_r0022_c0102,CEG2000_f4_r0023_c0101,new
