region,variant,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,Full,disk,130,0.4676056338028169,0.7377777777777778,0.5724137931034483,225.0,355.0,166.0,59.0,189.0,0.44952997032326264,0.46769937930109684,30.36600072543631,2.661056805693684,0.9782545166532384,0.7574082781557224,1.4135956276327557e-16,2.95441486175246e-14,0.0
湖北,Full,annulus,130,0.48598130841121495,0.6933333333333334,0.5714285714285714,225.0,321.0,156.0,69.0,165.0,0.4798701381310336,0.5283436307192884,27.995051323276744,2.132289787864355,0.9710715700064182,0.7136034861279567,1.8367926554479684e-15,5.4364819793905045e-08,0.0
湖北,No topology optimization,disk,130,0.4591549295774648,0.7244444444444444,0.5620689655172414,225.0,355.0,163.0,62.0,192.0,0.4504091587883837,0.46838909596732675,29.609546993110886,2.326262712635403,0.9785877179805813,0.7562705770996023,2.8271912552655114e-16,2.968550818028787e-14,0.0
湖北,No topology optimization,annulus,130,0.4735202492211838,0.6755555555555556,0.5567765567765568,225.0,321.0,152.0,73.0,169.0,0.48085907926584276,0.5261385524142363,27.152933333039655,1.9106031390593987,0.9713119119474526,0.713619358585984,0.0,5.753300334008753e-08,0.0
湖北,No angular constraint,disk,130,0.4647887323943662,0.7333333333333333,0.5689655172413793,225.0,355.0,165.0,60.0,190.0,0.44906356005979925,0.4684496332428239,30.281819051033317,2.764941264361266,0.9793415177047343,0.7574485432181819,4.2407868828982674e-16,2.9261429491998045e-14,0.0
湖北,No angular constraint,annulus,130,0.48286604361370716,0.6888888888888889,0.5677655677655677,225.0,321.0,155.0,70.0,166.0,0.4781120771874523,0.52728866813801,28.137690468548143,2.175174293039445,0.9713993090169195,0.7136020338391234,1.6531133899031716e-15,5.4372461953427303e-08,0.0
湖北,No radial constraint,disk,130,0.25280898876404495,0.4,0.30981067125645445,225.0,356.0,90.0,135.0,266.0,0.26773794149331664,0.3483990388056699,67.74181740058367,4.068368959370507,-0.055270452962624096,0.6819681094502784,0.0,3.5905328941872e-14,0.0
湖北,No radial constraint,annulus,130,0.2676923076923077,0.38666666666666666,0.31636363636363635,225.0,325.0,87.0,138.0,238.0,0.29188413456640105,0.3977419548766625,60.282705385581075,3.4543008662488406,-0.10144341722541617,0.7132564780951034,0.0,5.632376412028047e-08,0.0
湖北,No area balancing,disk,130,0.4704225352112676,0.7422222222222222,0.5758620689655173,225.0,355.0,167.0,58.0,188.0,0.46851400489314404,0.48344386428884895,30.973482598865385,1.7916482064677033,0.9766922940365156,0.8032125079441199,2.8271912552655114e-16,3.53398906908189e-14,0.0
湖北,No area balancing,annulus,130,0.490625,0.6977777777777778,0.5761467889908257,225.0,320.0,157.0,68.0,163.0,0.48225672691078536,0.5198768900766931,28.2040938872747,1.3789681860788046,0.9722842043452731,0.852868736197726,0.0,5.2516295543766733e-08,0.0
湖北,No warp,disk,130,0.4676056338028169,0.7377777777777778,0.5724137931034483,225.0,355.0,166.0,59.0,189.0,0.44952997032326264,0.46769937930109684,30.36934002211829,2.644803129165508,0.9789536932089746,0.7599123933117882,2.8271912552655114e-16,9.89516939342929e-16,0.0
湖北,No warp,annulus,130,0.48598130841121495,0.6933333333333334,0.5714285714285714,225.0,321.0,156.0,69.0,165.0,0.4798701381310336,0.5283436307192884,28.04261366268226,2.1377700904459025,0.9726993404252413,0.7094932140478781,2.5715097176271556e-15,5.510377966343905e-16,0.0
湖南,Full,disk,137,0.5308310991957105,0.8181818181818182,0.6439024390243903,242.0,373.0,198.0,44.0,175.0,0.5589203613203685,0.5810638963365939,25.814701480336986,2.168259594320291,0.9822838687998207,0.41086348385102994,4.2407868828982674e-16,3.6329407630161826e-14,0.0
湖南,Full,annulus,137,0.5441176470588235,0.7644628099173554,0.6357388316151202,242.0,340.0,185.0,57.0,155.0,0.550706937930108,0.6007997858332225,25.106153555819354,1.9603187555707553,0.9799036720368883,0.3666145222763385,0.0,6.486895189347168e-08,0.0
湖南,No topology optimization,disk,137,0.5227882037533512,0.8057851239669421,0.6341463414634146,242.0,373.0,195.0,47.0,178.0,0.5560578919660046,0.5829534835966642,25.67510085961645,1.9251288221126377,0.9816164802957044,0.4101267912377271,1.4135956276327558e-15,3.7318924569504755e-14,0.0
湖南,No topology optimization,annulus,137,0.5264705882352941,0.7396694214876033,0.6151202749140894,242.0,340.0,179.0,63.0,161.0,0.5490411969395496,0.603590592147831,24.949974042809792,1.6279171105808008,0.9772574532828047,0.3666221143426687,2.3878304520823588e-15,6.461279738172453e-08,0.0
湖南,No angular constraint,disk,137,0.5335120643431636,0.8223140495867769,0.6471544715447154,242.0,373.0,199.0,43.0,174.0,0.5598916729337051,0.5796799096797509,25.871341149482916,2.180556086066426,0.9825312225810666,0.405284521917513,4.2407868828982674e-16,3.6188048067398546e-14,0.0
湖南,No angular constraint,annulus,137,0.538235294117647,0.756198347107438,0.6288659793814433,242.0,340.0,183.0,59.0,157.0,0.5481225636292754,0.6013500767356741,25.01117652088149,2.007639392656706,0.9805990628558627,0.3666212686804387,1.8367926554479684e-15,6.210440408436168e-08,0.0
湖南,No radial constraint,disk,137,0.28083989501312334,0.44214876033057854,0.3434991974317817,242.0,381.0,107.0,135.0,274.0,0.3199607303329459,0.42098625159053116,62.63642353850129,2.7136991674266966,0.05676535926969963,0.26471176630474563,0.0,4.184243057792957e-14,0.0
湖南,No radial constraint,annulus,137,0.33527696793002915,0.47520661157024796,0.39316239316239315,242.0,343.0,115.0,127.0,228.0,0.367281117725286,0.49567016084131443,54.22118734514448,2.1304332528137317,0.036276998898575614,0.37638204313063417,1.6531133899031716e-15,5.574254157522205e-08,0.0
