trial_id,dataset,transition,condition,task,stimulus_path,candidate_cell_ids,target_cell_id,ground_truth,color_limit,counterbalance_block
Hubei_M06_delta_annulus_change_localization,湖北,M05-M06,delta_annulus,change_localization,stimuli/Hubei_M06_delta_annulus.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,B
Hubei_M06_delta_annulus_increase_decrease,湖北,M05-M06,delta_annulus,increase_decrease,stimuli/Hubei_M06_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0032_c0091,decrease,19.181641783146755,B
Hubei_M06_delta_annulus_temporal_comparison,湖北,M05-M06,delta_annulus,temporal_comparison,stimuli/Hubei_M06_delta_annulus.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,B
Hubei_M06_delta_annulus_radial_propagation,湖北,M05-M06,delta_annulus,radial_propagation,stimuli/Hubei_M06_delta_annulus.png,"[""inner"", ""outer""]",,outer,19.181641783146755,B
Hubei_M08_geographic_map_change_localization,湖北,M07-M08,geographic_map,change_localization,stimuli/Hubei_M08_geographic_map.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,A
Hubei_M08_geographic_map_increase_decrease,湖北,M07-M08,geographic_map,increase_decrease,stimuli/Hubei_M08_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0031_c0102,increase,19.181641783146755,A
Hubei_M08_geographic_map_temporal_comparison,湖北,M07-M08,geographic_map,temporal_comparison,stimuli/Hubei_M08_geographic_map.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,A
Hubei_M08_geographic_map_radial_propagation,湖北,M07-M08,geographic_map,radial_propagation,stimuli/Hubei_M08_geographic_map.png,"[""inner"", ""outer""]",,inner,19.181641783146755,A
Hubei_M08_delta_annulus_change_localization,湖北,M07-M08,delta_annulus,change_localization,stimuli/Hubei_M08_delta_annulus.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,B
Hubei_M08_delta_annulus_increase_decrease,湖北,M07-M08,delta_annulus,increase_decrease,stimuli/Hubei_M08_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0031_c0102,increase,19.181641783146755,B
Hubei_M08_delta_annulus_temporal_comparison,湖北,M07-M08,delta_annulus,temporal_comparison,stimuli/Hubei_M08_delta_annulus.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,B
Hubei_M08_delta_annulus_radial_propagation,湖北,M07-M08,delta_annulus,radial_propagation,stimuli/Hubei_M08_delta_annulus.png,"[""inner"", ""outer""]",,inner,19.181641783146755,B
Hubei_M10_geographic_map_change_localization,湖北,M09-M10,geographic_map,change_localization,stimuli/Hubei_M10_geographic_map.png,"[""CEG2000_f4_r0035_c0095"", ""CEG2000_f4_r0027_c0101"", ""CEG2000_f4_r0029_c0102"", ""CEG2000_f4_r0030_c0090""]",,CEG2000_f4_r0035_c0095,19.181641783146755,A
Hubei_M10_geographic_map_increase_decrease,湖北,M09-M10,geographic_map,increase_decrease,stimuli/Hubei_M10_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0035_c0095,increase,19.181641783146755,A
Hubei_M10_geographic_map_temporal_comparison,湖北,M09-M10,geographic_map,temporal_comparison,stimuli/Hubei_M10_geographic_map.png,"[""CEG2000_f4_r0034_c0096"", ""CEG2000_f4_r0035_c0095""]",,CEG2000_f4_r0035_c0095,19.181641783146755,A
Hubei_M10_geographic_map_radial_propagation,湖北,M09-M10,geographic_map,radial_propagation,stimuli/Hubei_M10_geographic_map.png,"[""inner"", ""outer""]",,outer,19.181641783146755,A
Hubei_M10_delta_annulus_change_localization,湖北,M09-M10,delta_annulus,change_localization,stimuli/Hubei_M10_delta_annulus.png,"[""CEG2000_f4_r0035_c0095"", ""CEG2000_f4_r0027_c0101"", ""CEG2000_f4_r0029_c0102"", ""CEG2000_f4_r0030_c0090""]",,CEG2000_f4_r0035_c0095,19.181641783146755,B
Hubei_M10_delta_annulus_increase_decrease,湖北,M09-M10,delta_annulus,increase_decrease,stimuli/Hubei_M10_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0035_c0095,increase,19.181641783146755,B
Hubei_M10_delta_annulus_temporal_comparison,湖北,M09-M10,delta_annulus,temporal_comparison,stimuli/Hubei_M10_delta_annulus.png,"[""CEG2000_f4_r0034_c0096"", ""CEG2000_f4_r0035_c0095""]",,CEG2000_f4_r0035_c0095,19.181641783146755,B
Hubei_M10_delta_annulus_radial_propagation,湖北,M09-M10,delta_annulus,radial_propagation,stimuli/Hubei_M10_delta_annulus.png,"[""inner"", ""outer""]",,outer,19.181641783146755,B
Hubei_M12_geographic_map_change_localization,湖北,M11-M12,geographic_map,change_localization,stimuli/Hubei_M12_geographic_map.png,"[""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0031_c0092"", ""CEG2000_f4_r0035_c0094"", ""CEG2000_f4_r0030_c0102""]",,CEG2000_f4_r0030_c0102,19.181641783146755,A
Hubei_M12_geographic_map_increase_decrease,湖北,M11-M12,geographic_map,increase_decrease,stimuli/Hubei_M12_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0034_c0093,increase,19.181641783146755,A
Hubei_M12_geographic_map_temporal_comparison,湖北,M11-M12,geographic_map,temporal_comparison,stimuli/Hubei_M12_geographic_map.png,"[""CEG2000_f4_r0030_c0102"", ""CEG2000_f4_r0034_c0096""]",,CEG2000_f4_r0030_c0102,19.181641783146755,A
Hubei_M12_geographic_map_radial_propagation,湖北,M11-M12,geographic_map,radial_propagation,stimuli/Hubei_M12_geographic_map.png,"[""inner"", ""outer""]",,inner,19.181641783146755,A
Hubei_M12_delta_annulus_change_localization,湖北,M11-M12,delta_annulus,change_localization,stimuli/Hubei_M12_delta_annulus.png,"[""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0031_c0092"", ""CEG2000_f4_r0035_c0094"", ""CEG2000_f4_r0030_c0102""]",,CEG2000_f4_r0030_c0102,19.181641783146755,B
Hubei_M12_delta_annulus_increase_decrease,湖北,M11-M12,delta_annulus,increase_decrease,stimuli/Hubei_M12_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",CEG2000_f4_r0034_c0093,increase,19.181641783146755,B
Hubei_M12_delta_annulus_temporal_comparison,湖北,M11-M12,delta_annulus,temporal_comparison,stimuli/Hubei_M12_delta_annulus.png,"[""CEG2000_f4_r0030_c0102"", ""CEG2000_f4_r0034_c0096""]",,CEG2000_f4_r0030_c0102,19.181641783146755,B
Hubei_M12_delta_annulus_radial_propagation,湖北,M11-M12,delta_annulus,radial_propagation,stimuli/Hubei_M12_delta_annulus.png,"[""inner"", ""outer""]",,inner,19.181641783146755,B
NCEP_M02_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M01-M02,geographic_map,change_localization,stimuli/NCEP_M02_geographic_map.png,"[""NCEP2000_r008_c015"", ""NCEP2000_r007_c021"", ""NCEP2000_r015_c023"", ""NCEP2000_r028_c006""]",,NCEP2000_r028_c006,5.943693161010742,A
