cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,reference_degree,is_topological_boundary,is_geographic_boundary,polygon_wkt
CEG2000_f4_r0008_c0085,广西,8,85,107.79,21.759999999999998,-2.054557375488477,0.930532633158289,1838.0949027116403,28.743851518755843,10,38.90330050186586,39.27029147239618,38.23612279745215,31.131088913719523,20.45782834943206,19.153382355435234,16.35545585508239,21.412475545961026,24.686284731336364,26.350936691575235,31.785198805969216,37.597833773835745,2,True,True,"POLYGON ((107.60000000000001 21.5, 108 21.5, 108 21.900000000000002, 107.60000000000001 21.900000000000002, 107.60000000000001 21.5))"
CEG2000_f4_r0008_c0086,广西,8,86,108.2,21.72142857142857,-1.877715029163539,0.9098289281322217,1838.0949027116403,30.431136912889908,14,40.172816619896594,40.833734101865325,40.24057964839438,31.2219305134842,20.878955856885632,20.45198035113001,15.752112463998996,21.62476791944252,26.25891505341667,27.73532240207472,36.00590563529548,44.416602333301434,2,True,True,"POLYGON ((108 21.5, 108.39999999999999 21.5, 108.39999999999999 21.900000000000002, 108 21.900000000000002, 108 21.5))"
CEG2000_f4_r0008_c0088,广西,8,88,109.01153661538463,21.734615384615385,-1.495838731508198,0.7090055613455017,1838.0673312881693,30.975923338319184,13,40.47945008655248,41.73460796822938,39.655737362413525,30.72003822412382,20.478309538885693,21.02790418853293,16.054962390419785,21.350748191911283,27.060151279854036,27.816712485646242,38.810223605949425,47.01358935682793,2,True,True,"POLYGON ((108.8 21.5, 109.199994 21.5, 109.199994 21.900000000000002, 108.8 21.900000000000002, 108.8 21.5))"
CEG2000_f4_r0008_c0089,广西,8,89,109.4000015,21.7,-1.3173077771935067,0.8732159732959957,1838.0949027116403,30.06858822398055,16,38.831212515465715,40.214710495025265,38.13130412113613,29.47502425697838,19.419825305606714,20.886286530608484,16.639830155266218,20.927334025228383,26.48333778844313,27.137176260292865,37.96478789720289,45.19053024358982,3,True,False,"POLYGON ((109.2 21.5, 109.6 21.5, 109.6 21.900000000000002, 109.2 21.900000000000002, 109.2 21.5))"
CEG2000_f4_r0008_c0090,广西,8,90,109.7499989090909,21.73181818181818,-1.161997665808046,0.9497989687491565,1838.1224741351766,29.876990616189197,11,38.00376256062791,39.264768348755204,37.856272530514744,29.158336556492944,19.623622398940856,21.46602752630683,17.61714501588845,21.09192322621977,26.208841911907175,26.599884851975027,37.352574160563876,44.7147080852919,2,True,True,"POLYGON ((109.59999400000001 21.5, 110 21.5, 110 21.900000000000002, 109.59999400000001 21.900000000000002, 109.59999400000001 21.5))"
CEG2000_f4_r0009_c0083,广西,9,83,107.01153846153846,22.134615384615383,-2.4205783743217277,0.9085114555023727,1832.9435494981556,30.75693600835885,13,38.85520565802909,40.475705572920944,39.177057466450734,33.75816521261665,22.465695208088412,20.06346346079311,19.10489428491956,24.143646527287377,28.046008835903663,26.94171926583451,33.4367406268566,42.992806536471974,2,True,True,"POLYGON ((106.8 21.9, 107.2 21.9, 107.2 22.3, 106.8 22.3, 106.8 21.9))"
CEG2000_f4_r0009_c0084,广西,9,84,107.4,22.099999999999998,-2.2912482676656403,0.8248096835510484,1832.9435494980905,31.04657351919768,16,38.7476533274642,39.9835615717259,39.669038572955074,33.66141100302617,21.87572164771352,20.49923276508471,19.421418505960837,24.231893373661155,29.19063553066231,27.93607410708335,34.06162719008826,43.6386981354991,3,True,False,"POLYGON ((107.2 21.9, 107.6 21.9, 107.6 22.3, 107.2 22.3, 107.2 21.9))"
CEG2000_f4_r0009_c0085,广西,9,85,107.80000000000001,22.099999999999998,-2.1378736067246646,0.7604901225306322,1832.9435494980905,31.06978468158346,16,39.450022235378874,39.098014617513996,39.96146707347946,32.934287207601095,22.193841049692836,20.562011991910065,18.72171488854048,24.027750091543552,28.89372934962422,28.922660014019478,34.749098270393844,43.61044674301512,4,False,False,"POLYGON ((107.60000000000001 21.9, 108 21.9, 108 22.3, 107.60000000000001 22.3, 107.60000000000001 21.9))"
CEG2000_f4_r0009_c0086,广西,9,86,108.19999999999999,22.099999999999998,-1.9477093753080075,0.7455134065625318,1832.9435494980905,30.952754308234184,16,40.36934034542135,40.50174803232191,39.60552335393709,31.615140512123595,22.218471695016408,20.931576698831673,17.553018519226484,23.09577662899044,27.880572670034994,28.86859962343545,35.88061097880077,43.28670073986451,4,False,False,"POLYGON ((108 21.9, 108.39999999999999 21.9, 108.39999999999999 22.3, 108 22.3, 108 21.9))"
CEG2000_f4_r0009_c0087,广西,9,87,108.6,22.099999999999998,-1.724399432159873,0.7551496997104682,1832.9435494980905,32.6026166690557,16,42.1959539030676,42.460594219039656,41.42243028573255,32.12984886188641,22.531615996606003,21.412744597411653,17.42957580436429,22.767365985625755,29.168700861453832,29.92432844094573,40.24929367284421,49.93462728412099,3,True,False,"POLYGON ((108.4 21.9, 108.8 21.9, 108.8 22.3, 108.4 22.3, 108.4 21.9))"
