source,target
CEG2000_f4_r0021_c0110,CEG2000_f4_r0021_c0111
CEG2000_f4_r0021_c0110,CEG2000_f4_r0022_c0110
CEG2000_f4_r0021_c0111,CEG2000_f4_r0021_c0112
CEG2000_f4_r0021_c0111,CEG2000_f4_r0022_c0111
CEG2000_f4_r0021_c0112,CEG2000_f4_r0021_c0113
CEG2000_f4_r0021_c0112,CEG2000_f4_r0022_c0112
CEG2000_f4_r0021_c0113,CEG2000_f4_r0021_c0114
CEG2000_f4_r0021_c0113,CEG2000_f4_r0022_c0113
CEG2000_f4_r0021_c0114,CEG2000_f4_r0021_c0115
CEG2000_f4_r0021_c0114,CEG2000_f4_r0022_c0114
CEG2000_f4_r0021_c0115,CEG2000_f4_r0022_c0115
CEG2000_f4_r0022_c0108,CEG2000_f4_r0022_c0109
CEG2000_f4_r0022_c0108,CEG2000_f4_r0023_c0108
CEG2000_f4_r0022_c0109,CEG2000_f4_r0022_c0110
CEG2000_f4_r0022_c0109,CEG2000_f4_r0023_c0109
CEG2000_f4_r0022_c0110,CEG2000_f4_r0022_c0111
CEG2000_f4_r0022_c0110,CEG2000_f4_r0023_c0110
CEG2000_f4_r0022_c0111,CEG2000_f4_r0022_c0112
CEG2000_f4_r0022_c0111,CEG2000_f4_r0023_c0111
CEG2000_f4_r0022_c0112,CEG2000_f4_r0022_c0113
CEG2000_f4_r0022_c0112,CEG2000_f4_r0023_c0112
CEG2000_f4_r0022_c0113,CEG2000_f4_r0022_c0114
CEG2000_f4_r0022_c0114,CEG2000_f4_r0022_c0115
CEG2000_f4_r0022_c0115,CEG2000_f4_r0022_c0116
CEG2000_f4_r0023_c0108,CEG2000_f4_r0023_c0109
CEG2000_f4_r0023_c0109,CEG2000_f4_r0023_c0110
CEG2000_f4_r0023_c0110,CEG2000_f4_r0023_c0111
CEG2000_f4_r0023_c0111,CEG2000_f4_r0023_c0112
CEG2000_f4_r0023_c0111,CEG2000_f4_r0024_c0111
CEG2000_f4_r0023_c0112,CEG2000_f4_r0024_c0112
CEG2000_f4_r0024_c0111,CEG2000_f4_r0024_c0112
