cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,reference_degree,is_topological_boundary,is_geographic_boundary,polygon_wkt
CEG2000_f4_r0013_c0108,福建,13,108,117.1249955,23.775000499999997,-1.9693265756229275,0.9657569619814449,1811.3930183290197,29.417175913893853,4,37.19563952473001,34.49386823395926,39.08916987779067,32.63211054735785,29.990867511443295,19.98557893994878,23.42604894383726,19.581297526698787,27.591640004204415,28.84305781318583,28.476752652413936,31.737845943687844,2,True,True,"POLYGON ((116.800006 23.5, 117.199994 23.5, 117.199994 23.900000000000002, 116.800006 23.900000000000002, 116.800006 23.5))"
CEG2000_f4_r0013_c0109,福建,13,109,117.300003,23.750000666666665,-1.9047933362433769,0.9239084174512209,1811.4473617497993,28.967391451530926,6,37.04023680375124,33.889060224335466,38.84845435006782,32.40932163417044,29.603100178523228,19.629682178820367,22.86702754046512,19.429808419430746,26.745513252981034,28.613183090462492,27.671539616857412,30.87563556148365,2,True,True,"POLYGON ((117.2 23.5, 117.6 23.5, 117.6 23.900000000000002, 117.2 23.900000000000002, 117.2 23.5))"
CEG2000_f4_r0014_c0108,福建,14,108,117.08333066666667,24.116667111111113,-2.0475878930511446,0.915354884109302,1805.7977551550894,28.17151510059776,9,36.144569866813555,34.43847472264863,36.119530824233834,30.407134036204432,28.395269778021927,19.386194098289327,22.7615040137123,18.922752407034245,26.17529708743538,27.96495241631403,27.652094298765213,29.8022972822939,3,True,True,"POLYGON ((116.800006 23.9, 117.199994 23.9, 117.199994 24.3, 116.800006 24.3, 116.800006 23.9))"
CEG2000_f4_r0014_c0109,福建,14,109,117.4000015,24.1000005,-1.919432850282829,0.7792989033268433,1805.8519307129382,29.485882492303787,16,37.62425523752064,33.76275192447802,38.9556254434285,33.2060770990663,30.773374002275563,20.204730898114004,24.299168840494115,19.877344778881845,27.186928083129324,28.92040638250203,28.225192587204123,30.776448745475026,4,False,False,"POLYGON ((117.2 23.9, 117.6 23.9, 117.6 24.3, 117.2 24.3, 117.2 23.9))"
CEG2000_f4_r0014_c0110,福建,14,110,117.75,24.150000666666667,-1.772638586757855,0.8017701440280881,1805.8790184918946,29.711464609155545,9,38.233170170822646,33.04453525360374,40.61231530891631,34.6537826956523,31.685724267020316,20.071818014944494,24.152565355615373,20.08003117101996,27.56153965446415,28.452263936361877,27.537491758958186,30.376367237851458,2,True,True,"POLYGON ((117.59999400000001 23.9, 118 23.9, 118 24.3, 117.59999400000001 24.3, 117.59999400000001 23.9))"
CEG2000_f4_r0015_c0108,福建,15,108,117.0099996,24.51000053333333,-2.1783302844556043,0.9031055842293748,1800.1234661639166,27.61488030012505,15,36.511256420500885,36.354001101248215,35.18237982081702,28.469666836142302,27.80272031443246,18.252358968853073,22.352298006998907,18.288320254197643,25.212136098399615,27.269119944021067,27.188202341714593,28.69420299891211,3,True,True,"POLYGON ((116.800006 24.3, 117.199994 24.3, 117.199994 24.700002, 116.800006 24.700002, 116.800006 24.3))"
CEG2000_f4_r0015_c0109,福建,15,109,117.4000015,24.500000500000002,-2.0014525810628925,0.6820487364451805,1800.177471487989,30.86622394303314,16,39.18876863417271,37.88401040989992,40.12116828215772,33.20517315031183,32.1349530076083,20.76646327387458,25.451971880710794,20.06582249378941,27.8564168424547,30.334467069193153,30.9095331571686,32.58265729523048,4,False,False,"POLYGON ((117.2 24.3, 117.6 24.3, 117.6 24.700002, 117.2 24.700002, 117.2 24.3))"
CEG2000_f4_r0015_c0110,福建,15,110,117.8,24.500000500000002,-1.7894788366269396,0.6413172006551896,1800.204474150057,32.10922057881537,16,40.58328597789076,36.823738722098746,43.74045683785861,37.32352453542879,34.30475764131139,21.81398460438278,26.11672536284498,21.03963443327735,28.74170860922062,30.029007669590374,30.945258485140222,33.84264891207785,4,False,False,"POLYGON ((117.59999400000001 24.3, 118 24.3, 118 24.700002, 117.59999400000001 24.700002, 117.59999400000001 24.3))"
CEG2000_f4_r0015_c0111,福建,15,111,118.13571428571429,24.564286857142857,-1.5949928183573037,0.7678082950653151,1800.204474150057,29.99596179885897,7,37.69258494117817,33.502718202122644,41.04428308533252,35.97751355223262,33.674716490515095,21.35978193637482,24.47363340633602,20.551342327054,27.92726292357108,27.82857712510058,26.417370006714716,29.460196106871628,2,True,True,"POLYGON ((118 24.3, 118.40000599999999 24.3, 118.40000599999999 24.700002, 118 24.700002, 118 24.3))"
CEG2000_f4_r0016_c0106,福建,16,106,116.1999994,24.970000000000002,-2.6091748058511635,0.9201039822613162,1794.4242175755228,28.31032330329293,10,37.66171981348195,36.06670887990668,35.65548221406066,29.040164206263906,29.169163299850638,19.79098926272873,22.61854928408061,18.81936205417628,29.116064423306476,27.715897374475425,26.08283786576037,28.190216242007768,2,True,True,"POLYGON ((116 24.7, 116.40000599999999 24.7, 116.40000599999999 25.1, 116 25.1, 116 24.7))"
