source,target,status
CEG2000_f4_r0020_c0091,CEG2000_f4_r0021_c0092,new
CEG2000_f4_r0020_c0092,CEG2000_f4_r0020_c0093,preserved
CEG2000_f4_r0020_c0092,CEG2000_f4_r0021_c0092,preserved
CEG2000_f4_r0020_c0092,CEG2000_f4_r0021_c0093,new
CEG2000_f4_r0020_c0093,CEG2000_f4_r0020_c0094,preserved
CEG2000_f4_r0020_c0093,CEG2000_f4_r0021_c0093,preserved
CEG2000_f4_r0020_c0093,CEG2000_f4_r0021_c0094,new
CEG2000_f4_r0020_c0094,CEG2000_f4_r0020_c0095,preserved
CEG2000_f4_r0020_c0094,CEG2000_f4_r0021_c0093,new
CEG2000_f4_r0020_c0094,CEG2000_f4_r0021_c0094,preserved
CEG2000_f4_r0020_c0095,CEG2000_f4_r0020_c0096,preserved
CEG2000_f4_r0020_c0095,CEG2000_f4_r0021_c0094,new
CEG2000_f4_r0020_c0095,CEG2000_f4_r0021_c0095,preserved
CEG2000_f4_r0020_c0096,CEG2000_f4_r0020_c0097,preserved
CEG2000_f4_r0020_c0096,CEG2000_f4_r0021_c0096,preserved
CEG2000_f4_r0020_c0097,CEG2000_f4_r0020_c0098,preserved
CEG2000_f4_r0020_c0097,CEG2000_f4_r0021_c0097,preserved
CEG2000_f4_r0020_c0098,CEG2000_f4_r0020_c0099,preserved
CEG2000_f4_r0020_c0098,CEG2000_f4_r0021_c0098,preserved
CEG2000_f4_r0020_c0099,CEG2000_f4_r0020_c0100,preserved
CEG2000_f4_r0020_c0099,CEG2000_f4_r0021_c0098,new
CEG2000_f4_r0020_c0099,CEG2000_f4_r0021_c0099,preserved
CEG2000_f4_r0020_c0100,CEG2000_f4_r0021_c0099,new
CEG2000_f4_r0020_c0100,CEG2000_f4_r0021_c0100,preserved
CEG2000_f4_r0021_c0089,CEG2000_f4_r0021_c0090,preserved
CEG2000_f4_r0021_c0089,CEG2000_f4_r0022_c0089,lost
CEG2000_f4_r0021_c0090,CEG2000_f4_r0021_c0091,preserved
CEG2000_f4_r0021_c0090,CEG2000_f4_r0022_c0089,new
CEG2000_f4_r0021_c0090,CEG2000_f4_r0022_c0090,preserved
CEG2000_f4_r0021_c0090,CEG2000_f4_r0022_c0091,new
CEG2000_f4_r0021_c0091,CEG2000_f4_r0021_c0092,preserved
CEG2000_f4_r0021_c0091,CEG2000_f4_r0022_c0091,preserved
CEG2000_f4_r0021_c0092,CEG2000_f4_r0021_c0093,preserved
CEG2000_f4_r0021_c0092,CEG2000_f4_r0022_c0092,preserved
CEG2000_f4_r0021_c0092,CEG2000_f4_r0022_c0093,new
CEG2000_f4_r0021_c0093,CEG2000_f4_r0021_c0094,preserved
CEG2000_f4_r0021_c0093,CEG2000_f4_r0022_c0093,preserved
CEG2000_f4_r0021_c0094,CEG2000_f4_r0021_c0095,preserved
CEG2000_f4_r0021_c0094,CEG2000_f4_r0022_c0094,preserved
CEG2000_f4_r0021_c0095,CEG2000_f4_r0021_c0096,preserved
CEG2000_f4_r0021_c0095,CEG2000_f4_r0022_c0094,new
CEG2000_f4_r0021_c0095,CEG2000_f4_r0022_c0095,preserved
CEG2000_f4_r0021_c0096,CEG2000_f4_r0021_c0097,preserved
CEG2000_f4_r0021_c0096,CEG2000_f4_r0022_c0096,preserved
CEG2000_f4_r0021_c0097,CEG2000_f4_r0021_c0098,preserved
CEG2000_f4_r0021_c0097,CEG2000_f4_r0022_c0096,new
CEG2000_f4_r0021_c0097,CEG2000_f4_r0022_c0097,preserved
