cell_id,region_id,block_row,block_col,longitude,latitude,theta,rho,original_area_km2,annual_mean_pm25,fine_point_count,month_01_pm25,month_02_pm25,month_03_pm25,month_04_pm25,month_05_pm25,month_06_pm25,month_07_pm25,month_08_pm25,month_09_pm25,month_10_pm25,month_11_pm25,month_12_pm25,polygon_wkt
CEG2000_f4_r0028_c0108,安徽,28,108,116.93571685714286,29.77857171428571,-1.6552352855609223,0.9506062820230394,1718.3546343368105,37.05158357483987,7,42.023425950507,38.60098582296464,47.30339332754364,41.92720421672064,44.67017717302232,30.39649768832193,29.615581889000925,27.673032796384863,33.37246478826885,32.41770603125766,32.87939736407719,43.52842727756622,"POLYGON ((116.800006 29.5, 117.199994 29.5, 117.199994 29.900000000000002, 116.800006 29.900000000000002, 116.800006 29.5))"
CEG2000_f4_r0028_c0109,安徽,28,109,117.45000085714285,29.792857428571427,-1.4639660931128569,0.9431486085918172,1718.406186522337,34.0992020195364,7,40.75060273819637,36.92559654045019,42.83125816001819,38.42113826197934,41.13847628424762,27.76819840408448,26.656330790333534,26.171848897247454,30.504805890048136,29.015140324464127,29.74912570330055,39.11916834403764,"POLYGON ((117.2 29.5, 117.6 29.5, 117.6 29.900000000000002, 117.2 29.900000000000002, 117.2 29.5))"
CEG2000_f4_r0028_c0110,安徽,28,110,117.8,29.750000666666676,-1.3411565887252372,0.9356635346602199,1718.431962615131,32.760825095929654,12,40.17842294681728,36.38461428993364,41.63164315809406,36.02814736757867,39.16860495531391,26.2269213946559,25.570251553090216,25.36308142302629,29.653720800901787,27.68183254189059,28.761017787568758,36.38080697599424,"POLYGON ((117.59999400000001 29.5, 118 29.5, 118 29.900000000000002, 117.59999400000001 29.900000000000002, 117.59999400000001 29.5))"
CEG2000_f4_r0028_c0111,安徽,28,111,118.21,29.71000053333334,-1.2096042993563012,0.904525272434683,1718.431962615131,33.55805332047857,15,41.37145433586495,37.09812803024017,41.63545497017573,37.825497591223616,39.760053204582874,26.7358171960726,25.84033443377582,25.887448238570503,29.56797353118591,28.971720132291953,29.940843804346134,37.96249722452352,"POLYGON ((118 29.5, 118.40000599999999 29.5, 118.40000599999999 29.900000000000002, 118 29.900000000000002, 118 29.5))"
CEG2000_f4_r0028_c0112,安徽,28,112,118.56818072727273,29.750000363636367,-1.0945639876303317,0.9561754133428314,1718.406186522337,32.769403241493904,11,39.9707754446693,36.79720932445072,41.85534077250357,35.798184083346754,38.57696386501086,26.610876695523142,25.5521957252027,25.746727222593744,28.457049605736806,28.82842337499574,28.949350103825598,35.986305895821786,"POLYGON ((118.4 29.5, 118.8 29.5, 118.8 29.900000000000002, 118.4 29.900000000000002, 118.4 29.5))"
CEG2000_f4_r0029_c0106,安徽,29,106,116.25,30.100000500000004,-1.9472687751005564,0.8801485851381905,1711.5472198478153,43.75374458713045,12,47.226492961022224,46.00456208386029,55.40221802635556,46.97916634940762,53.80605187666947,33.966628388710475,31.704717687908264,30.297905409147916,36.513190855734585,39.07370998380448,42.15865766621733,61.56015956011448,"POLYGON ((116 29.9, 116.40000599999999 29.9, 116.40000599999999 30.3, 116 30.3, 116 29.9))"
CEG2000_f4_r0029_c0107,安徽,29,107,116.58846015384617,30.134615999999998,-1.8188906168451753,0.9109973841989062,1711.521547024614,43.29848567273048,13,46.05545312172347,45.691575035203314,55.955160886546764,48.2795299312439,53.114270923648625,33.72170023913666,31.293593464834938,29.92594418877075,36.17510388108622,37.466439638036384,42.2393540610481,59.405893802987805,"POLYGON ((116.4 29.9, 116.8 29.9, 116.8 30.3, 116.4 30.3, 116.4 29.9))"
CEG2000_f4_r0029_c0108,安徽,29,108,117.0099996,30.11000053333333,-1.6374212551044292,0.8158998674344048,1711.4702013782721,38.75578746395907,15,43.61635387327757,40.63402454230682,49.95511989634141,43.70178276376024,47.435754555991025,31.511013767682808,29.037503022113178,28.003574726769912,33.505491710822625,33.125332107114936,36.35403374148648,47.989646998054944,"POLYGON ((116.800006 29.9, 117.199994 29.9, 117.199994 30.3, 116.800006 30.3, 116.800006 29.9))"
CEG2000_f4_r0029_c0109,安徽,29,109,117.4000015,30.1000005,-1.468733373151387,0.8198302601241227,1711.521547024614,34.299499088318,16,41.421025217683315,37.803989608780995,44.56817968431476,38.79036593843319,40.763153961702805,27.844187803041734,25.835314636828826,25.703493301501997,29.43351656102892,28.952173970559365,30.230882476403053,40.12222001136165,"POLYGON ((117.2 29.9, 117.6 29.9, 117.6 30.3, 117.2 30.3, 117.2 29.9))"
CEG2000_f4_r0029_c0110,安徽,29,110,117.8,30.1000005,-1.3019213309347175,0.790444929288761,1711.5472198478153,33.128586616145526,16,41.00512523611672,37.48390374547034,42.60290799247789,36.58830254530042,39.377130922929226,26.87960981296125,24.748929603784614,25.24451473225024,28.37913264363577,27.734719038673827,29.104592247800863,38.30216845440212,"POLYGON ((117.59999400000001 29.9, 118 29.9, 118 30.3, 117.59999400000001 30.3, 117.59999400000001 29.9))"
