source,target,status
CEG2000_f4_r0031_c0097,CEG2000_f4_r0032_c0097,preserved
CEG2000_f4_r0031_c0098,CEG2000_f4_r0031_c0099,preserved
CEG2000_f4_r0031_c0098,CEG2000_f4_r0032_c0098,preserved
CEG2000_f4_r0031_c0099,CEG2000_f4_r0031_c0100,preserved
CEG2000_f4_r0031_c0099,CEG2000_f4_r0032_c0099,preserved
CEG2000_f4_r0031_c0100,CEG2000_f4_r0031_c0101,preserved
CEG2000_f4_r0031_c0100,CEG2000_f4_r0032_c0099,new
CEG2000_f4_r0031_c0100,CEG2000_f4_r0032_c0100,preserved
CEG2000_f4_r0031_c0101,CEG2000_f4_r0031_c0102,preserved
CEG2000_f4_r0031_c0101,CEG2000_f4_r0032_c0100,new
CEG2000_f4_r0031_c0101,CEG2000_f4_r0032_c0101,preserved
CEG2000_f4_r0031_c0102,CEG2000_f4_r0031_c0103,preserved
CEG2000_f4_r0031_c0102,CEG2000_f4_r0032_c0101,new
CEG2000_f4_r0031_c0102,CEG2000_f4_r0032_c0102,preserved
CEG2000_f4_r0031_c0103,CEG2000_f4_r0031_c0104,preserved
CEG2000_f4_r0031_c0103,CEG2000_f4_r0032_c0102,new
CEG2000_f4_r0031_c0103,CEG2000_f4_r0032_c0103,preserved
CEG2000_f4_r0031_c0104,CEG2000_f4_r0031_c0105,preserved
CEG2000_f4_r0031_c0104,CEG2000_f4_r0032_c0103,new
CEG2000_f4_r0031_c0104,CEG2000_f4_r0032_c0104,preserved
CEG2000_f4_r0031_c0105,CEG2000_f4_r0032_c0104,new
CEG2000_f4_r0032_c0091,CEG2000_f4_r0032_c0092,preserved
CEG2000_f4_r0032_c0091,CEG2000_f4_r0033_c0090,new
CEG2000_f4_r0032_c0091,CEG2000_f4_r0033_c0091,preserved
CEG2000_f4_r0032_c0092,CEG2000_f4_r0032_c0093,preserved
CEG2000_f4_r0032_c0092,CEG2000_f4_r0033_c0091,new
CEG2000_f4_r0032_c0092,CEG2000_f4_r0033_c0092,preserved
CEG2000_f4_r0032_c0093,CEG2000_f4_r0032_c0094,preserved
CEG2000_f4_r0032_c0093,CEG2000_f4_r0033_c0092,new
CEG2000_f4_r0032_c0093,CEG2000_f4_r0033_c0093,preserved
CEG2000_f4_r0032_c0094,CEG2000_f4_r0032_c0095,preserved
CEG2000_f4_r0032_c0094,CEG2000_f4_r0033_c0093,new
CEG2000_f4_r0032_c0094,CEG2000_f4_r0033_c0094,preserved
CEG2000_f4_r0032_c0095,CEG2000_f4_r0032_c0096,preserved
CEG2000_f4_r0032_c0095,CEG2000_f4_r0033_c0094,new
CEG2000_f4_r0032_c0095,CEG2000_f4_r0033_c0095,preserved
CEG2000_f4_r0032_c0096,CEG2000_f4_r0032_c0097,preserved
CEG2000_f4_r0032_c0096,CEG2000_f4_r0033_c0096,preserved
CEG2000_f4_r0032_c0097,CEG2000_f4_r0032_c0098,preserved
CEG2000_f4_r0032_c0097,CEG2000_f4_r0033_c0096,new
CEG2000_f4_r0032_c0097,CEG2000_f4_r0033_c0097,preserved
CEG2000_f4_r0032_c0098,CEG2000_f4_r0032_c0099,preserved
CEG2000_f4_r0032_c0098,CEG2000_f4_r0033_c0097,new
CEG2000_f4_r0032_c0098,CEG2000_f4_r0033_c0098,preserved
CEG2000_f4_r0032_c0099,CEG2000_f4_r0032_c0100,preserved
CEG2000_f4_r0032_c0099,CEG2000_f4_r0033_c0099,preserved
CEG2000_f4_r0032_c0100,CEG2000_f4_r0032_c0101,preserved
CEG2000_f4_r0032_c0100,CEG2000_f4_r0033_c0099,new
CEG2000_f4_r0032_c0100,CEG2000_f4_r0033_c0100,preserved
CEG2000_f4_r0032_c0101,CEG2000_f4_r0032_c0102,preserved
CEG2000_f4_r0032_c0101,CEG2000_f4_r0033_c0100,new
CEG2000_f4_r0032_c0101,CEG2000_f4_r0033_c0101,preserved
CEG2000_f4_r0032_c0101,CEG2000_f4_r0033_c0102,new
CEG2000_f4_r0032_c0102,CEG2000_f4_r0032_c0103,preserved
CEG2000_f4_r0032_c0102,CEG2000_f4_r0033_c0101,new
CEG2000_f4_r0032_c0102,CEG2000_f4_r0033_c0102,preserved
CEG2000_f4_r0032_c0103,CEG2000_f4_r0032_c0104,preserved
CEG2000_f4_r0033_c0090,CEG2000_f4_r0033_c0091,preserved
CEG2000_f4_r0033_c0090,CEG2000_f4_r0034_c0090,preserved
CEG2000_f4_r0033_c0091,CEG2000_f4_r0033_c0092,preserved
CEG2000_f4_r0033_c0091,CEG2000_f4_r0034_c0090,new
CEG2000_f4_r0033_c0091,CEG2000_f4_r0034_c0091,preserved
CEG2000_f4_r0033_c0092,CEG2000_f4_r0033_c0093,preserved
CEG2000_f4_r0033_c0092,CEG2000_f4_r0034_c0091,new
CEG2000_f4_r0033_c0092,CEG2000_f4_r0034_c0092,preserved
CEG2000_f4_r0033_c0093,CEG2000_f4_r0033_c0094,preserved
CEG2000_f4_r0033_c0093,CEG2000_f4_r0034_c0093,preserved
CEG2000_f4_r0033_c0094,CEG2000_f4_r0033_c0095,preserved
CEG2000_f4_r0033_c0094,CEG2000_f4_r0034_c0093,new
CEG2000_f4_r0033_c0094,CEG2000_f4_r0034_c0094,preserved
CEG2000_f4_r0033_c0095,CEG2000_f4_r0033_c0096,preserved
CEG2000_f4_r0033_c0095,CEG2000_f4_r0034_c0095,preserved
CEG2000_f4_r0033_c0096,CEG2000_f4_r0033_c0097,preserved
CEG2000_f4_r0033_c0096,CEG2000_f4_r0034_c0095,new
CEG2000_f4_r0033_c0096,CEG2000_f4_r0034_c0096,preserved
CEG2000_f4_r0033_c0097,CEG2000_f4_r0033_c0098,preserved
CEG2000_f4_r0033_c0097,CEG2000_f4_r0034_c0096,new
CEG2000_f4_r0033_c0097,CEG2000_f4_r0034_c0097,preserved
CEG2000_f4_r0033_c0098,CEG2000_f4_r0033_c0099,preserved
CEG2000_f4_r0033_c0098,CEG2000_f4_r0034_c0098,preserved
CEG2000_f4_r0033_c0099,CEG2000_f4_r0033_c0100,preserved
CEG2000_f4_r0033_c0099,CEG2000_f4_r0034_c0099,preserved
CEG2000_f4_r0033_c0099,CEG2000_f4_r0034_c0100,new
CEG2000_f4_r0033_c0100,CEG2000_f4_r0033_c0101,preserved
CEG2000_f4_r0033_c0100,CEG2000_f4_r0034_c0099,new
CEG2000_f4_r0033_c0100,CEG2000_f4_r0034_c0100,preserved
CEG2000_f4_r0033_c0101,CEG2000_f4_r0033_c0102,preserved
CEG2000_f4_r0034_c0090,CEG2000_f4_r0034_c0091,preserved
CEG2000_f4_r0034_c0090,CEG2000_f4_r0035_c0090,preserved
CEG2000_f4_r0034_c0091,CEG2000_f4_r0034_c0092,preserved
CEG2000_f4_r0034_c0091,CEG2000_f4_r0035_c0091,preserved
CEG2000_f4_r0034_c0092,CEG2000_f4_r0034_c0093,preserved
CEG2000_f4_r0034_c0092,CEG2000_f4_r0035_c0091,new
CEG2000_f4_r0034_c0092,CEG2000_f4_r0035_c0092,preserved
CEG2000_f4_r0034_c0093,CEG2000_f4_r0034_c0094,preserved
CEG2000_f4_r0034_c0093,CEG2000_f4_r0035_c0093,preserved
CEG2000_f4_r0034_c0094,CEG2000_f4_r0034_c0095,preserved
CEG2000_f4_r0034_c0094,CEG2000_f4_r0035_c0094,preserved
CEG2000_f4_r0034_c0095,CEG2000_f4_r0034_c0096,preserved
CEG2000_f4_r0034_c0095,CEG2000_f4_r0035_c0094,new
CEG2000_f4_r0034_c0095,CEG2000_f4_r0035_c0095,preserved
CEG2000_f4_r0034_c0096,CEG2000_f4_r0034_c0097,preserved
CEG2000_f4_r0034_c0096,CEG2000_f4_r0035_c0095,new
CEG2000_f4_r0034_c0097,CEG2000_f4_r0034_c0098,preserved
CEG2000_f4_r0034_c0097,CEG2000_f4_r0035_c0097,preserved
CEG2000_f4_r0034_c0098,CEG2000_f4_r0034_c0099,preserved
CEG2000_f4_r0034_c0098,CEG2000_f4_r0035_c0098,preserved
CEG2000_f4_r0034_c0099,CEG2000_f4_r0034_c0100,preserved
CEG2000_f4_r0035_c0090,CEG2000_f4_r0035_c0091,preserved
CEG2000_f4_r0035_c0090,CEG2000_f4_r0036_c0090,preserved
CEG2000_f4_r0035_c0090,CEG2000_f4_r0036_c0091,new
CEG2000_f4_r0035_c0091,CEG2000_f4_r0035_c0092,preserved
CEG2000_f4_r0035_c0091,CEG2000_f4_r0035_c0093,new
CEG2000_f4_r0035_c0091,CEG2000_f4_r0036_c0090,new
CEG2000_f4_r0035_c0091,CEG2000_f4_r0036_c0091,preserved
CEG2000_f4_r0035_c0091,CEG2000_f4_r0036_c0092,new
CEG2000_f4_r0035_c0092,CEG2000_f4_r0035_c0093,preserved
