source,target,status
CEG2000_f4_r0011_c0100,CEG2000_f4_r0012_c0101,new
CEG2000_f4_r0011_c0101,CEG2000_f4_r0011_c0102,preserved
CEG2000_f4_r0011_c0101,CEG2000_f4_r0012_c0101,preserved
CEG2000_f4_r0011_c0101,CEG2000_f4_r0012_c0102,new
CEG2000_f4_r0011_c0102,CEG2000_f4_r0011_c0103,preserved
CEG2000_f4_r0011_c0102,CEG2000_f4_r0012_c0102,preserved
CEG2000_f4_r0011_c0102,CEG2000_f4_r0012_c0103,new
CEG2000_f4_r0011_c0103,CEG2000_f4_r0011_c0104,preserved
CEG2000_f4_r0011_c0103,CEG2000_f4_r0012_c0103,preserved
CEG2000_f4_r0011_c0103,CEG2000_f4_r0012_c0104,new
CEG2000_f4_r0011_c0104,CEG2000_f4_r0011_c0105,preserved
CEG2000_f4_r0011_c0104,CEG2000_f4_r0012_c0104,preserved
CEG2000_f4_r0011_c0104,CEG2000_f4_r0012_c0105,new
CEG2000_f4_r0011_c0105,CEG2000_f4_r0011_c0106,preserved
CEG2000_f4_r0011_c0105,CEG2000_f4_r0012_c0105,preserved
CEG2000_f4_r0011_c0105,CEG2000_f4_r0012_c0106,new
CEG2000_f4_r0011_c0106,CEG2000_f4_r0012_c0106,preserved
CEG2000_f4_r0011_c0106,CEG2000_f4_r0012_c0107,new
CEG2000_f4_r0012_c0094,CEG2000_f4_r0012_c0095,preserved
CEG2000_f4_r0012_c0095,CEG2000_f4_r0012_c0096,preserved
CEG2000_f4_r0012_c0095,CEG2000_f4_r0013_c0095,preserved
CEG2000_f4_r0012_c0096,CEG2000_f4_r0012_c0097,preserved
CEG2000_f4_r0012_c0096,CEG2000_f4_r0013_c0096,preserved
CEG2000_f4_r0012_c0097,CEG2000_f4_r0012_c0098,preserved
CEG2000_f4_r0012_c0097,CEG2000_f4_r0013_c0097,preserved
CEG2000_f4_r0012_c0098,CEG2000_f4_r0012_c0099,preserved
CEG2000_f4_r0012_c0098,CEG2000_f4_r0013_c0098,preserved
CEG2000_f4_r0012_c0099,CEG2000_f4_r0012_c0100,preserved
CEG2000_f4_r0012_c0099,CEG2000_f4_r0013_c0099,preserved
CEG2000_f4_r0012_c0100,CEG2000_f4_r0012_c0101,preserved
CEG2000_f4_r0012_c0100,CEG2000_f4_r0013_c0100,preserved
CEG2000_f4_r0012_c0101,CEG2000_f4_r0012_c0102,preserved
CEG2000_f4_r0012_c0101,CEG2000_f4_r0013_c0101,preserved
CEG2000_f4_r0012_c0101,CEG2000_f4_r0013_c0102,new
CEG2000_f4_r0012_c0102,CEG2000_f4_r0012_c0103,preserved
CEG2000_f4_r0012_c0102,CEG2000_f4_r0013_c0102,preserved
CEG2000_f4_r0012_c0103,CEG2000_f4_r0012_c0104,preserved
CEG2000_f4_r0012_c0103,CEG2000_f4_r0013_c0103,preserved
CEG2000_f4_r0012_c0104,CEG2000_f4_r0012_c0105,preserved
CEG2000_f4_r0012_c0104,CEG2000_f4_r0013_c0104,preserved
CEG2000_f4_r0012_c0105,CEG2000_f4_r0012_c0106,preserved
CEG2000_f4_r0012_c0105,CEG2000_f4_r0013_c0105,preserved
CEG2000_f4_r0012_c0106,CEG2000_f4_r0012_c0107,preserved
CEG2000_f4_r0012_c0106,CEG2000_f4_r0013_c0106,preserved
CEG2000_f4_r0012_c0106,CEG2000_f4_r0013_c0107,new
CEG2000_f4_r0012_c0107,CEG2000_f4_r0013_c0107,preserved
CEG2000_f4_r0012_c0107,CEG2000_f4_r0013_c0108,new
CEG2000_f4_r0013_c0095,CEG2000_f4_r0013_c0096,preserved
CEG2000_f4_r0013_c0095,CEG2000_f4_r0014_c0095,preserved
CEG2000_f4_r0013_c0096,CEG2000_f4_r0013_c0097,preserved
CEG2000_f4_r0013_c0096,CEG2000_f4_r0014_c0096,preserved
CEG2000_f4_r0013_c0097,CEG2000_f4_r0013_c0098,preserved
CEG2000_f4_r0013_c0097,CEG2000_f4_r0014_c0097,preserved
CEG2000_f4_r0013_c0098,CEG2000_f4_r0013_c0099,preserved
CEG2000_f4_r0013_c0098,CEG2000_f4_r0014_c0098,preserved
CEG2000_f4_r0013_c0099,CEG2000_f4_r0013_c0100,preserved
CEG2000_f4_r0013_c0099,CEG2000_f4_r0014_c0099,preserved
CEG2000_f4_r0013_c0100,CEG2000_f4_r0013_c0101,preserved
CEG2000_f4_r0013_c0100,CEG2000_f4_r0014_c0099,new
CEG2000_f4_r0013_c0100,CEG2000_f4_r0014_c0100,preserved
CEG2000_f4_r0013_c0101,CEG2000_f4_r0013_c0102,preserved
CEG2000_f4_r0013_c0101,CEG2000_f4_r0014_c0100,new
CEG2000_f4_r0013_c0101,CEG2000_f4_r0014_c0101,preserved
CEG2000_f4_r0013_c0101,CEG2000_f4_r0014_c0102,new
CEG2000_f4_r0013_c0102,CEG2000_f4_r0013_c0103,preserved
CEG2000_f4_r0013_c0102,CEG2000_f4_r0014_c0101,new
CEG2000_f4_r0013_c0102,CEG2000_f4_r0014_c0102,preserved
CEG2000_f4_r0013_c0102,CEG2000_f4_r0014_c0103,new
CEG2000_f4_r0013_c0103,CEG2000_f4_r0013_c0104,preserved
CEG2000_f4_r0013_c0103,CEG2000_f4_r0014_c0103,preserved
CEG2000_f4_r0013_c0103,CEG2000_f4_r0014_c0104,new
CEG2000_f4_r0013_c0104,CEG2000_f4_r0013_c0105,preserved
CEG2000_f4_r0013_c0104,CEG2000_f4_r0014_c0104,preserved
CEG2000_f4_r0013_c0105,CEG2000_f4_r0013_c0106,preserved
CEG2000_f4_r0013_c0105,CEG2000_f4_r0014_c0105,preserved
CEG2000_f4_r0013_c0106,CEG2000_f4_r0013_c0107,preserved
CEG2000_f4_r0013_c0106,CEG2000_f4_r0014_c0106,preserved
CEG2000_f4_r0013_c0107,CEG2000_f4_r0013_c0108,preserved
CEG2000_f4_r0013_c0107,CEG2000_f4_r0014_c0107,preserved
CEG2000_f4_r0013_c0108,CEG2000_f4_r0014_c0108,preserved
CEG2000_f4_r0014_c0095,CEG2000_f4_r0014_c0096,preserved
CEG2000_f4_r0014_c0096,CEG2000_f4_r0014_c0097,preserved
CEG2000_f4_r0014_c0096,CEG2000_f4_r0015_c0096,preserved
CEG2000_f4_r0014_c0097,CEG2000_f4_r0014_c0098,preserved
CEG2000_f4_r0014_c0097,CEG2000_f4_r0015_c0097,preserved
CEG2000_f4_r0014_c0098,CEG2000_f4_r0014_c0099,preserved
CEG2000_f4_r0014_c0098,CEG2000_f4_r0015_c0097,new
CEG2000_f4_r0014_c0098,CEG2000_f4_r0015_c0098,preserved
CEG2000_f4_r0014_c0099,CEG2000_f4_r0014_c0100,preserved
