dataset,method,view,node_group,node_count,mean_reference_degree,mean_display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,Direct Polar,disk,boundary,47,2.5106382978723403,3.6595744680851063,1.148936170212766,0.7112462006079027,0.9822695035460992,0.814235055724417,0.7059270516717325,1.466486406261794,0.0776843146956952,25.03494893110971,0.8370370370370368
湖北,Direct Polar,disk,interior,83,4.0,5.469879518072289,1.4698795180722892,0.7509370816599732,0.9939759036144579,0.8486032708924277,0.7479250334672021,1.7453786206701207,0.0322219108994116,16.15992321317847,0.9373493975903613
湖北,Direct Polar,disk,all,130,3.4615384615384617,4.815384615384615,1.353846153846154,0.7365873015873016,0.9897435897435897,0.8361778392547623,0.7327411477411477,1.64454835853788,0.048658318425760294,19.36858635735361,0.9020833333333333
湖北,Direct Polar,annulus,boundary,47,2.5106382978723403,3.74468085106383,1.2340425531914894,0.6980496453900709,1.0,0.8137330754352027,0.6980496453900709,1.248979250388537,0.07389081312881411,25.089712937826363,0.8695652173913042
湖北,Direct Polar,annulus,interior,83,4.0,5.975903614457831,1.9759036144578312,0.6781411359724612,1.0,0.8055981501764635,0.6781411359724612,1.3658418357911335,0.03455683197907911,20.716664874762856,0.9397590361445781
湖北,Direct Polar,annulus,all,130,3.4615384615384617,5.1692307692307695,1.7076923076923076,0.6853388278388278,1.0,0.8085392385392385,0.6853388278388278,1.3235915164532714,0.048777579010137156,22.297689943716588,0.9147286821705426
湖北,Harmonic,disk,boundary,47,2.5106382978723403,3.6595744680851063,1.148936170212766,0.499290780141844,0.7375886524822695,0.5848024316109424,0.4546099290780142,0.8090035877683553,0.15174006267524331,28.646707488636405,0.9292929292929292
湖北,Harmonic,disk,interior,83,4.0,5.927710843373494,1.9518072289156627,0.5791977433543699,0.8493975903614458,0.6844448055291429,0.5397407813070464,3.7309044667893225,0.0933968431867003,16.087802520960444,0.9030701754385964
湖北,Harmonic,disk,all,130,3.4615384615384617,5.107692307692307,1.6615384615384616,0.5503083028083028,0.8089743589743589,0.6484202549587165,0.5089627039627039,2.674524918220203,0.11449016100178892,20.628329701581748,0.9110091743119266
湖北,Harmonic,annulus,boundary,47,2.5106382978723403,3.595744680851064,1.0851063829787233,0.5095744680851063,0.7375886524822695,0.5919452887537994,0.4634751773049645,0.7853593031159546,0.1451426686458849,28.84427639394117,0.9292929292929292
