dataset,cell_count,reference_edge_count,repeat_count,embedding_seconds_median,embedding_seconds_q1,embedding_seconds_q3,embedding_seconds_mean,embedding_seconds_std,original_power_seconds_median,original_power_seconds_q1,original_power_seconds_q3,original_power_seconds_mean,original_power_seconds_std,final_refinement_seconds_median,final_refinement_seconds_q1,final_refinement_seconds_q3,final_refinement_seconds_mean,final_refinement_seconds_std,refinement_over_original_ratio_median,refinement_over_original_ratio_q1,refinement_over_original_ratio_q3,refinement_over_original_ratio_mean,refinement_over_original_ratio_std,process_high_water_rss_mb_median,process_high_water_rss_mb_q1,process_high_water_rss_mb_q3,process_high_water_rss_mb_mean,process_high_water_rss_mb_std
NE-Admin0-Africa,50,109,10,5.347188729000006,4.835714979250001,5.403772416999995,5.1641192959,0.3792658095008148,0.2550053750000032,0.24074419799999802,0.2642503749999978,0.24251834159999994,0.041962281029211665,4.538447208499996,4.375011802249997,4.6706754377499955,4.479951316899998,0.27234312861280535,18.112621441367573,17.004133155972525,18.683498803727183,19.12739856436674,4.423271600336623,149.3046875,149.296875,149.328125,149.290625,0.06596308416244819
湖北,130,225,10,14.60342854149998,14.472117906249991,14.702558896,14.581444425099994,0.16876730971755974,3.1610498954999855,3.0795483432500106,3.2479316872500092,3.1644496787999943,0.10173983246496168,32.53419674999999,32.195967280999945,32.65840303125,32.45085174999999,0.32729584097379694,10.320218894106617,9.983628623163863,10.522522227607741,10.265029500844918,0.36608691173524116,149.328125,149.328125,149.328125,149.328125,0.0
NASA-Exoplanet-SkyGrid,162,306,10,26.85828560449994,25.109203333250036,27.196886562500055,25.8544810375,1.8505663591462889,2.9824793960000306,2.5136067710000134,3.0390458337500093,2.8125270543000056,0.5358211411729196,48.82628850000003,39.470739812499914,48.94674393750003,43.540203708399986,7.901487648568373,16.466940121823598,16.09002431439042,16.787925098842983,15.91988179655469,3.248259223585426,149.328125,149.328125,149.328125,149.328125,0.0
NCEP-AirTemp-Africa-2000,401,741,10,33.08566304149997,32.05861041700007,34.07767876050008,33.29979025839998,1.4934310590153665,3.834676040999966,3.7847471562500914,4.1276632079999445,3.940685108200023,0.20891105681567618,39.71262925000008,37.11727670799985,41.058252458499965,41.054096095900015,6.929953311226599,9.920874421988486,9.707267093621926,10.475507115392166,10.388314940593864,1.3344710945258902,149.328125,149.328125,149.328125,149.328125,0.0
