dataset,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
NE-Admin0-Africa,Direct Polar,disk,50,1.9650701586025092,0.019051660100433344,0.011331956056526364,29
NE-Admin0-Africa,Direct Polar,annulus,50,3.5012945647209412,0.016920901847384397,0.00835051682562082,29
NE-Admin0-Africa,Harmonic,disk,50,1.330248481822162,0.0023299893451215765,8.481573765796535e-16,0
NE-Admin0-Africa,Harmonic,annulus,50,0.8975414201948805,0.010422520096636937,3.673585310895937e-16,0
NE-Admin0-Africa,Area-balanced,disk,50,0.7567419828766077,1.8376743159225824e-15,7.067978138163779e-16,0
NE-Admin0-Africa,Area-balanced,annulus,50,0.9224841569151153,0.0,7.347170621791874e-16,0
NE-Admin0-Africa,Regular Topology,disk,50,1.1800034153964438,0.00999920158223701,0.01421878476948472,0
NE-Admin0-Africa,Regular Topology,annulus,50,1.020274347303287,0.016364368144617315,0.020094075228651698,0
NE-Admin0-Africa,GeoDisk,disk,50,0.9093798848460478,1.4135956276327557e-16,1.2015562834878424e-14,0
NE-Admin0-Africa,GeoAnnulus,annulus,50,0.8543398466709226,2.7551889831719528e-15,2.6156256750502192e-08,0
NCEP-AirTemp-Africa-2000,Direct Polar,disk,401,1.9212461882619336,0.09114207070211014,0.028911565745897542,148
NCEP-AirTemp-Africa-2000,Direct Polar,annulus,401,5.108069957835253,0.0868737854712393,0.01957534052309369,148
NCEP-AirTemp-Africa-2000,Harmonic,disk,401,0.851218419529012,0.0005708353325199119,7.067978138163779e-16,0
NCEP-AirTemp-Africa-2000,Harmonic,annulus,401,0.8954458641063424,0.01709424709768108,1.4694341243583748e-15,0
NCEP-AirTemp-Africa-2000,Area-balanced,disk,401,0.8246196793301133,0.006414871473952722,5.654382510531023e-16,0
NCEP-AirTemp-Africa-2000,Area-balanced,annulus,401,0.950368953225304,0.0056660756495278694,7.347170621791874e-16,0
NCEP-AirTemp-Africa-2000,Regular Topology,disk,401,2.832640724675024,0.007380182984345524,0.009581698592608642,18
NCEP-AirTemp-Africa-2000,Regular Topology,annulus,401,2.146433711276542,0.010914687168613602,0.012479447624500496,18
NCEP-AirTemp-Africa-2000,GeoDisk,disk,401,1.0748142549591648,0.01041670200654978,5.696790379360005e-14,0
NCEP-AirTemp-Africa-2000,GeoAnnulus,annulus,401,0.9700798288099135,0.008503827189277335,9.336146452980096e-08,0
