dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy,failure_category,failure_rank
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r07_c02,False,4,7,3,0.4285714285714285,0.75,0.5454545454545454,0.375,3.211480748908981,0.0372670807453415,13.537580314926029,1.0,mixed_lost_and_new,3
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r07_c15,False,4,7,3,0.4285714285714285,0.75,0.5454545454545454,0.375,3.212110620320692,0.0372670807453415,13.535473229103625,1.0,mixed_lost_and_new,4
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r01_c02,False,4,7,3,0.4285714285714285,0.75,0.5454545454545454,0.375,3.212416502637422,0.0124223602484472,13.52566334654334,1.0,mixed_lost_and_new,5
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r02_c15,False,4,7,3,0.4285714285714285,0.75,0.5454545454545454,0.375,0.837599053706101,0.0372670807453416,7.740218746417141,1.0,mixed_lost_and_new,6
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r02_c17,False,4,6,2,0.5,0.75,0.6,0.4285714285714285,1.588369542731784,0.0248447204968944,51.202340238662174,0.0,mixed_lost_and_new,7
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r06_c17,False,4,6,2,0.5,0.75,0.6,0.4285714285714285,1.6264842558290675,0.1118012422360248,49.96251594469793,0.0,mixed_lost_and_new,8
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r06_c00,False,4,6,2,0.5,0.75,0.6,0.4285714285714285,1.7183995714884772,0.0869565217391303,49.186906119783686,0.0,mixed_lost_and_new,9
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r02_c00,False,4,6,2,0.5,0.75,0.6,0.4285714285714285,1.7242964902129487,0.0186335403726708,49.16295553790648,0.0,mixed_lost_and_new,10
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r00_c00,True,3,5,2,0.4,0.6666666666666666,0.5,0.3333333333333333,1.7730804028523712,0.0496894409937888,59.2187753203682,0.0,mixed_lost_and_new,1
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,NASA_EXO_r08_c00,True,3,5,2,0.4,0.6666666666666666,0.5,0.3333333333333333,1.7765847104673382,0.1677018633540373,59.20726937581049,0.0,mixed_lost_and_new,2
