dataset,cell_count,reference_edge_count,repeat,embedding_seconds,original_power_seconds,final_refinement_seconds,refinement_over_original_ratio,process_high_water_rss_mb
NE-Admin0-Africa,50,109,1,0.8681164170000004,0.04524941699999996,0.8361298329999998,18.478245432421826,148.71875
NE-Admin0-Africa,50,109,2,0.8382795409999995,0.046016999999999975,0.8572769169999992,18.629569876350036,148.90625
NE-Admin0-Africa,50,109,3,0.817215708,0.04733020899999918,0.8406155420000001,17.76065561003575,148.90625
NE-Admin0-Africa,50,109,4,0.8341217080000005,0.04519383299999902,0.8752960419999987,19.367599158938734,148.9375
NE-Admin0-Africa,50,109,5,0.8318802089999995,0.04630579200000007,0.8647107080000005,18.673921137122527,148.9375
NE-Admin0-Africa,50,109,6,0.8192332919999998,0.04559575000000038,0.8552716250000003,18.757704939604967,148.9375
NE-Admin0-Africa,50,109,7,0.8286100839999992,0.045920834000000355,0.837121625,18.229669456787164,148.953125
NE-Admin0-Africa,50,109,8,0.8213967500000017,0.06643854100000013,0.8380947079999981,12.614586283584952,148.953125
NE-Admin0-Africa,50,109,9,0.8319445830000021,0.045877665999999095,0.8390855839999993,18.289631037464197,148.953125
NE-Admin0-Africa,50,109,10,0.8363438750000007,0.04560808300000119,0.8487342919999996,18.60929546194646,148.953125
湖北,130,225,1,2.2860673329999983,0.6036160830000021,6.048649667000003,10.02069003353574,150.0625
湖北,130,225,2,2.300470124999997,0.5798066669999997,6.078871249999999,10.484307263062227,150.0625
湖北,130,225,3,2.291484459000003,0.598181541999999,6.065221875000006,10.139433347811352,150.078125
湖北,130,225,4,2.3359142079999984,0.5816772500000056,6.136350291999996,10.549407411068486,150.078125
湖北,130,225,5,2.3071928340000056,0.5813552079999909,6.121204375000005,10.529198484448946,150.078125
湖北,130,225,6,2.298698458000004,0.5763211659999996,6.072539207999995,10.53672772448548,155.109375
湖北,130,225,7,2.3048291659999904,0.5835640410000025,6.050459958000005,10.368116492633547,155.109375
湖北,130,225,8,2.311938208000001,0.5810801249999997,6.067593583000004,10.441922416465383,155.109375
湖北,130,225,9,2.333163749999997,0.5818399579999891,6.058539666999991,10.41272532712527,155.109375
湖北,130,225,10,2.3014761249999935,0.5851624590000029,6.068309208000002,10.370298221745584,155.109375
NASA-Exoplanet-SkyGrid,162,306,1,4.526799834000002,0.5522480840000128,9.24701670799999,16.74431650540552,157.0625
NASA-Exoplanet-SkyGrid,162,306,2,4.513441416999996,0.5532191660000194,9.210465249999999,16.648854226427282,157.0625
NASA-Exoplanet-SkyGrid,162,306,3,4.529043375000015,0.5740623750000111,9.230365334000027,16.07902857942893,157.0625
NASA-Exoplanet-SkyGrid,162,306,4,4.501140583999984,0.5525456250000218,9.227027958000008,16.699124091335705,157.125
NASA-Exoplanet-SkyGrid,162,306,5,4.524198917000007,0.5496009999999956,9.267383334000016,16.862020509424273,157.234375
NASA-Exoplanet-SkyGrid,162,306,6,4.484627750000016,0.5537173750000193,9.218468125000015,16.64832736195012,157.234375
NASA-Exoplanet-SkyGrid,162,306,7,4.521709208000004,0.5479344999999967,9.253331958000018,16.887660766022353,157.234375
NASA-Exoplanet-SkyGrid,162,306,8,4.504017666999999,0.5610555840000018,9.193374000000006,16.385852422065863,157.234375
NASA-Exoplanet-SkyGrid,162,306,9,4.497413999999992,0.5552027089999854,9.269930249999987,16.69647878105046,157.703125
NASA-Exoplanet-SkyGrid,162,306,10,4.531052708999994,0.5555594159999941,9.236583708999945,16.625735147291685,157.703125
NCEP-AirTemp-Africa-2000,401,741,1,21.39692358299999,3.1554932500000064,30.865616165999995,9.781550369660886,159.734375
NCEP-AirTemp-Africa-2000,401,741,2,21.27363995799999,3.164141499999971,30.69501433399995,9.700898121654873,159.734375
NCEP-AirTemp-Africa-2000,401,741,3,21.42405237500003,3.125063416000046,30.703097291000006,9.82479175744175,159.734375
NCEP-AirTemp-Africa-2000,401,741,4,21.237655542000027,3.134327459000019,30.61735583399991,9.768397282831488,159.734375
NCEP-AirTemp-Africa-2000,401,741,5,21.38543783399996,3.122481999999991,30.716104208999923,9.837079672196673,159.734375
NCEP-AirTemp-Africa-2000,401,741,6,21.489263541000014,3.149917999999957,30.73386533400003,9.757036638414222,159.734375
NCEP-AirTemp-Africa-2000,401,741,7,21.376352666999992,3.128105749999918,30.75861195799996,9.832983414323754,159.734375
NCEP-AirTemp-Africa-2000,401,741,8,21.40682054199999,3.1480119999999943,30.69432229100005,9.75038287369937,159.734375
NCEP-AirTemp-Africa-2000,401,741,9,21.419436333999897,3.1266891249999844,30.716955249999955,9.824115549063455,159.734375
NCEP-AirTemp-Africa-2000,401,741,10,21.411178666999945,3.126730584000029,30.59425141700001,9.784741791811419,159.734375
