dataset,method,view,boundary_definition,node_group,node_count,node_adj_f1,node_neighbor_jaccard,degree_absolute_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,GeoDisk-Final,disk,topological,boundary,47,0.706184949801971,0.5655268490374874,1.851063829787234,24.626191288210656,0.945736434108527
湖北,GeoDisk-Final,disk,topological,interior,83,0.7634477303152001,0.6263912794033275,1.963855421686747,14.707477585270505,0.9267489711934156
湖北,GeoDisk-Final,disk,geographic,boundary,56,0.7199443413729129,0.580718537414966,1.7857142857142858,24.147591091774125,0.9238993710691823
湖北,GeoDisk-Final,disk,geographic,interior,74,0.7599996099996099,0.6222972972972972,2.027027027027027,13.863331472756778,0.9403755868544601
湖北,GeoAnnulus-Final,annulus,topological,boundary,47,0.7086119554204661,0.568693009118541,1.5106382978723405,27.790268871719935,0.8730158730158729
湖北,GeoAnnulus-Final,annulus,topological,interior,83,0.7049922634259983,0.5600114744693057,1.7469879518072289,18.824923369295416,0.9138528138528138
湖北,GeoAnnulus-Final,annulus,geographic,boundary,56,0.7093730674087817,0.5684098639455782,1.5,26.978230968480027,0.8775641025641024
湖北,GeoAnnulus-Final,annulus,geographic,interior,74,0.7039760539760539,0.559169884169884,1.7837837837837838,18.34905868091182,0.9164179104477612
湖南,GeoDisk-Final,disk,topological,boundary,44,0.7695887445887444,0.6397727272727273,1.4545454545454546,18.873344969870107,0.8717948717948716
湖南,GeoDisk-Final,disk,topological,interior,93,0.8031280547409579,0.6750640040962621,1.978494623655914,10.287859644519529,0.9770609318996415
湖南,GeoDisk-Final,disk,geographic,boundary,49,0.7776702888947786,0.6500971817298348,1.469387755102041,17.768835901210885,0.8704545454545454
湖南,GeoDisk-Final,disk,geographic,interior,88,0.8005337465564737,0.6713203463203463,2.0,10.41505870971895,0.9837121212121211
湖南,GeoAnnulus-Final,annulus,topological,boundary,44,0.7785714285714285,0.6541666666666667,1.2045454545454546,25.704834258600943,0.9
湖南,GeoAnnulus-Final,annulus,topological,interior,93,0.7431240205433751,0.6080773169482846,1.7956989247311828,16.606045739631554,0.9647286821705425
湖南,GeoAnnulus-Final,annulus,geographic,boundary,49,0.7784801366434019,0.6552478134110786,1.2244897959183674,24.777699748206306,0.8955555555555554
湖南,GeoAnnulus-Final,annulus,geographic,interior,88,0.7411607962744327,0.6048566017316017,1.8181818181818181,16.605314471614403,0.9711934156378601
江西,GeoDisk-Final,disk,topological,boundary,38,0.7796992481203009,0.6513157894736842,1.4736842105263157,18.32237463732494,0.918918918918919
江西,GeoDisk-Final,disk,topological,interior,69,0.8048601961645439,0.6758454106280192,1.9710144927536233,12.126095624807723,0.9492753623188406
江西,GeoDisk-Final,disk,geographic,boundary,38,0.7841896407685883,0.6578947368421053,1.4473684210526316,18.052770145986155,0.9234234234234235
江西,GeoDisk-Final,disk,geographic,interior,69,0.8023872263002695,0.6722222222222222,1.9855072463768115,12.274573460617495,0.9468599033816425
