region,seed,view,cell_count,selected_candidate,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,20260827,disk,130,force_4,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535,0.6360492194729143,16.78781651535405,2.969198895418601,0.9607696404429937,0.6957682015187513,0.0,5.654382510531023e-16,0
湖北,20260827,annulus,130,force_4,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131,0.6245062530729456,21.08649667080159,1.262302969434641,0.9529913012604296,0.9267175071141435,5.510377966343905e-16,0.0,0
湖北,20260828,disk,130,force_3,0.6217765042979942,0.9644444444444444,0.7560975609756097,225,349,217,8,132,0.6245109388045207,0.6317104390877839,17.06638724060452,2.9821587013994164,0.9616490734545057,0.694841803518345,4.2407868828982674e-16,7.067978138163779e-16,0
湖北,20260828,annulus,130,force_4,0.5957446808510638,0.8711111111111111,0.7075812274368232,225,329,196,29,133,0.5995638053500045,0.6282893280068326,20.130806287085022,1.274342365237845,0.9540783023119255,0.9266707684922545,1.8367926554479684e-15,0.0,0
湖北,20260829,disk,130,force_3,0.6206896551724138,0.96,0.7539267015706806,225,348,216,9,132,0.6134868771975822,0.6175353264816441,18.043038149493583,2.9383571608035433,0.964047030548007,0.6957292089381143,0.0,1.5549551903960315e-15,0
湖北,20260829,annulus,130,force_4,0.5969696969696969,0.8755555555555555,0.70990990990991,225,330,197,28,133,0.6033349571626543,0.6287601958409303,20.775651649481823,1.4047908826255326,0.9512925207226645,0.7792993744103254,9.183963277239842e-16,7.347170621791874e-16,0
湖北,20260830,disk,130,force_3,0.6206896551724138,0.96,0.7539267015706806,225,348,216,9,132,0.6134868771975822,0.6175353264816441,18.043038149493583,2.9383571608035433,0.964047030548007,0.6957292089381143,0.0,1.5549551903960315e-15,0
湖北,20260830,annulus,130,force_4,0.5969696969696969,0.8755555555555555,0.70990990990991,225,330,197,28,133,0.6033349571626543,0.6287601958409303,20.775651649481823,1.4047908826255326,0.9512925207226645,0.7792993744103254,9.183963277239842e-16,7.347170621791874e-16,0
湖北,20260831,disk,130,force_3,0.622478386167147,0.96,0.7552447552447553,225,347,216,9,131,0.6159277111843199,0.6208742381007404,17.926393694867166,2.8787309604177187,0.9697988501823047,0.6963228136439698,0.0,1.979033878685858e-15,0
湖北,20260831,annulus,130,force_4,0.5963855421686747,0.88,0.7109515260323159,225,332,198,27,134,0.6015742851126277,0.6265783340903613,20.55814953551157,1.3808994542644217,0.9526362506657198,0.7810810157926428,2.0204719209927652e-15,1.8367926554479684e-15,0
湖南,20260827,disk,137,force_4,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815,0.6592964318020283,12.44751565065077,3.732955161034401,0.9785082233464633,0.3242384454847635,0.0,1.2722360648694803e-15,0
湖南,20260827,annulus,137,force_4,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411,0.6724421559543837,18.258416429066227,1.5054329338182333,0.9402990647226838,0.6094188751705556,0.0,1.2857548588135778e-15,0
湖南,20260828,disk,137,force_4,0.657608695652174,1.0,0.7934426229508198,242,368,242,0,126,0.6618886568424431,0.6647154043884509,12.867097939610481,3.789257401426181,0.9765900647786883,0.316629623982616,0.0,2.120393441449134e-15,0
湖南,20260828,annulus,137,force_3,0.6534090909090909,0.9504132231404959,0.7744107744107744,242,352,230,12,122,0.6586342368282324,0.6779522261998617,18.9431249376505,1.4676599392682168,0.9748819235723487,0.4214428258962471,0.0,0.0,0
湖南,20260829,disk,137,force_4,0.659400544959128,1.0,0.7947454844006568,242,367,242,0,125,0.6572050609205137,0.6574723715370616,12.560880754989466,3.7350857717166273,0.9781115238859746,0.3242331302508446,0.0,7.067978138163779e-16,0
湖南,20260829,annulus,137,force_4,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411,0.6724421559543837,18.258416429066227,1.5054329338182333,0.9402990647226838,0.6094188751705556,0.0,1.2857548588135778e-15,0
湖南,20260830,disk,137,force_4,0.6612021857923497,1.0,0.7960526315789472,242,366,242,0,124,0.6642699660720992,0.6608918414779252,12.554311051492204,3.563650634114852,0.9784148822969364,0.3722771991118317,9.89516939342929e-16,1.2722360648694803e-15,0
湖南,20260830,annulus,137,force_4,0.663768115942029,0.9462809917355371,0.7802385008517888,242,345,229,13,116,0.6640477282140748,0.6814693934178472,17.960484858015505,1.1391632731029782,0.9766694046707859,0.5733283928239541,1.2857548588135778e-15,7.347170621791874e-16,0
湖南,20260831,disk,137,force_2,0.657608695652174,1.0,0.7934426229508198,242,368,242,0,126,0.6564187582935745,0.6575734045956546,12.742292967325886,3.7885974167427885,0.976338043944966,0.31413350764743275,0.0,1.8376743159225824e-15,0
湖南,20260831,annulus,137,force_4,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411,0.6724421559543837,18.258416429066227,1.5054329338182333,0.9402990647226838,0.6094188751705556,0.0,1.2857548588135778e-15,0
江西,20260827,disk,107,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222,0.6759663502779831,13.827840377738845,3.112161758530374,0.9751366602010229,0.48738074812149185,0.0,0.0,0
江西,20260827,annulus,107,force_4,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803,0.6862789944263747,18.842949781038786,1.7362958465304261,0.9629401046258743,0.5763383690550931,5.510377966343905e-16,1.4694341243583748e-15,0
江西,20260828,disk,107,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222,0.6759663502779831,13.827840377738845,3.112161758530374,0.9751366602010229,0.48738074812149185,0.0,0.0,0
江西,20260828,annulus,107,force_4,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803,0.6862789944263747,18.842949781038786,1.7362958465304261,0.9629401046258743,0.5763383690550931,5.510377966343905e-16,1.4694341243583748e-15,0
江西,20260829,disk,107,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6660969318433657,0.6708172229079128,13.843102439866083,3.020476494196831,0.9752934030839162,0.4891371725876147,0.0,1.4135956276327558e-15,0
江西,20260829,annulus,107,force_4,0.662962962962963,0.9521276595744681,0.7816593886462883,188,270,179,9,91,0.6722693370497256,0.6938776265323643,18.895546181732147,1.681408151218732,0.9633123689727463,0.5736985489702919,9.183963277239842e-16,9.183963277239842e-16,0
江西,20260830,disk,107,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222,0.6759663502779831,13.827840377738845,3.112161758530374,0.9751366602010229,0.48738074812149185,0.0,0.0,0
江西,20260830,annulus,107,force_4,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803,0.6862789944263747,18.842949781038786,1.7362958465304261,0.9629401046258743,0.5763383690550931,5.510377966343905e-16,1.4694341243583748e-15,0
江西,20260831,disk,107,force_4,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6660969318433657,0.6708172229079128,13.843102439866083,3.020476494196831,0.9752934030839162,0.4891371725876147,0.0,1.4135956276327558e-15,0
