region,method,view,reference_policy,inclusion_threshold,cell_count,mean_inclusion_fraction,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖北,Direct Polar,disk,full_macro_cell,0.0,130,0.8376791360762732,0.7124600638977636,0.9911111111111112,0.8289962825278812,225,313,223,2,90,0.7113096230394993
湖北,Direct Polar,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.6696428571428571,1.0,0.802139037433155,225,336,225,0,111,0.6829594587757245
湖北,Harmonic,disk,full_macro_cell,0.0,130,0.8376791360762732,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Area-balanced,disk,full_macro_cell,0.0,130,0.8376791360762732,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Regular Topology,disk,full_macro_cell,0.0,130,0.8376791360762732,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,GeoDisk,disk,full_macro_cell,0.0,130,0.8376791360762732,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoAnnulus,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoDisk-Final,disk,full_macro_cell,0.0,130,0.8376791360762732,0.6114285714285714,0.9511111111111111,0.7443478260869564,225,350,214,11,136,0.6127335906333883
湖北,GeoAnnulus-Final,annulus,full_macro_cell,0.0,130,0.8376791360762732,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,Direct Polar,disk,province_clipped,0.0,130,0.8376791360762732,0.6006389776357828,0.8209606986899564,0.6937269372693727,229,313,188,41,125,0.44220620716736503
湖北,Direct Polar,annulus,province_clipped,0.0,130,0.8376791360762732,0.5744047619047619,0.8427947598253275,0.6831858407079645,229,336,193,36,143,0.42126633583796
湖北,Harmonic,disk,province_clipped,0.0,130,0.8376791360762732,0.47289156626506024,0.6855895196506551,0.5597147950089126,229,332,157,72,175,0.3479300966635037
湖北,Harmonic,annulus,province_clipped,0.0,130,0.8376791360762732,0.47468354430379744,0.6550218340611353,0.5504587155963303,229,316,150,79,166,0.35862967331865203
湖北,Area-balanced,disk,province_clipped,0.0,130,0.8376791360762732,0.4755043227665706,0.7205240174672489,0.5729166666666667,229,347,165,64,182,0.36301548895281094
湖北,Area-balanced,annulus,province_clipped,0.0,130,0.8376791360762732,0.44072948328267475,0.6331877729257642,0.5197132616487455,229,329,145,84,184,0.3506429077435502
湖北,Regular Topology,disk,province_clipped,0.0,130,0.8376791360762732,0.31890660592255127,0.611353711790393,0.41916167664670656,229,439,140,89,299,0.2622120018350821
湖北,Regular Topology,annulus,province_clipped,0.0,130,0.8376791360762732,0.3652694610778443,0.5327510917030568,0.433392539964476,229,334,122,107,212,0.2832583152644913
湖北,GeoDisk,disk,province_clipped,0.0,130,0.8376791360762732,0.39436619718309857,0.611353711790393,0.47945205479452047,229,355,140,89,215,0.2929705677866965
湖北,GeoAnnulus,annulus,province_clipped,0.0,130,0.8376791360762732,0.4205607476635514,0.5895196506550219,0.49090909090909085,229,321,135,94,186,0.32795408149202265
湖北,GeoDisk-Final,disk,province_clipped,0.0,130,0.8376791360762732,0.52,0.7947598253275109,0.6286701208981003,229,350,182,47,168,0.3940586649835617
湖北,GeoAnnulus-Final,annulus,province_clipped,0.0,130,0.8376791360762732,0.5304878048780488,0.759825327510917,0.6247755834829444,229,328,174,55,154,0.3919588116702595
湖北,Direct Polar,disk,full_macro_cell,0.25,127,0.8523311181461536,0.7114754098360656,0.9908675799086758,0.8282442748091602,219,305,217,2,88,0.710250849427125
湖北,Direct Polar,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.6676829268292683,1.0,0.8007312614259599,219,328,219,0,109,0.6818608537179514
湖北,Harmonic,disk,full_macro_cell,0.25,127,0.8523311181461536,0.557632398753894,0.817351598173516,0.662962962962963,219,321,179,40,142,0.5571440364682266
湖北,Harmonic,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.5409836065573771,0.7534246575342466,0.6297709923664122,219,305,165,54,140,0.5346338611685364
湖北,Area-balanced,disk,full_macro_cell,0.25,127,0.8523311181461536,0.5621301775147929,0.867579908675799,0.682226211849192,219,338,190,29,148,0.5526690987447433
湖北,Area-balanced,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.4921135646687697,0.7123287671232876,0.582089552238806,219,317,156,63,161,0.5161421629401842
湖北,Regular Topology,disk,full_macro_cell,0.25,127,0.8523311181461536,0.36596736596736595,0.7168949771689498,0.4845679012345679,219,429,157,62,272,0.38732257157485617
湖北,Regular Topology,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.43209876543209874,0.639269406392694,0.5156537753222836,219,324,140,79,184,0.41266890322102506
湖北,GeoDisk,disk,full_macro_cell,0.25,127,0.8523311181461536,0.4678362573099415,0.730593607305936,0.5704099821746881,219,342,160,59,182,0.4545521524377561
湖北,GeoAnnulus,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.4854368932038835,0.684931506849315,0.5681818181818182,219,309,150,69,159,0.47828148446756574
湖北,GeoDisk-Final,disk,full_macro_cell,0.25,127,0.8523311181461536,0.6153846153846154,0.9497716894977168,0.7468581687612208,219,338,208,11,130,0.6209874600424563
湖北,GeoAnnulus-Final,annulus,full_macro_cell,0.25,127,0.8523311181461536,0.5974842767295597,0.867579908675799,0.707635009310987,219,318,190,29,128,0.596223698499945
湖北,Direct Polar,disk,province_clipped,0.25,127,0.8523311181461536,0.6,0.8169642857142857,0.6918714555765595,224,305,183,41,122,0.4378731216151446
湖北,Direct Polar,annulus,province_clipped,0.25,127,0.8523311181461536,0.573170731707317,0.8392857142857143,0.6811594202898551,224,328,188,36,140,0.41545279602098056
湖北,Harmonic,disk,province_clipped,0.25,127,0.8523311181461536,0.4766355140186916,0.6830357142857143,0.5614678899082568,224,321,153,71,168,0.3436268337907133
湖北,Harmonic,annulus,province_clipped,0.25,127,0.8523311181461536,0.4786885245901639,0.6517857142857143,0.551984877126654,224,305,146,78,159,0.3540159521053772
湖北,Area-balanced,disk,province_clipped,0.25,127,0.8523311181461536,0.47633136094674555,0.71875,0.5729537366548043,224,338,161,63,177,0.3573633962311871
湖北,Area-balanced,annulus,province_clipped,0.25,127,0.8523311181461536,0.4416403785488959,0.625,0.5175600739371534,224,317,140,84,177,0.3429567453087352
湖北,Regular Topology,disk,province_clipped,0.25,127,0.8523311181461536,0.3146853146853147,0.6026785714285714,0.41347626339969373,224,429,135,89,294,0.2538671678423292
湖北,Regular Topology,annulus,province_clipped,0.25,127,0.8523311181461536,0.3611111111111111,0.5223214285714286,0.42700729927007297,224,324,117,107,207,0.27541063828188195
湖北,GeoDisk,disk,province_clipped,0.25,127,0.8523311181461536,0.39473684210526316,0.6026785714285714,0.4770318021201413,224,342,135,89,207,0.2868588532536692
湖北,GeoAnnulus,annulus,province_clipped,0.25,127,0.8523311181461536,0.42071197411003236,0.5803571428571429,0.4878048780487805,224,309,130,94,179,0.31980644610105075
湖北,GeoDisk-Final,disk,province_clipped,0.25,127,0.8523311181461536,0.5236686390532544,0.7901785714285714,0.6298932384341637,224,338,177,47,161,0.3877127457430574
湖北,GeoAnnulus-Final,annulus,province_clipped,0.25,127,0.8523311181461536,0.5314465408805031,0.7544642857142857,0.6236162361623616,224,318,169,55,149,0.3850550702052664
湖北,Direct Polar,disk,full_macro_cell,0.5,109,0.9343881091549101,0.736,0.9945945945945946,0.8459770114942529,185,250,184,1,66,0.7413183669702259
湖北,Direct Polar,annulus,full_macro_cell,0.5,109,0.9343881091549101,0.6826568265682657,1.0,0.8114035087719299,185,271,185,0,86,0.7057474011530362
湖北,Harmonic,disk,full_macro_cell,0.5,109,0.9343881091549101,0.596958174904943,0.8486486486486486,0.7008928571428571,185,263,157,28,106,0.5944744617189017
湖北,Harmonic,annulus,full_macro_cell,0.5,109,0.9343881091549101,0.5766129032258065,0.772972972972973,0.6605080831408776,185,248,143,42,105,0.5681518018531965
