dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0096,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3557038419121206,0.015503875968992276,5.277497695478008,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0097,False,4,4,0,1.0,1.0,1.0,1.0,0.837693196803486,0.031007751937984496,3.877372727167822,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0098,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.3352856296709103,0.038759689922480633,10.98033377886815,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0099,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.762635607284187,0.09302325581395351,21.32295159764381,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0100,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.21521858093199187,0.038759689922480633,17.22567558030815,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0101,False,4,4,0,1.0,1.0,1.0,1.0,0.4070184470362121,0.007751937984496138,12.026656112189606,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0102,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.8525657874435286,0.031007751937984496,12.83716463611977,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0103,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.4713938583800835,0.007751937984496138,15.011960682025686,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0104,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.4715116704654631,0.04651162790697683,16.721464483843945,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0105,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.37453427062320843,0.046511627906976716,13.916238134513529,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0029_c0106,True,1,2,1,0.5,1.0,0.6666666666666666,0.5,0.14587140431823045,0.007751937984496138,3.3930101237859787,
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0087,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.22668145462262562,0.06976744186046513,17.690686637431938,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0088,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.38522177923684864,0.09302325581395343,23.0694900990617,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0089,True,3,6,3,0.5,1.0,0.6666666666666666,0.5,1.665299245680786,0.06201550387596899,19.057051887335806,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0090,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.1800413484762506,0.01550387596899222,19.830991018676425,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0091,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.3332426241164283,0.01550387596899222,19.186203134569592,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0092,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.019043654586504543,0.015503875968992248,19.02135465081158,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0030_c0093,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.08647852218793234,0.038759689922480606,25.340406377277947,1.0
