dataset,method,view,neighbor_model,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖北,Direct Polar,disk,4-neighbor,130,0.7124600638977636,0.9911111111111112,0.8289962825278812,225,313,223,2,90,0.7113096230394993
湖北,Direct Polar,disk,8-neighbor,130,0.9712460063897763,0.6972477064220184,0.8117489986648866,436,313,304,132,9,0.7303821646411316
湖北,Direct Polar,annulus,4-neighbor,130,0.6696428571428571,1.0,0.802139037433155,225,336,225,0,111,0.6829594587757245
湖北,Direct Polar,annulus,8-neighbor,130,0.9702380952380952,0.7477064220183486,0.8445595854922279,436,336,326,110,10,0.7548945366750925
湖北,Harmonic,disk,4-neighbor,130,0.5542168674698795,0.8177777777777778,0.6606822262118491,225,332,184,41,148,0.5555089261360423
湖北,Harmonic,disk,8-neighbor,130,0.8493975903614458,0.6467889908256881,0.734375,436,332,282,154,50,0.650231971815342
湖北,Harmonic,annulus,4-neighbor,130,0.5379746835443038,0.7555555555555555,0.6284658040665434,225,316,170,55,146,0.5346873303331777
湖北,Harmonic,annulus,8-neighbor,130,0.8164556962025317,0.591743119266055,0.6861702127659575,436,316,258,178,58,0.5944297689568204
湖北,Area-balanced,disk,4-neighbor,130,0.5619596541786743,0.8666666666666667,0.6818181818181819,225,347,195,30,152,0.5527420763285023
湖北,Area-balanced,disk,8-neighbor,130,0.8386167146974063,0.6674311926605505,0.7432950191570881,436,347,291,145,56,0.6561142419125068
湖北,Area-balanced,annulus,4-neighbor,130,0.49240121580547114,0.72,0.5848375451263538,225,329,162,63,167,0.5167574305777243
湖北,Area-balanced,annulus,8-neighbor,130,0.7963525835866262,0.6009174311926605,0.6849673202614379,436,329,262,174,67,0.5635256628771929
湖北,Regular Topology,disk,4-neighbor,130,0.3690205011389522,0.72,0.4879518072289156,225,439,162,63,277,0.3896436986873666
湖北,Regular Topology,disk,8-neighbor,130,0.5740318906605922,0.5779816513761468,0.576,436,439,252,184,187,0.5065755683717844
湖北,Regular Topology,annulus,4-neighbor,130,0.4341317365269461,0.6444444444444445,0.5187835420393561,225,334,145,80,189,0.41427942368569276
湖北,Regular Topology,annulus,8-neighbor,130,0.6347305389221557,0.48623853211009177,0.5506493506493507,436,334,212,224,122,0.47543629250104763
湖北,GeoDisk,disk,4-neighbor,130,0.4676056338028169,0.7377777777777778,0.5724137931034483,225,355,166,59,189,0.44952997032326264
湖北,GeoDisk,disk,8-neighbor,130,0.7098591549295775,0.5779816513761468,0.6371681415929203,436,355,252,184,103,0.5528035861669449
湖北,GeoAnnulus,annulus,4-neighbor,130,0.48598130841121495,0.6933333333333334,0.5714285714285714,225,321,156,69,165,0.4798701381310336
湖北,GeoAnnulus,annulus,8-neighbor,130,0.7258566978193146,0.5344036697247706,0.6155878467635403,436,321,233,203,88,0.51052187057529
湖北,GeoDisk-Final,disk,4-neighbor,130,0.6257142857142857,0.9733333333333334,0.7617391304347825,225,350,219,6,131,0.6296832361758535
湖北,GeoDisk-Final,disk,8-neighbor,130,0.9457142857142857,0.7591743119266054,0.8422391857506362,436,350,331,105,19,0.7621215329456913
湖北,GeoAnnulus-Final,annulus,4-neighbor,130,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,GeoAnnulus-Final,annulus,8-neighbor,130,0.9085365853658537,0.6834862385321101,0.7801047120418848,436,328,298,138,30,0.6664073844701583
湖南,Direct Polar,disk,4-neighbor,137,0.7619047619047619,0.9917355371900827,0.8617594254937163,242,315,240,2,75,0.7617867128816034
湖南,Direct Polar,disk,8-neighbor,137,0.9936507936507937,0.6659574468085107,0.797452229299363,470,315,313,157,2,0.6982406512496621
湖南,Direct Polar,annulus,4-neighbor,137,0.7038123167155426,0.9917355371900827,0.823327615780446,242,341,240,2,101,0.7146751853701979
湖南,Direct Polar,annulus,8-neighbor,137,0.9882697947214076,0.7170212765957447,0.8310727496917386,470,341,337,133,4,0.7277364373194461
湖南,Harmonic,disk,4-neighbor,137,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,disk,8-neighbor,137,0.9695290858725761,0.7446808510638298,0.8423586040914561,470,361,350,120,11,0.7593574144006853
湖南,Harmonic,annulus,4-neighbor,137,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Harmonic,annulus,8-neighbor,137,0.9319526627218935,0.6702127659574468,0.7797029702970296,470,338,315,155,23,0.6735303189461214
湖南,Area-balanced,disk,4-neighbor,137,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,disk,8-neighbor,137,0.9536784741144414,0.7446808510638298,0.8363201911589009,470,367,350,120,17,0.7583091305773819
湖南,Area-balanced,annulus,4-neighbor,137,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Area-balanced,annulus,8-neighbor,137,0.8936781609195402,0.6617021276595745,0.7603911980440098,470,348,311,159,37,0.6481960929890994
湖南,Regular Topology,disk,4-neighbor,137,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,disk,8-neighbor,137,0.6879120879120879,0.6659574468085107,0.6767567567567568,470,455,313,157,142,0.6119953601149115
湖南,Regular Topology,annulus,4-neighbor,137,0.5071225071225072,0.7355371900826446,0.6003372681281619,242,351,178,64,173,0.48915729885754144
湖南,Regular Topology,annulus,8-neighbor,137,0.7663817663817664,0.5723404255319149,0.6552984165651645,470,351,269,201,82,0.5748113886904268
湖南,GeoDisk,disk,4-neighbor,137,0.5308310991957105,0.8181818181818182,0.6439024390243903,242,373,198,44,175,0.5589203613203685
湖南,GeoDisk,disk,8-neighbor,137,0.839142091152815,0.6659574468085107,0.7425860023724792,470,373,313,157,60,0.675573357124001
湖南,GeoAnnulus,annulus,4-neighbor,137,0.5441176470588235,0.7644628099173554,0.6357388316151202,242,340,185,57,155,0.550706937930108
湖南,GeoAnnulus,annulus,8-neighbor,137,0.8382352941176471,0.6063829787234043,0.7037037037037038,470,340,285,185,55,0.604838360700166
湖南,GeoDisk-Final,disk,4-neighbor,137,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoDisk-Final,disk,8-neighbor,137,0.9863387978142076,0.7680851063829788,0.8636363636363636,470,366,361,109,5,0.7890505847132472
湖南,GeoAnnulus-Final,annulus,4-neighbor,137,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,GeoAnnulus-Final,annulus,8-neighbor,137,0.9678362573099415,0.7042553191489361,0.8152709359605912,470,342,331,139,11,0.7149099111582345
江西,Direct Polar,disk,4-neighbor,107,0.7768595041322314,1.0,0.8744186046511627,188,242,188,0,54,0.7856043915174872
江西,Direct Polar,disk,8-neighbor,107,1.0,0.6685082872928176,0.8013245033112583,362,242,242,120,0,0.7006112732690378
江西,Direct Polar,annulus,4-neighbor,107,0.704119850187266,1.0,0.8263736263736264,188,267,188,0,79,0.7301873055573036
江西,Direct Polar,annulus,8-neighbor,107,1.0,0.7375690607734806,0.848966613672496,362,267,267,95,0,0.754666002502893
江西,Harmonic,disk,4-neighbor,107,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,disk,8-neighbor,107,0.9527272727272728,0.7237569060773481,0.8226059654631084,362,275,262,100,13,0.7455756907040869
江西,Harmonic,annulus,4-neighbor,107,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
江西,Harmonic,annulus,8-neighbor,107,0.9233716475095786,0.6657458563535912,0.7736757624398074,362,261,241,121,20,0.6725854267401308
江西,Area-balanced,disk,4-neighbor,107,0.6293706293706294,0.9574468085106383,0.759493670886076,188,286,180,8,106,0.6314568654256799
江西,Area-balanced,disk,8-neighbor,107,0.9475524475524476,0.7486187845303868,0.8364197530864198,362,286,271,91,15,0.7597428374005517
江西,Area-balanced,annulus,4-neighbor,107,0.5767790262172284,0.8191489361702128,0.676923076923077,188,267,154,34,113,0.6067188713893092
