region,variant,view,cell_count,objective_initial,objective_final,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
湖北,Expanded-NP2-CrossLayer,disk,130,0.5409996345901458,0.5655722018316786,0.48295454545454547,0.7555555555555555,0.5892547660311959,225,352,170,55,182,0.47703557220014037,0.49513032949565183,29.30335747505879,3.1344599908329194,0.9821109123434704,0.7103976486701815,0.0,4.014611582477027e-14,0
湖北,Expanded-NP2-CrossLayer,annulus,130,0.5409996345901458,0.5655722018316786,0.49230769230769234,0.7111111111111111,0.5818181818181818,225,325,160,65,165,0.49929313861101193,0.549180136148194,27.270845130032235,2.43299046288847,0.9757200016386949,0.7179273659381604,5.510377966343905e-16,4.9337236899309143e-08,0
湖南,Expanded-NP2-CrossLayer,disk,137,0.6101042822755209,0.6557759355366675,0.5516304347826086,0.8388429752066116,0.6655737704918032,242,368,203,39,165,0.5708558675129842,0.5903283402203828,25.424637640586912,2.620884729619766,0.9822698676423917,0.402951771669706,2.8271912552655114e-16,5.088944259477921e-14,0
湖南,Expanded-NP2-CrossLayer,annulus,137,0.6101042822755209,0.6557759355366675,0.5565217391304348,0.7933884297520661,0.6541737649063033,242,345,192,50,153,0.5642255142669896,0.6115720079665725,26.183989939183324,2.355096648687071,0.9795023055239233,0.3740050268144575,3.673585310895937e-16,5.0432445826914794e-08,0
江西,Expanded-NP2-CrossLayer,disk,107,0.5972186309899061,0.619126205635961,0.5714285714285714,0.8723404255319149,0.6905263157894737,188,287,164,24,123,0.5774429757776217,0.5835279673505998,23.945004898583342,2.522822949903411,0.9792609573071572,0.6055790454301367,0.0,3.7884362820557856e-14,0
江西,Expanded-NP2-CrossLayer,annulus,107,0.5972186309899061,0.619126205635961,0.5617977528089888,0.7978723404255319,0.6593406593406593,188,267,150,38,117,0.5762316043234563,0.6363916588338346,24.418839411514096,2.1211508366440563,0.976419992554713,0.7066772397508944,1.8367926554479685e-16,2.89772545246128e-08,0
广东,Expanded-NP2-CrossLayer,disk,108,0.6106537869581978,0.6403952303645959,0.5306122448979592,0.861878453038674,0.6568421052631579,181,294,156,25,138,0.5244839153043751,0.5231491176135694,25.81297956803982,3.4853904902948534,0.97069555193537,1.8591502304221816,0.0,3.0957744245157355e-14,0
广东,Expanded-NP2-CrossLayer,annulus,108,0.6106537869581978,0.6403952303645959,0.5128205128205128,0.7734806629834254,0.6167400881057269,181,273,140,41,133,0.5028503433764442,0.5338624341300575,26.091157656860265,2.1384655223916704,0.9693713262263377,2.2520136612440265,3.673585310895937e-16,4.3970286907937814e-08,0
福建,Expanded-NP2-CrossLayer,disk,74,0.6139691682905418,0.6375874752445353,0.5625,0.864,0.6813880126182966,125,192,108,17,84,0.5770541751578904,0.5907638004253053,24.737368514972076,3.894849256096573,0.9445538689374305,0.42729568182488126,8.481573765796535e-16,3.53398906908189e-14,0
福建,Expanded-NP2-CrossLayer,annulus,74,0.6139691682905418,0.6375874752445353,0.5511363636363636,0.776,0.6445182724252493,125,176,97,28,79,0.5989419983000882,0.6689511004595949,24.835069421837996,2.5119904021132844,0.9392225101814142,0.4815800048069695,3.673585310895937e-16,2.9827141057798294e-08,0
广西,Expanded-NP2-CrossLayer,disk,142,0.6122249212809838,0.6364772327880677,0.5378590078328982,0.8306451612903226,0.652931854199683,248,383,206,42,177,0.5322314681206777,0.5450174903338915,27.967269244961358,2.87573922759666,0.9808043320179971,0.41582555074338057,7.067978138163779e-16,3.491581200252907e-14,0
广西,Expanded-NP2-CrossLayer,annulus,142,0.6122249212809838,0.6364772327880677,0.543661971830986,0.7782258064516129,0.6401326699834162,248,355,193,55,162,0.5334075766672897,0.5928346949565453,25.724195936839216,2.084260976141158,0.9749198958069202,0.4272720916187781,1.2857548588135778e-15,4.922242541919138e-08,0
安徽,Expanded-NP2-CrossLayer,disk,96,0.5685140724749311,0.6354978091639454,0.5058823529411764,0.80625,0.6216867469879518,160,255,129,31,126,0.5145050303881895,0.532550372014805,27.098571703547112,5.332975464272569,0.9551546391752577,0.3446014528078597,4.2407868828982674e-16,4.127699232687647e-14,0
安徽,Expanded-NP2-CrossLayer,annulus,96,0.5685140724749311,0.6354978091639454,0.49145299145299143,0.71875,0.583756345177665,160,234,115,45,119,0.5204610311107022,0.6040025952220367,29.741553883966777,4.4598761864587,0.9529435702658708,0.4410154827895466,1.102075593268781e-15,3.147548539925086e-08,0
浙江,Expanded-NP2-CrossLayer,disk,65,0.6277113191888243,0.6482454713027521,0.5843373493975904,0.8818181818181818,0.7028985507246377,110,166,97,13,69,0.6125960516853536,0.6192873476490588,19.91994512666149,4.050487223697404,0.9520979020979021,0.26522696229776754,0.0,4.085291363858664e-14,0
浙江,Expanded-NP2-CrossLayer,annulus,65,0.6277113191888243,0.6482454713027521,0.5906040268456376,0.8,0.6795366795366796,110,149,88,22,61,0.6499301736870206,0.7305378002832839,24.60542960196572,3.0091887734512537,0.9347465034965036,0.3102784412326075,0.0,2.515658087834051e-08,0
